pair_family,mean_abs_r10,max_abs_r10,n
MICROCHIP | SNACKPACK,0.019404430048222808,0.04745901963161375,25
MICROCHIP | PEBBLES,0.01755225646201963,0.040809618820725854,25
GALAXY_SOUNDS | SNACKPACK,0.01562365253694796,0.031135003473637877,25
MICROCHIP | UV_VISOR,0.015617213850000039,0.037959538830182736,25
PEBBLES | TRANSLATOR,0.015551712822522306,0.04158270472199807,25
PEBBLES | SLEEP_POD,0.015442943901060371,0.03077891328188055,25
SNACKPACK | TRANSLATOR,0.014616361567503679,0.039270844875882484,25
PEBBLES | SNACKPACK,0.01458317452251302,0.03546746849271882,25
ROBOT | SNACKPACK,0.014228600702456674,0.035317110053314,25
SLEEP_POD | UV_VISOR,0.014092986769823226,0.052165636467206934,25
GALAXY_SOUNDS | PEBBLES,0.014062974570897793,0.041904464868892696,25
MICROCHIP | TRANSLATOR,0.013877008257670496,0.04011682510320882,25
MICROCHIP | PANEL,0.01384059106807526,0.02932365818130181,25
SLEEP_POD | TRANSLATOR,0.013627816742579924,0.03169448591276199,25
OXYGEN_SHAKE | PANEL,0.013553286256151716,0.03379052790026553,25
MICROCHIP | ROBOT,0.013551786009358427,0.029811179544257455,25
OXYGEN_SHAKE | SLEEP_POD,0.013364484918458082,0.04167720698698698,25
GALAXY_SOUNDS | SLEEP_POD,0.013308023021492,0.045213579185529144,25
PANEL | SLEEP_POD,0.013122820509337298,0.031533798166656794,25
PANEL | PEBBLES,0.013060147448243808,0.05642887858158293,25
OXYGEN_SHAKE | TRANSLATOR,0.013058473083547573,0.03180245076583248,25
PEBBLES | UV_VISOR,0.012748910991691809,0.03128897847927905,25
GALAXY_SOUNDS | TRANSLATOR,0.012269842968004778,0.03798133358666653,25
MICROCHIP | OXYGEN_SHAKE,0.012213072970056254,0.023233449198269314,25
GALAXY_SOUNDS | MICROCHIP,0.012134985457676632,0.03127511965574463,25
ROBOT | SLEEP_POD,0.011820472228377421,0.044023006254625276,25
ROBOT | UV_VISOR,0.011623125824934527,0.035797474764676554,25
OXYGEN_SHAKE | PEBBLES,0.011411325965486795,0.026732762381568048,25
SNACKPACK | UV_VISOR,0.011356943484466276,0.030336325689685213,25
GALAXY_SOUNDS | UV_VISOR,0.011229935723973518,0.030792116470397556,25
OXYGEN_SHAKE | SNACKPACK,0.011100814101803786,0.03775271301481155,25
SLEEP_POD | SNACKPACK,0.011042838259917913,0.03461958008891926,25
PEBBLES | ROBOT,0.010236072301616682,0.04097339630964636,25
ROBOT | TRANSLATOR,0.01012010577561814,0.027160677779589172,25
PANEL | ROBOT,0.010110832919486591,0.025907619458591935,25
OXYGEN_SHAKE | UV_VISOR,0.010058120746531826,0.03070975218367137,25
GALAXY_SOUNDS | PANEL,0.009910443515450453,0.02146598418900712,25
GALAXY_SOUNDS | ROBOT,0.00978524381893383,0.038931442194832334,25
TRANSLATOR | UV_VISOR,0.009738319971454882,0.026581571651066276,25
MICROCHIP | SLEEP_POD,0.009654735010305575,0.03162493026442683,25
OXYGEN_SHAKE | ROBOT,0.009343520585504474,0.03942158735967433,25
GALAXY_SOUNDS | OXYGEN_SHAKE,0.009288622744690585,0.027205872607859973,25
PANEL | TRANSLATOR,0.008646890653547543,0.02351495754507201,25
PANEL | UV_VISOR,0.006304185801289272,0.026566035245688874,25
PANEL | SNACKPACK,0.0059324275773637745,0.024279945745739117,25
