a,b,family_a,family_b,corr_lag0,best_lag,corr_at_best_lag,improvement_vs_lag0
MICROCHIP_RECTANGLE,UV_VISOR_RED,MICROCHIP,UV_VISOR,0.03225800353739855,-6,0.052142755416451095,0.019884751879052545
ROBOT_VACUUMING,SNACKPACK_PISTACHIO,ROBOT,SNACKPACK,0.03531711005331414,-5,0.05226025099549852,0.01694314094218438
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_COTTON,GALAXY_SOUNDS,SLEEP_POD,0.03367576397573709,13,0.04562460546901191,0.011948841493274819
PEBBLES_L,UV_VISOR_MAGENTA,PEBBLES,UV_VISOR,0.031288978479278966,4,0.04173858815054664,0.010449609671267672
MICROCHIP_RECTANGLE,TRANSLATOR_GRAPHITE_MIST,MICROCHIP,TRANSLATOR,-0.03664217628126863,-4,-0.04636990528096105,0.009727728999692417
GALAXY_SOUNDS_BLACK_HOLES,TRANSLATOR_ASTRO_BLACK,GALAXY_SOUNDS,TRANSLATOR,-0.03798133358666645,3,-0.04517607442217767,0.007194740835511221
MICROCHIP_RECTANGLE,PEBBLES_S,MICROCHIP,PEBBLES,-0.03770476239075013,4,-0.04423000321994202,0.00652524082919189
MICROCHIP_SQUARE,SNACKPACK_PISTACHIO,MICROCHIP,SNACKPACK,-0.042063548846171035,-3,-0.048225781854779146,0.00616223300860811
OXYGEN_SHAKE_CHOCOLATE,SLEEP_POD_POLYESTER,OXYGEN_SHAKE,SLEEP_POD,-0.03977069614739278,4,-0.04571517257544928,0.005944476428056497
PEBBLES_M,SNACKPACK_CHOCOLATE,PEBBLES,SNACKPACK,-0.03546746849271876,-2,-0.04041221361517712,0.004944745122458363
GALAXY_SOUNDS_SOLAR_FLAMES,SLEEP_POD_SUEDE,GALAXY_SOUNDS,SLEEP_POD,0.04521357918552911,-4,0.049766163561061526,0.004552584375532416
PANEL_1X2,SLEEP_POD_COTTON,PANEL,SLEEP_POD,0.031533798166656565,-4,0.03574880500919463,0.004215006842538067
PEBBLES_M,SNACKPACK_VANILLA,PEBBLES,SNACKPACK,0.03381561742135498,-2,0.03782487933782781,0.004009261916472835
MICROCHIP_TRIANGLE,TRANSLATOR_ASTRO_BLACK,MICROCHIP,TRANSLATOR,0.04011682510320905,2,0.04368914961074754,0.003572324507538492
OXYGEN_SHAKE_MINT,ROBOT_IRONING,OXYGEN_SHAKE,ROBOT,-0.03942158735967442,1,-0.04181389442412849,0.0023923070644540634
GALAXY_SOUNDS_PLANETARY_RINGS,ROBOT_LAUNDRY,GALAXY_SOUNDS,ROBOT,0.038931442194832196,-2,0.04076221201088661,0.0018307698160544145
MICROCHIP_CIRCLE,PEBBLES_S,MICROCHIP,PEBBLES,-0.04080961882072557,-1,-0.04254133915733755,0.0017317203366119804
PEBBLES_S,TRANSLATOR_VOID_BLUE,PEBBLES,TRANSLATOR,-0.04158270472199754,2,-0.04310023181763395,0.0015175270956364062
OXYGEN_SHAKE_MINT,SNACKPACK_CHOCOLATE,OXYGEN_SHAKE,SNACKPACK,-0.032675610801165586,-1,-0.03409624708368173,0.0014206362825161453
