a,b,family_a,family_b,corr_ret1,corr_ret10,beta_a_on_b,intercept_a_on_b,resid_sd_a_on_b,half_life_a_on_b,beta_b_on_a,resid_sd_b_on_a,half_life_b_on_a,n
PANEL_1X4,PEBBLES_S,PANEL,PEBBLES,-0.00900016642839833,-0.05642887858158293,0.5911625749504715,4117.10560981315,673.0170520313404,3772.3519894080814,0.5900979520882538,672.4107617727051,2449.731039023364,30000
SLEEP_POD_POLYESTER,UV_VISOR_AMBER,SLEEP_POD,UV_VISOR,0.006486308283449576,0.052165636467206934,-0.9226324406151889,19140.148570543537,331.01760918255184,817.8740482580007,-0.959574213961788,337.5794658773033,855.9186367121652,30000
MICROCHIP_SQUARE,SNACKPACK_RASPBERRY,MICROCHIP,SNACKPACK,-0.000694270279080276,0.04745901963161375,0.39409734825667264,9623.109288297568,1829.028381803756,5377.268089838648,0.00339256196280851,169.70028925530903,623.6794021264616,30000
GALAXY_SOUNDS_SOLAR_FLAMES,SLEEP_POD_SUEDE,GALAXY_SOUNDS,SLEEP_POD,0.00760323478456409,0.045213579185529144,-0.06104054636404298,11788.276470391374,446.78602384287626,1647.5155611187467,-0.24397000209407171,893.2203071283906,4877.354463285792,30000
ROBOT_DISHES,SLEEP_POD_POLYESTER,ROBOT,SLEEP_POD,-0.004551520767534555,-0.044023006254625276,0.42204955536504485,5021.011415779787,373.67497622651,606.4508447797127,1.3016213955639104,656.227810278398,824.9468092045146,30000
MICROCHIP_SQUARE,SNACKPACK_PISTACHIO,MICROCHIP,SNACKPACK,0.0007457644595329788,-0.042063548846171236,-6.695300471879608,77172.27655615343,1331.8994219296978,1696.9552498951318,-0.07026316159129488,136.4426790524738,960.4123495600764,30000
GALAXY_SOUNDS_PLANETARY_RINGS,PEBBLES_M,GALAXY_SOUNDS,PEBBLES,0.0029179180141655848,-0.041904464868892696,0.1969442633155048,8745.386315363874,753.7612223738248,8228.879101375163,0.15886092815201705,676.9719456579334,2889.502833078991,30000
OXYGEN_SHAKE_GARLIC,SLEEP_POD_LAMB_WOOL,OXYGEN_SHAKE,SLEEP_POD,-0.002278764232337595,-0.04167720698698698,0.3931888171893937,7717.952555869266,939.4058358636455,9382.242846537916,0.07385039545342632,407.12623380345156,1823.968849556388,30000
PEBBLES_S,TRANSLATOR_VOID_BLUE,PEBBLES,TRANSLATOR,-0.00515883318665232,-0.04158270472199807,-0.9100077020298443,18813.74755976876,645.3662341053515,1790.9112529723416,-0.43974330660945893,448.62484777324215,1724.1456115291287,30000
MICROCHIP_SQUARE,SNACKPACK_STRAWBERRY,MICROCHIP,SNACKPACK,0.0035219900843682303,-0.04142232655081727,4.0410093646297405,-29670.756911924378,1091.4522459963316,1097.990405580253,0.1594598822755482,216.81310548450816,854.1584495587529,30000
PEBBLES_XS,ROBOT_DISHES,PEBBLES,ROBOT,0.001239691099401845,0.04097339630964636,-2.029170631308292,27733.510136944933,908.5044017205325,667.9218966891965,-0.2992274933967329,348.87391518274035,501.9833600764126,30000
MICROCHIP_CIRCLE,PEBBLES_S,MICROCHIP,PEBBLES,0.0034346123274432297,-0.040809618820725854,-0.33824236596844587,12236.186758490177,451.8064677562715,2187.2518408958013,-0.8282339200030661,706.9927306983403,1809.366467929521,30000
MICROCHIP_TRIANGLE,TRANSLATOR_ASTRO_BLACK,MICROCHIP,TRANSLATOR,-0.0008645142469800419,0.04011682510320882,0.5206578178244644,4799.903352212329,793.4008707586947,5552.739392760209,0.17981208621338432,466.25759130525813,2839.326817585191,30000
PEBBLES_XL,TRANSLATOR_VOID_BLUE,PEBBLES,TRANSLATOR,0.009340868897751459,0.04003241691255112,2.4822986118246844,-13728.647088854874,1043.3654073647458,927.0939971135174,0.2639000460730498,340.19596205881305,892.5582969573752,30000
OXYGEN_SHAKE_CHOCOLATE,SLEEP_POD_POLYESTER,OXYGEN_SHAKE,SLEEP_POD,0.006176302738306297,-0.03977069614739226,0.188001680668383,7330.833774676908,529.6219436130898,3838.8683071516393,0.5716388452123603,923.5192906596293,3742.1159300564714,30000
OXYGEN_SHAKE_MINT,ROBOT_IRONING,OXYGEN_SHAKE,ROBOT,-0.0007246734897678069,-0.03942158735967433,0.2949181594538488,7272.142995929663,454.41250216466074,2924.3788307559594,0.6790350140248219,689.5179850592538,4068.933178057725,30000
SNACKPACK_RASPBERRY,TRANSLATOR_VOID_BLUE,SNACKPACK,TRANSLATOR,0.004896836522977439,0.039270844875882484,-0.00465798102190247,10128.391123126155,169.7924110479375,624.0695152738547,-0.054198819444013,579.1810333189089,3711.856578447617,30000
GALAXY_SOUNDS_PLANETARY_RINGS,ROBOT_LAUNDRY,GALAXY_SOUNDS,ROBOT,0.007500201951235334,0.038931442194832334,-0.06392344961562652,11394.57799594959,764.8292224052288,8678.477297872914,-0.04113205914687495,613.5141688766906,6147.140553108011,30000
GALAXY_SOUNDS_BLACK_HOLES,TRANSLATOR_ASTRO_BLACK,GALAXY_SOUNDS,TRANSLATOR,0.012844396643962466,-0.03798133358666653,-0.8039702159050834,19012.30876307486,873.8329747310008,7997.856082545099,-0.2099170196571821,446.51111571968517,2796.8129963180286,30000
MICROCHIP_CIRCLE,UV_VISOR_YELLOW,MICROCHIP,UV_VISOR,-0.0015713984591361238,-0.037959538830182736,-0.5715655993846354,15477.792904640699,362.91142255767204,1633.7835633588447,-0.9369818800861248,464.657758230948,1528.1479250599327,30000
OXYGEN_SHAKE_MINT,SNACKPACK_VANILLA,OXYGEN_SHAKE,SNACKPACK,0.02802211423870634,0.03775271301481155,-0.7459815951755393,17370.79588438724,490.37063051391624,2864.7267623285816,-0.09207126952419126,172.27508017949737,988.4946150829176,30000
MICROCHIP_RECTANGLE,PEBBLES_S,MICROCHIP,PEBBLES,-0.004279924463199496,-0.037704762390749685,0.47888411965283295,4454.875559332612,637.4132367805014,2374.8787432173967,0.5879719683290269,706.2918110206108,2625.8777320642525,30000
MICROCHIP_RECTANGLE,TRANSLATOR_GRAPHITE_MIST,MICROCHIP,TRANSLATOR,-0.0034642339303710286,-0.03664217628126869,-0.7192240297126514,15985.554541247118,660.6433277991206,2221.0013102524185,-0.31735713449994046,438.8429155495978,2216.3940317225065,30000
PANEL_1X4,PEBBLES_XL,PANEL,PEBBLES,0.002245289081456425,0.036060306494407605,-0.16671596660255328,11602.49752348315,779.6730759981444,7472.85343038973,-0.7564201652256006,1660.754695076602,3894.192046421578,30000
SLEEP_POD_POLYESTER,UV_VISOR_MAGENTA,SLEEP_POD,UV_VISOR,0.014353295447355481,0.035997624929744836,1.3673222373684089,-3352.8405792024023,501.78320144801165,949.0786985290805,0.5386516238324718,314.9449624953231,854.399298888459,30000
ROBOT_IRONING,UV_VISOR_AMBER,ROBOT,UV_VISOR,0.015189132284119257,0.035797474764676554,0.6170925225321614,3819.321670245926,464.78772560205584,2360.4659066304503,1.0316361457971537,600.9561494269508,2557.160353908468,30000
