sym,day,N,M,n_trades,pnl
BLACK_HOLES,2,10,5,1664,-227850.0
BLACK_HOLES,2,10,10,908,-127810.0
BLACK_HOLES,2,10,20,476,-59840.0
BLACK_HOLES,2,10,50,196,-41680.0
BLACK_HOLES,2,10,100,99,-15820.0
BLACK_HOLES,2,20,5,1662,-222610.0
BLACK_HOLES,2,20,10,907,-116830.0
BLACK_HOLES,2,20,20,476,-73630.0
BLACK_HOLES,2,20,50,196,-23920.0
BLACK_HOLES,2,20,100,99,-8650.0
BLACK_HOLES,2,50,5,1657,-227880.0
BLACK_HOLES,2,50,10,905,-125200.0
BLACK_HOLES,2,50,20,474,-59710.0
BLACK_HOLES,2,50,50,196,-32670.0
BLACK_HOLES,2,50,100,99,-27150.0
BLACK_HOLES,2,100,5,1650,-220580.0
BLACK_HOLES,2,100,10,900,-116170.0
BLACK_HOLES,2,100,20,472,-54890.0
BLACK_HOLES,2,100,50,195,-18950.0
BLACK_HOLES,2,100,100,99,5320.0
BLACK_HOLES,2,200,5,1633,-208610.0
BLACK_HOLES,2,200,10,891,-108520.0
BLACK_HOLES,2,200,20,467,-48010.0
BLACK_HOLES,2,200,50,193,-14880.0
BLACK_HOLES,2,200,100,98,4120.0
BLACK_HOLES,3,10,5,1663,-229640.0
BLACK_HOLES,3,10,10,908,-124310.0
BLACK_HOLES,3,10,20,476,-60690.0
BLACK_HOLES,3,10,50,196,-20580.0
BLACK_HOLES,3,10,100,99,-6780.0
BLACK_HOLES,3,20,5,1662,-228850.0
BLACK_HOLES,3,20,10,907,-116330.0
BLACK_HOLES,3,20,20,476,-46040.0
BLACK_HOLES,3,20,50,196,-23800.0
BLACK_HOLES,3,20,100,99,1480.0
BLACK_HOLES,3,50,5,1658,-218290.0
BLACK_HOLES,3,50,10,904,-117750.0
BLACK_HOLES,3,50,20,474,-62100.0
BLACK_HOLES,3,50,50,196,-16650.0
BLACK_HOLES,3,50,100,99,-7360.0
BLACK_HOLES,3,100,5,1649,-218970.0
BLACK_HOLES,3,100,10,900,-115050.0
BLACK_HOLES,3,100,20,472,-45430.0
BLACK_HOLES,3,100,50,195,-21200.0
BLACK_HOLES,3,100,100,99,-13550.0
BLACK_HOLES,3,200,5,1633,-234560.0
BLACK_HOLES,3,200,10,891,-125760.0
BLACK_HOLES,3,200,20,467,-64020.0
BLACK_HOLES,3,200,50,193,-22980.0
BLACK_HOLES,3,200,100,98,-14970.0
BLACK_HOLES,4,10,5,1664,-269490.0
BLACK_HOLES,4,10,10,908,-134620.0
BLACK_HOLES,4,10,20,476,-82260.0
BLACK_HOLES,4,10,50,196,-18570.0
BLACK_HOLES,4,10,100,99,-11720.0
BLACK_HOLES,4,20,5,1662,-271720.0
BLACK_HOLES,4,20,10,907,-145770.0
BLACK_HOLES,4,20,20,476,-79350.0
BLACK_HOLES,4,20,50,196,-28820.0
BLACK_HOLES,4,20,100,99,-4230.0
BLACK_HOLES,4,50,5,1658,-265140.0
BLACK_HOLES,4,50,10,905,-165350.0
BLACK_HOLES,4,50,20,474,-89520.0
BLACK_HOLES,4,50,50,196,-25060.0
BLACK_HOLES,4,50,100,99,-11920.0
BLACK_HOLES,4,100,5,1650,-260340.0
BLACK_HOLES,4,100,10,900,-140990.0
BLACK_HOLES,4,100,20,472,-82230.0
BLACK_HOLES,4,100,50,195,-29430.0
BLACK_HOLES,4,100,100,99,-9440.0
BLACK_HOLES,4,200,5,1633,-258280.0
BLACK_HOLES,4,200,10,891,-153690.0
BLACK_HOLES,4,200,20,467,-75930.0
BLACK_HOLES,4,200,50,193,-43020.0
BLACK_HOLES,4,200,100,98,-18710.0
DARK_MATTER,2,10,5,1661,-222280.0
DARK_MATTER,2,10,10,908,-130450.0
DARK_MATTER,2,10,20,476,-69800.0
DARK_MATTER,2,10,50,196,-26440.0
DARK_MATTER,2,10,100,99,-24150.0
DARK_MATTER,2,20,5,1662,-223790.0
DARK_MATTER,2,20,10,907,-124880.0
DARK_MATTER,2,20,20,476,-83090.0
DARK_MATTER,2,20,50,196,-20620.0
DARK_MATTER,2,20,100,99,-31830.0
DARK_MATTER,2,50,5,1658,-240040.0
DARK_MATTER,2,50,10,905,-132570.0
DARK_MATTER,2,50,20,474,-78350.0
DARK_MATTER,2,50,50,196,-24280.0
DARK_MATTER,2,50,100,99,-25190.0
DARK_MATTER,2,100,5,1650,-215140.0
DARK_MATTER,2,100,10,900,-115340.0
DARK_MATTER,2,100,20,472,-71420.0
DARK_MATTER,2,100,50,195,-18050.0
DARK_MATTER,2,100,100,99,-16890.0
DARK_MATTER,2,200,5,1633,-227630.0
DARK_MATTER,2,200,10,891,-138320.0
DARK_MATTER,2,200,20,467,-81020.0
DARK_MATTER,2,200,50,193,-35980.0
DARK_MATTER,2,200,100,98,-14300.0
DARK_MATTER,3,10,5,1662,-220310.0
DARK_MATTER,3,10,10,908,-101590.0
DARK_MATTER,3,10,20,476,-52260.0
DARK_MATTER,3,10,50,196,-33220.0
DARK_MATTER,3,10,100,99,-1050.0
DARK_MATTER,3,20,5,1661,-215450.0
DARK_MATTER,3,20,10,907,-123220.0
DARK_MATTER,3,20,20,476,-57060.0
DARK_MATTER,3,20,50,196,-20560.0
DARK_MATTER,3,20,100,99,18130.0
DARK_MATTER,3,50,5,1658,-198100.0
DARK_MATTER,3,50,10,905,-94960.0
DARK_MATTER,3,50,20,474,-37650.0
DARK_MATTER,3,50,50,196,1620.0
DARK_MATTER,3,50,100,99,-2760.0
DARK_MATTER,3,100,5,1650,-202760.0
DARK_MATTER,3,100,10,900,-104840.0
DARK_MATTER,3,100,20,472,-40210.0
DARK_MATTER,3,100,50,195,-11990.0
DARK_MATTER,3,100,100,99,-14240.0
DARK_MATTER,3,200,5,1633,-222810.0
DARK_MATTER,3,200,10,891,-114460.0
DARK_MATTER,3,200,20,467,-63990.0
DARK_MATTER,3,200,50,193,-30760.0
DARK_MATTER,3,200,100,98,-29810.0
DARK_MATTER,4,10,5,1664,-208530.0
DARK_MATTER,4,10,10,908,-112830.0
DARK_MATTER,4,10,20,476,-50590.0
DARK_MATTER,4,10,50,196,-20620.0
DARK_MATTER,4,10,100,99,-14610.0
DARK_MATTER,4,20,5,1661,-203850.0
DARK_MATTER,4,20,10,907,-117380.0
DARK_MATTER,4,20,20,476,-57530.0
DARK_MATTER,4,20,50,196,-8100.0
DARK_MATTER,4,20,100,99,-8190.0
DARK_MATTER,4,50,5,1658,-211260.0
DARK_MATTER,4,50,10,904,-119920.0
DARK_MATTER,4,50,20,474,-55530.0
DARK_MATTER,4,50,50,196,-22220.0
DARK_MATTER,4,50,100,99,-9300.0
DARK_MATTER,4,100,5,1650,-220630.0
DARK_MATTER,4,100,10,900,-111540.0
DARK_MATTER,4,100,20,472,-74680.0
DARK_MATTER,4,100,50,195,-25860.0
DARK_MATTER,4,100,100,99,-22410.0
DARK_MATTER,4,200,5,1633,-205260.0
DARK_MATTER,4,200,10,891,-121060.0
DARK_MATTER,4,200,20,467,-66620.0
DARK_MATTER,4,200,50,193,-33450.0
DARK_MATTER,4,200,100,98,-25270.0
PLANETARY_RINGS,2,10,5,1663,-221070.0
PLANETARY_RINGS,2,10,10,908,-115430.0
PLANETARY_RINGS,2,10,20,476,-62290.0
PLANETARY_RINGS,2,10,50,196,-25530.0
PLANETARY_RINGS,2,10,100,99,-28280.0
PLANETARY_RINGS,2,20,5,1663,-199260.0
PLANETARY_RINGS,2,20,10,907,-108860.0
PLANETARY_RINGS,2,20,20,475,-44550.0
PLANETARY_RINGS,2,20,50,196,-17690.0
PLANETARY_RINGS,2,20,100,99,-9880.0
PLANETARY_RINGS,2,50,5,1657,-207630.0
PLANETARY_RINGS,2,50,10,905,-112490.0
PLANETARY_RINGS,2,50,20,474,-51770.0
PLANETARY_RINGS,2,50,50,196,-26880.0
PLANETARY_RINGS,2,50,100,99,-1810.0
PLANETARY_RINGS,2,100,5,1650,-195590.0
PLANETARY_RINGS,2,100,10,900,-103470.0
PLANETARY_RINGS,2,100,20,472,-57750.0
PLANETARY_RINGS,2,100,50,195,-23490.0
PLANETARY_RINGS,2,100,100,99,-1500.0
PLANETARY_RINGS,2,200,5,1633,-204010.0
PLANETARY_RINGS,2,200,10,891,-97370.0
PLANETARY_RINGS,2,200,20,467,-48140.0
PLANETARY_RINGS,2,200,50,193,-3180.0
PLANETARY_RINGS,2,200,100,98,160.0
PLANETARY_RINGS,3,10,5,1663,-238730.0
PLANETARY_RINGS,3,10,10,908,-128740.0
PLANETARY_RINGS,3,10,20,476,-87030.0
PLANETARY_RINGS,3,10,50,196,-49460.0
PLANETARY_RINGS,3,10,100,99,-33970.0
PLANETARY_RINGS,3,20,5,1662,-255490.0
PLANETARY_RINGS,3,20,10,907,-142080.0
PLANETARY_RINGS,3,20,20,475,-72030.0
PLANETARY_RINGS,3,20,50,196,-47910.0
PLANETARY_RINGS,3,20,100,99,-31510.0
PLANETARY_RINGS,3,50,5,1657,-258920.0
PLANETARY_RINGS,3,50,10,904,-145940.0
PLANETARY_RINGS,3,50,20,474,-81270.0
PLANETARY_RINGS,3,50,50,196,-51010.0
PLANETARY_RINGS,3,50,100,99,-29840.0
PLANETARY_RINGS,3,100,5,1650,-249620.0
PLANETARY_RINGS,3,100,10,900,-149090.0
PLANETARY_RINGS,3,100,20,472,-81400.0
PLANETARY_RINGS,3,100,50,195,-47820.0
PLANETARY_RINGS,3,100,100,98,-11010.0
PLANETARY_RINGS,3,200,5,1633,-254040.0
PLANETARY_RINGS,3,200,10,891,-135940.0
PLANETARY_RINGS,3,200,20,467,-79990.0
PLANETARY_RINGS,3,200,50,193,-36840.0
PLANETARY_RINGS,3,200,100,98,-1470.0
PLANETARY_RINGS,4,10,5,1663,-215700.0
PLANETARY_RINGS,4,10,10,907,-108360.0
PLANETARY_RINGS,4,10,20,476,-36740.0
PLANETARY_RINGS,4,10,50,196,-2200.0
PLANETARY_RINGS,4,10,100,99,-4200.0
PLANETARY_RINGS,4,20,5,1662,-212450.0
PLANETARY_RINGS,4,20,10,907,-89960.0
PLANETARY_RINGS,4,20,20,476,-32370.0
PLANETARY_RINGS,4,20,50,196,8640.0
PLANETARY_RINGS,4,20,100,99,-5120.0
PLANETARY_RINGS,4,50,5,1658,-211700.0
PLANETARY_RINGS,4,50,10,904,-113180.0
PLANETARY_RINGS,4,50,20,474,-53650.0
PLANETARY_RINGS,4,50,50,196,-15790.0
PLANETARY_RINGS,4,50,100,99,-35550.0
PLANETARY_RINGS,4,100,5,1650,-213030.0
PLANETARY_RINGS,4,100,10,900,-109470.0
PLANETARY_RINGS,4,100,20,472,-50390.0
PLANETARY_RINGS,4,100,50,195,-23880.0
PLANETARY_RINGS,4,100,100,99,-10500.0
PLANETARY_RINGS,4,200,5,1633,-226520.0
PLANETARY_RINGS,4,200,10,891,-113290.0
PLANETARY_RINGS,4,200,20,467,-61490.0
PLANETARY_RINGS,4,200,50,193,-27260.0
PLANETARY_RINGS,4,200,100,98,-650.0
SOLAR_FLAMES,2,10,5,1664,-224600.0
SOLAR_FLAMES,2,10,10,908,-134210.0
SOLAR_FLAMES,2,10,20,476,-76910.0
SOLAR_FLAMES,2,10,50,196,-15610.0
SOLAR_FLAMES,2,10,100,99,-19010.0
SOLAR_FLAMES,2,20,5,1662,-232060.0
SOLAR_FLAMES,2,20,10,907,-134420.0
SOLAR_FLAMES,2,20,20,476,-87980.0
SOLAR_FLAMES,2,20,50,196,-16510.0
SOLAR_FLAMES,2,20,100,99,-18040.0
SOLAR_FLAMES,2,50,5,1657,-235060.0
SOLAR_FLAMES,2,50,10,905,-128510.0
SOLAR_FLAMES,2,50,20,474,-68490.0
SOLAR_FLAMES,2,50,50,196,-19160.0
SOLAR_FLAMES,2,50,100,99,-9820.0
SOLAR_FLAMES,2,100,5,1650,-227020.0
SOLAR_FLAMES,2,100,10,900,-121540.0
SOLAR_FLAMES,2,100,20,472,-53520.0
SOLAR_FLAMES,2,100,50,195,-6280.0
SOLAR_FLAMES,2,100,100,99,6960.0
SOLAR_FLAMES,2,200,5,1633,-218680.0
SOLAR_FLAMES,2,200,10,891,-106550.0
SOLAR_FLAMES,2,200,20,467,-37740.0
SOLAR_FLAMES,2,200,50,193,-5950.0
SOLAR_FLAMES,2,200,100,98,14410.0
SOLAR_FLAMES,3,10,5,1663,-225100.0
SOLAR_FLAMES,3,10,10,908,-124220.0
SOLAR_FLAMES,3,10,20,476,-68310.0
SOLAR_FLAMES,3,10,50,196,-3790.0
SOLAR_FLAMES,3,10,100,99,-15360.0
SOLAR_FLAMES,3,20,5,1663,-220080.0
SOLAR_FLAMES,3,20,10,907,-128950.0
SOLAR_FLAMES,3,20,20,476,-65130.0
SOLAR_FLAMES,3,20,50,196,-20890.0
SOLAR_FLAMES,3,20,100,99,3020.0
SOLAR_FLAMES,3,50,5,1658,-244690.0
SOLAR_FLAMES,3,50,10,905,-133310.0
SOLAR_FLAMES,3,50,20,474,-73730.0
SOLAR_FLAMES,3,50,50,196,-29920.0
SOLAR_FLAMES,3,50,100,99,-1280.0
SOLAR_FLAMES,3,100,5,1650,-236110.0
SOLAR_FLAMES,3,100,10,900,-115900.0
SOLAR_FLAMES,3,100,20,472,-52580.0
SOLAR_FLAMES,3,100,50,195,-13040.0
SOLAR_FLAMES,3,100,100,99,-4230.0
SOLAR_FLAMES,3,200,5,1633,-226130.0
SOLAR_FLAMES,3,200,10,891,-118290.0
