sym,mode,N,entry,exit,cd,sz,d2,d3,d4,total
BLACK_HOLES,aggr,50,3,0.0,0,10,-81495.0,-55250.0,-81925.0,-218670.0
BLACK_HOLES,hybr1,50,3,0.0,1,10,-55925.0,-27830.0,-55385.0,-139140.0
BLACK_HOLES,hybr5,50,3,0.0,5,10,-44555.0,-21430.0,-48585.0,-114570.0
BLACK_HOLES,hybr20,50,3,0.0,20,10,-46055.0,-46670.0,-57075.0,-149800.0
BLACK_HOLES,aggr,50,3,0.8999999999999999,0,10,-85585.0,-59950.0,-87925.0,-233460.0
BLACK_HOLES,hybr1,50,3,0.8999999999999999,1,10,-60325.0,-32030.0,-59395.0,-151750.0
BLACK_HOLES,hybr5,50,3,0.8999999999999999,5,10,-44415.0,-23610.0,-52585.0,-120610.0
BLACK_HOLES,hybr20,50,3,0.8999999999999999,20,10,-47615.0,-48760.0,-60625.0,-157000.0
BLACK_HOLES,aggr,50,3,1.7999999999999998,0,10,-92935.0,-65800.0,-94595.0,-253330.0
BLACK_HOLES,hybr1,50,3,1.7999999999999998,1,10,-66135.0,-36090.0,-64955.0,-167180.0
BLACK_HOLES,hybr5,50,3,1.7999999999999998,5,10,-48005.0,-22130.0,-55095.0,-125230.0
BLACK_HOLES,hybr20,50,3,1.7999999999999998,20,10,-49595.0,-48970.0,-64475.0,-163040.0
BLACK_HOLES,aggr,50,5,0.0,0,10,-72815.0,-44130.0,-73485.0,-190430.0
BLACK_HOLES,hybr1,50,5,0.0,1,10,-50765.0,-23860.0,-50985.0,-125610.0
BLACK_HOLES,hybr5,50,5,0.0,5,10,-44015.0,-18520.0,-51935.0,-114470.0
BLACK_HOLES,hybr20,50,5,0.0,20,10,-41505.0,-47760.0,-57685.0,-146950.0
BLACK_HOLES,aggr,50,5,1.5,0,10,-80055.0,-53500.0,-84975.0,-218530.0
BLACK_HOLES,hybr1,50,5,1.5,1,10,-57675.0,-30960.0,-59555.0,-148190.0
BLACK_HOLES,hybr5,50,5,1.5,5,10,-46365.0,-20860.0,-57865.0,-125090.0
BLACK_HOLES,hybr20,50,5,1.5,20,10,-44375.0,-50110.0,-62505.0,-156990.0
BLACK_HOLES,aggr,50,5,3.0,0,10,-88635.0,-60010.0,-90215.0,-238860.0
BLACK_HOLES,hybr1,50,5,3.0,1,10,-65825.0,-36650.0,-63705.0,-166180.0
BLACK_HOLES,hybr5,50,5,3.0,5,10,-48105.0,-19630.0,-60085.0,-127820.0
BLACK_HOLES,hybr20,50,5,3.0,20,10,-46635.0,-51310.0,-64945.0,-162890.0
BLACK_HOLES,aggr,50,8,0.0,0,10,-61655.0,-34810.0,-70385.0,-166850.0
BLACK_HOLES,hybr1,50,8,0.0,1,10,-41585.0,-16310.0,-53525.0,-111420.0
BLACK_HOLES,hybr5,50,8,0.0,5,10,-42065.0,-16570.0,-47815.0,-106450.0
BLACK_HOLES,hybr20,50,8,0.0,20,10,-41195.0,-50160.0,-55915.0,-147270.0
BLACK_HOLES,aggr,50,8,2.4,0,10,-73785.0,-47990.0,-83975.0,-205750.0
BLACK_HOLES,hybr1,50,8,2.4,1,10,-53205.0,-26980.0,-63575.0,-143760.0
