sym,N,th,qs,imb,take,d2,d3,d4,total
BLACK_HOLES,20,1.0,5,False,False,-74680.0,-70105.0,-86015.0,-230800.0
BLACK_HOLES,20,1.0,5,False,True,-126572.0,-110007.0,-151174.0,-387753.0
BLACK_HOLES,20,1.0,5,True,False,-74605.0,-70445.0,-85655.0,-230705.0
BLACK_HOLES,20,1.0,5,True,True,-126450.0,-109287.0,-149265.0,-385002.0
BLACK_HOLES,20,1.0,10,False,False,-93140.0,-89480.0,-113160.0,-295780.0
BLACK_HOLES,20,1.0,10,False,True,-138548.0,-120623.0,-164745.0,-423916.0
BLACK_HOLES,20,1.0,10,True,False,-93210.0,-89330.0,-112690.0,-295230.0
BLACK_HOLES,20,1.0,10,True,True,-138688.0,-119349.0,-162302.0,-420339.0
BLACK_HOLES,20,2.0,5,False,False,-74315.0,-69810.0,-84105.0,-228230.0
BLACK_HOLES,20,2.0,5,False,True,-114134.0,-101226.0,-130644.0,-346004.0
BLACK_HOLES,20,2.0,5,True,False,-73860.0,-69995.0,-84300.0,-228155.0
BLACK_HOLES,20,2.0,5,True,True,-113224.0,-100315.0,-130380.0,-343919.0
BLACK_HOLES,20,2.0,10,False,False,-94085.0,-88120.0,-110510.0,-292715.0
BLACK_HOLES,20,2.0,10,False,True,-128148.0,-112011.0,-142352.0,-382511.0
BLACK_HOLES,20,2.0,10,True,False,-93235.0,-88070.0,-110670.0,-291975.0
BLACK_HOLES,20,2.0,10,True,True,-127098.0,-110713.0,-142147.0,-379958.0
BLACK_HOLES,20,4.0,5,False,False,-75500.0,-72390.0,-84615.0,-232505.0
BLACK_HOLES,20,4.0,5,False,True,-98476.5,-89764.0,-115264.0,-303504.5
BLACK_HOLES,20,4.0,5,True,False,-75070.0,-72225.0,-84555.0,-231850.0
BLACK_HOLES,20,4.0,5,True,True,-97282.5,-88832.0,-115041.0,-301155.5
BLACK_HOLES,20,4.0,10,False,False,-96395.0,-93380.0,-109320.0,-299095.0
BLACK_HOLES,20,4.0,10,False,True,-115847.0,-104291.0,-131289.0,-351427.0
BLACK_HOLES,20,4.0,10,True,False,-95695.0,-93010.0,-109360.0,-298065.0
BLACK_HOLES,20,4.0,10,True,True,-114216.0,-103257.0,-131125.0,-348598.0
BLACK_HOLES,20,8.0,5,False,False,-73822.5,-78185.0,-89000.0,-241007.5
BLACK_HOLES,20,8.0,5,False,True,-79543.5,-75053.0,-101612.0,-256208.5
BLACK_HOLES,20,8.0,5,True,False,-72997.5,-77565.0,-87635.0,-238197.5
BLACK_HOLES,20,8.0,5,True,True,-78803.5,-74170.0,-99949.0,-252922.5
BLACK_HOLES,20,8.0,10,False,False,-98125.0,-103530.0,-116990.0,-318645.0
BLACK_HOLES,20,8.0,10,False,True,-103747.0,-95692.0,-126901.0,-326340.0
BLACK_HOLES,20,8.0,10,True,False,-97935.0,-102880.0,-116160.0,-316975.0
BLACK_HOLES,20,8.0,10,True,True,-103338.0,-94176.0,-125250.0,-322764.0
BLACK_HOLES,50,1.0,5,False,False,-46855.0,-45585.0,-64465.0,-156905.0
BLACK_HOLES,50,1.0,5,False,True,-100050.0,-69138.0,-95458.0,-264646.0
BLACK_HOLES,50,1.0,5,True,False,-46990.0,-45455.0,-64365.0,-156810.0
BLACK_HOLES,50,1.0,5,True,True,-98881.0,-69094.0,-94004.0,-261979.0
BLACK_HOLES,50,1.0,10,False,False,-61935.0,-54920.0,-77225.0,-194080.0
BLACK_HOLES,50,1.0,10,False,True,-109712.0,-77943.0,-102468.0,-290123.0
BLACK_HOLES,50,1.0,10,True,False,-62095.0,-54660.0,-76475.0,-193230.0
BLACK_HOLES,50,1.0,10,True,True,-108803.0,-77814.0,-100469.0,-287086.0
BLACK_HOLES,50,2.0,5,False,False,-47895.0,-46430.0,-66595.0,-160920.0
BLACK_HOLES,50,2.0,5,False,True,-90401.0,-57674.0,-91544.0,-239619.0
BLACK_HOLES,50,2.0,5,True,False,-47710.0,-47170.0,-66485.0,-161365.0
BLACK_HOLES,50,2.0,5,True,True,-88895.0,-57773.0,-90305.0,-236973.0
BLACK_HOLES,50,2.0,10,False,False,-64275.0,-54620.0,-79715.0,-198610.0
BLACK_HOLES,50,2.0,10,False,True,-100101.0,-64659.0,-100935.0,-265695.0
BLACK_HOLES,50,2.0,10,True,False,-63945.0,-56090.0,-78945.0,-198980.0
BLACK_HOLES,50,2.0,10,True,True,-98785.0,-64661.0,-99486.0,-262932.0
BLACK_HOLES,50,4.0,5,False,False,-50240.0,-47845.0,-66145.0,-164230.0
BLACK_HOLES,50,4.0,5,False,True,-80222.0,-48477.0,-83240.0,-211939.0
BLACK_HOLES,50,4.0,5,True,False,-49845.0,-47815.0,-66275.0,-163935.0
BLACK_HOLES,50,4.0,5,True,True,-79930.0,-47737.0,-82012.0,-209679.0
BLACK_HOLES,50,4.0,10,False,False,-67405.0,-58400.0,-80315.0,-206120.0
BLACK_HOLES,50,4.0,10,False,True,-92534.0,-58167.0,-93657.0,-244358.0
BLACK_HOLES,50,4.0,10,True,False,-66765.0,-58340.0,-80255.0,-205360.0
BLACK_HOLES,50,4.0,10,True,True,-91973.0,-58041.0,-92571.0,-242585.0
BLACK_HOLES,50,8.0,5,False,False,-51665.0,-51500.0,-70120.0,-173285.0
BLACK_HOLES,50,8.0,5,False,True,-67528.0,-41543.0,-72956.0,-182027.0
BLACK_HOLES,50,8.0,5,True,False,-51910.0,-51150.0,-69085.0,-172145.0
BLACK_HOLES,50,8.0,5,True,True,-67338.0,-41360.0,-71577.0,-180275.0
BLACK_HOLES,50,8.0,10,False,False,-71955.0,-64090.0,-88035.0,-224080.0
BLACK_HOLES,50,8.0,10,False,True,-83743.0,-57298.0,-88062.0,-229103.0
BLACK_HOLES,50,8.0,10,True,False,-72455.0,-63460.0,-87305.0,-223220.0
BLACK_HOLES,50,8.0,10,True,True,-83678.0,-56871.0,-86703.0,-227252.0
BLACK_HOLES,100,1.0,5,False,False,-28350.0,-20250.0,-39640.0,-88240.0
BLACK_HOLES,100,1.0,5,False,True,-64577.0,-24586.0,-64708.0,-153871.0
BLACK_HOLES,100,1.0,5,True,False,-28110.0,-19960.0,-39670.0,-87740.0
BLACK_HOLES,100,1.0,5,True,True,-64932.0,-23481.0,-64304.0,-152717.0
BLACK_HOLES,100,1.0,10,False,False,-37905.0,-22670.0,-49135.0,-109710.0
BLACK_HOLES,100,1.0,10,False,True,-72811.0,-27286.0,-70418.0,-170515.0
BLACK_HOLES,100,1.0,10,True,False,-37885.0,-22290.0,-49105.0,-109280.0
BLACK_HOLES,100,1.0,10,True,True,-73215.0,-25858.0,-69804.0,-168877.0
BLACK_HOLES,100,2.0,5,False,False,-29305.0,-20250.0,-39655.0,-89210.0
BLACK_HOLES,100,2.0,5,False,True,-57970.0,-20325.0,-60936.0,-139231.0
BLACK_HOLES,100,2.0,5,True,False,-29175.0,-19835.0,-39750.0,-88760.0
BLACK_HOLES,100,2.0,5,True,True,-58220.0,-20450.0,-60904.0,-139574.0
BLACK_HOLES,100,2.0,10,False,False,-39105.0,-23200.0,-48825.0,-111130.0
BLACK_HOLES,100,2.0,10,False,True,-66374.0,-22395.0,-66507.0,-155276.0
BLACK_HOLES,100,2.0,10,True,False,-39195.0,-22620.0,-48815.0,-110630.0
BLACK_HOLES,100,2.0,10,True,True,-66579.0,-22890.0,-66499.0,-155968.0
BLACK_HOLES,100,4.0,5,False,False,-31205.0,-21210.0,-38995.0,-91410.0
BLACK_HOLES,100,4.0,5,False,True,-49502.0,-18637.0,-51897.0,-120036.0
BLACK_HOLES,100,4.0,5,True,False,-31520.0,-21035.0,-38890.0,-91445.0
BLACK_HOLES,100,4.0,5,True,True,-49404.0,-18964.0,-51703.0,-120071.0
BLACK_HOLES,100,4.0,10,False,False,-41605.0,-24360.0,-48325.0,-114290.0
BLACK_HOLES,100,4.0,10,False,True,-58928.0,-23350.0,-59873.0,-142151.0
BLACK_HOLES,100,4.0,10,True,False,-41755.0,-24020.0,-48115.0,-113890.0
BLACK_HOLES,100,4.0,10,True,True,-58492.0,-23662.0,-59172.0,-141326.0
BLACK_HOLES,100,8.0,5,False,False,-32635.0,-24400.0,-39625.0,-96660.0
BLACK_HOLES,100,8.0,5,False,True,-38068.0,-12357.0,-46449.0,-96874.0
BLACK_HOLES,100,8.0,5,True,False,-32605.0,-24620.0,-39620.0,-96845.0
BLACK_HOLES,100,8.0,5,True,True,-37954.0,-11991.0,-45874.0,-95819.0
BLACK_HOLES,100,8.0,10,False,False,-45305.0,-29190.0,-50025.0,-124520.0
BLACK_HOLES,100,8.0,10,False,True,-49140.0,-16455.0,-56496.0,-122091.0
BLACK_HOLES,100,8.0,10,True,False,-45245.0,-29410.0,-49975.0,-124630.0
BLACK_HOLES,100,8.0,10,True,True,-49067.0,-15891.0,-55996.0,-120954.0
BLACK_HOLES,200,1.0,5,False,False,-6650.0,-25005.0,-29320.0,-60975.0
BLACK_HOLES,200,1.0,5,False,True,-23475.0,-46270.0,-47377.0,-117122.0
BLACK_HOLES,200,1.0,5,True,False,-6650.0,-24630.0,-28390.0,-59670.0
BLACK_HOLES,200,1.0,5,True,True,-23353.0,-45833.0,-46905.0,-116091.0
BLACK_HOLES,200,1.0,10,False,False,-16715.0,-29780.0,-33565.0,-80060.0
BLACK_HOLES,200,1.0,10,False,True,-25990.0,-50830.0,-53361.0,-130181.0
BLACK_HOLES,200,1.0,10,True,False,-16715.0,-29550.0,-32885.0,-79150.0
BLACK_HOLES,200,1.0,10,True,True,-25868.0,-50228.0,-52944.0,-129040.0
BLACK_HOLES,200,2.0,5,False,False,-7790.0,-26450.0,-29110.0,-63350.0
