sym,day,ticks,spread_mean,spread_med,spread_p90,spread_max,pct_spread_eq1,pct_spread_eq2,pct_spread_ge3,pct_spread_ge4,pct_spread_ge5,bid1_vol_mean,ask1_vol_mean,bid1_vol_p10,ask1_vol_p10,mid_std,mid_chg_per100
BLACK_HOLES,2,10000,13.6031,14.0,15.0,16,0.0,0.0,100.0,100.0,100.0,18.2591,18.2854,13.0,13.0,10.597998056118334,841.615
BLACK_HOLES,3,10000,14.0854,14.0,15.0,16,0.0,0.0,100.0,100.0,100.0,18.3108,18.276,13.0,13.0,11.125827655128525,883.6550000000001
BLACK_HOLES,4,10000,15.8498,16.0,17.0,18,0.0,0.0,100.0,100.0,100.0,18.1905,18.2166,13.0,13.0,12.62026506344695,1007.3549999999999
DARK_MATTER,2,10000,12.9228,13.0,14.0,14,0.0,0.0,100.0,100.0,100.0,18.2591,18.2854,13.0,13.0,10.067367148979722,801.6700000000001
DARK_MATTER,3,10000,13.2836,13.0,14.0,15,0.0,0.0,100.0,100.0,100.0,18.3108,18.276,13.0,13.0,10.482850936473515,837.955
DARK_MATTER,4,10000,12.9461,13.0,14.0,15,0.0,0.0,100.0,100.0,100.0,18.1905,18.2166,13.0,13.0,10.18309011883937,812.665
PLANETARY_RINGS,2,10000,12.8162,13.0,14.0,15,0.0,0.0,100.0,100.0,100.0,18.2591,18.2854,13.0,13.0,10.157218233664778,812.73
PLANETARY_RINGS,3,10000,14.688,15.0,16.0,16,0.0,0.0,100.0,100.0,100.0,18.3108,18.276,13.0,13.0,11.63506232342945,923.26
PLANETARY_RINGS,4,10000,13.5659,14.0,15.0,15,0.0,0.0,100.0,100.0,100.0,18.1905,18.2166,13.0,13.0,10.793480617120927,861.0200000000001
SOLAR_FLAMES,2,10000,14.0921,14.0,15.0,16,0.0,0.0,100.0,100.0,100.0,18.2591,18.2854,13.0,13.0,11.116588289308346,886.585
SOLAR_FLAMES,3,10000,14.2676,14.0,15.0,16,0.0,0.0,100.0,100.0,100.0,18.3108,18.276,13.0,13.0,11.226610015984338,895.4549999999999
SOLAR_FLAMES,4,10000,13.8549,14.0,15.0,15,0.0,0.0,100.0,100.0,100.0,18.1905,18.2166,13.0,13.0,10.93872968534384,874.2
SOLAR_WINDS,2,10000,12.8726,13.0,14.0,15,0.0,0.0,100.0,100.0,100.0,18.2591,18.2854,13.0,13.0,10.231220634858103,814.5649999999999
SOLAR_WINDS,3,10000,13.1533,13.0,14.0,15,0.0,0.0,100.0,100.0,100.0,18.3108,18.276,13.0,13.0,10.374701562072133,827.495
SOLAR_WINDS,4,10000,13.8779,14.0,15.0,15,0.0,0.0,100.0,100.0,100.0,18.1905,18.2166,13.0,13.0,10.996066192654741,876.0249999999999
