sym,hs,skew,sz,maxI,d2,d3,d4,total
BLACK_HOLES,4,0.0,5,3,-3017.5,5990.0,7351.5,10324.0
BLACK_HOLES,4,0.0,5,5,-4002.5,4835.0,10704.0,11536.5
BLACK_HOLES,4,0.0,5,7,-5326.5,6491.0,11566.0,12730.5
BLACK_HOLES,4,0.0,5,10,-7169.0,4889.0,13730.5,11450.5
BLACK_HOLES,4,0.0,10,3,-3017.5,5990.0,7351.5,10324.0
BLACK_HOLES,4,0.0,10,5,-4002.5,4835.0,10704.0,11536.5
BLACK_HOLES,4,0.0,10,7,-5326.5,6491.0,11566.0,12730.5
BLACK_HOLES,4,0.0,10,10,-7169.0,4889.0,13730.5,11450.5
BLACK_HOLES,4,0.5,5,3,-3232.5,5723.0,7123.5,9614.0
BLACK_HOLES,4,0.5,5,5,-4264.5,4490.0,10448.0,10673.5
BLACK_HOLES,4,0.5,5,7,-5638.5,6055.0,11285.0,11701.5
BLACK_HOLES,4,0.5,5,10,-7616.0,4347.0,13351.5,10082.5
BLACK_HOLES,4,0.5,10,3,-3232.5,5723.0,7123.5,9614.0
BLACK_HOLES,4,0.5,10,5,-4264.5,4490.0,10448.0,10673.5
BLACK_HOLES,4,0.5,10,7,-5638.5,6055.0,11285.0,11701.5
BLACK_HOLES,4,0.5,10,10,-7616.0,4347.0,13351.5,10082.5
BLACK_HOLES,4,1.0,5,3,-3450.5,5445.0,6914.5,8909.0
BLACK_HOLES,4,1.0,5,5,-4584.5,4071.0,10133.0,9619.5
BLACK_HOLES,4,1.0,5,7,-6085.5,5516.0,10849.0,10279.5
BLACK_HOLES,4,1.0,5,10,-8028.0,3820.0,12769.5,8561.5
BLACK_HOLES,4,1.0,10,3,-3450.5,5445.0,6914.5,8909.0
BLACK_HOLES,4,1.0,10,5,-4584.5,4071.0,10133.0,9619.5
BLACK_HOLES,4,1.0,10,7,-6085.5,5516.0,10849.0,10279.5
BLACK_HOLES,4,1.0,10,10,-8028.0,3820.0,12769.5,8561.5
BLACK_HOLES,4,1.5,5,3,-3727.5,5140.0,6697.5,8110.0
BLACK_HOLES,4,1.5,5,5,-4917.5,3588.0,9769.0,8439.5
BLACK_HOLES,4,1.5,5,7,-6110.5,5421.0,10598.0,9908.5
BLACK_HOLES,4,1.5,5,10,-8222.0,3615.0,12819.5,8212.5
BLACK_HOLES,4,1.5,10,3,-3727.5,5140.0,6697.5,8110.0
BLACK_HOLES,4,1.5,10,5,-4917.5,3588.0,9769.0,8439.5
BLACK_HOLES,4,1.5,10,7,-6110.5,5421.0,10598.0,9908.5
BLACK_HOLES,4,1.5,10,10,-8222.0,3615.0,12819.5,8212.5
BLACK_HOLES,4,2.0,5,3,-3948.5,4838.0,6422.5,7312.0
BLACK_HOLES,4,2.0,5,5,-4879.5,3711.0,9511.0,8342.5
