sym,k,sz,mN,mth,d2,d3,d4,total
BLACK_HOLES,3,5,50,3,-7248.0,4887.0,14263.5,11902.5
BLACK_HOLES,3,5,50,6,-7246.0,4880.0,14273.5,11907.5
BLACK_HOLES,3,5,50,10,-7244.0,4878.0,14277.5,11911.5
BLACK_HOLES,3,5,50,15,-7254.0,4879.0,14281.5,11906.5
BLACK_HOLES,3,5,100,3,-7279.0,4928.0,14273.5,11922.5
BLACK_HOLES,3,5,100,6,-7278.0,4925.0,14278.5,11925.5
BLACK_HOLES,3,5,100,10,-7275.0,4927.0,14278.5,11930.5
BLACK_HOLES,3,5,100,15,-7268.0,4938.0,14278.5,11948.5
BLACK_HOLES,3,5,200,3,-7247.0,5010.0,14259.5,12022.5
BLACK_HOLES,3,5,200,6,-7245.0,5009.0,14259.5,12023.5
BLACK_HOLES,3,5,200,10,-7243.0,5004.0,14254.5,12015.5
BLACK_HOLES,3,5,200,15,-7247.0,5003.0,14237.5,11993.5
BLACK_HOLES,3,10,50,3,-7248.0,4887.0,14263.5,11902.5
BLACK_HOLES,3,10,50,6,-7246.0,4880.0,14273.5,11907.5
BLACK_HOLES,3,10,50,10,-7244.0,4878.0,14277.5,11911.5
BLACK_HOLES,3,10,50,15,-7254.0,4879.0,14281.5,11906.5
BLACK_HOLES,3,10,100,3,-7279.0,4928.0,14273.5,11922.5
BLACK_HOLES,3,10,100,6,-7278.0,4925.0,14278.5,11925.5
BLACK_HOLES,3,10,100,10,-7275.0,4927.0,14278.5,11930.5
BLACK_HOLES,3,10,100,15,-7268.0,4938.0,14278.5,11948.5
BLACK_HOLES,3,10,200,3,-7247.0,5010.0,14259.5,12022.5
BLACK_HOLES,3,10,200,6,-7245.0,5009.0,14259.5,12023.5
BLACK_HOLES,3,10,200,10,-7243.0,5004.0,14254.5,12015.5
BLACK_HOLES,3,10,200,15,-7247.0,5003.0,14237.5,11993.5
BLACK_HOLES,4,5,50,3,-7686.0,4315.0,13799.5,10428.5
BLACK_HOLES,4,5,50,6,-7681.0,4308.0,13809.5,10436.5
BLACK_HOLES,4,5,50,10,-7679.0,4306.0,13813.5,10440.5
BLACK_HOLES,4,5,50,15,-7689.0,4307.0,13819.5,10437.5
BLACK_HOLES,4,5,100,3,-7717.0,4358.0,13813.5,10454.5
BLACK_HOLES,4,5,100,6,-7716.0,4355.0,13818.5,10457.5
BLACK_HOLES,4,5,100,10,-7713.0,4357.0,13818.5,10462.5
BLACK_HOLES,4,5,100,15,-7706.0,4367.0,13818.5,10479.5
BLACK_HOLES,4,5,200,3,-7685.0,4430.0,13791.5,10536.5
BLACK_HOLES,4,5,200,6,-7683.0,4430.0,13791.5,10538.5
BLACK_HOLES,4,5,200,10,-7681.0,4425.0,13786.5,10530.5
BLACK_HOLES,4,5,200,15,-7685.0,4424.0,13771.5,10510.5
BLACK_HOLES,4,10,50,3,-7686.0,4315.0,13799.5,10428.5
BLACK_HOLES,4,10,50,6,-7681.0,4308.0,13809.5,10436.5
BLACK_HOLES,4,10,50,10,-7679.0,4306.0,13813.5,10440.5
BLACK_HOLES,4,10,50,15,-7689.0,4307.0,13819.5,10437.5
BLACK_HOLES,4,10,100,3,-7717.0,4358.0,13813.5,10454.5
BLACK_HOLES,4,10,100,6,-7716.0,4355.0,13818.5,10457.5
BLACK_HOLES,4,10,100,10,-7713.0,4357.0,13818.5,10462.5
BLACK_HOLES,4,10,100,15,-7706.0,4367.0,13818.5,10479.5
BLACK_HOLES,4,10,200,3,-7685.0,4430.0,13791.5,10536.5
BLACK_HOLES,4,10,200,6,-7683.0,4430.0,13791.5,10538.5
BLACK_HOLES,4,10,200,10,-7681.0,4425.0,13786.5,10530.5
BLACK_HOLES,4,10,200,15,-7685.0,4424.0,13771.5,10510.5
BLACK_HOLES,5,5,50,3,-8119.0,3745.0,13335.5,8961.5
BLACK_HOLES,5,5,50,6,-8114.0,3738.0,13345.5,8969.5
BLACK_HOLES,5,5,50,10,-8112.0,3736.0,13349.5,8973.5
BLACK_HOLES,5,5,50,15,-8122.0,3737.0,13355.5,8970.5
BLACK_HOLES,5,5,100,3,-8150.0,3788.0,13349.5,8987.5
BLACK_HOLES,5,5,100,6,-8149.0,3785.0,13354.5,8990.5
BLACK_HOLES,5,5,100,10,-8146.0,3787.0,13354.5,8995.5
BLACK_HOLES,5,5,100,15,-8139.0,3797.0,13354.5,9012.5
BLACK_HOLES,5,5,200,3,-8118.0,3860.0,13327.5,9069.5
BLACK_HOLES,5,5,200,6,-8116.0,3860.0,13327.5,9071.5
BLACK_HOLES,5,5,200,10,-8114.0,3855.0,13322.5,9063.5
BLACK_HOLES,5,5,200,15,-8118.0,3854.0,13307.5,9043.5
BLACK_HOLES,5,10,50,3,-8119.0,3745.0,13335.5,8961.5
BLACK_HOLES,5,10,50,6,-8114.0,3738.0,13345.5,8969.5
BLACK_HOLES,5,10,50,10,-8112.0,3736.0,13349.5,8973.5
BLACK_HOLES,5,10,50,15,-8122.0,3737.0,13355.5,8970.5
BLACK_HOLES,5,10,100,3,-8150.0,3788.0,13349.5,8987.5
BLACK_HOLES,5,10,100,6,-8149.0,3785.0,13354.5,8990.5
BLACK_HOLES,5,10,100,10,-8146.0,3787.0,13354.5,8995.5
BLACK_HOLES,5,10,100,15,-8139.0,3797.0,13354.5,9012.5
BLACK_HOLES,5,10,200,3,-8118.0,3860.0,13327.5,9069.5
BLACK_HOLES,5,10,200,6,-8116.0,3860.0,13327.5,9071.5
BLACK_HOLES,5,10,200,10,-8114.0,3855.0,13322.5,9063.5
BLACK_HOLES,5,10,200,15,-8118.0,3854.0,13307.5,9043.5
BLACK_HOLES,6,5,50,3,-8531.0,3175.0,12878.5,7522.5
BLACK_HOLES,6,5,50,6,-8526.0,3168.0,12888.5,7530.5
BLACK_HOLES,6,5,50,10,-8524.0,3166.0,12892.5,7534.5
BLACK_HOLES,6,5,50,15,-8534.0,3167.0,12898.5,7531.5
BLACK_HOLES,6,5,100,3,-8570.0,3218.0,12892.5,7540.5
BLACK_HOLES,6,5,100,6,-8569.0,3215.0,12897.5,7543.5
BLACK_HOLES,6,5,100,10,-8566.0,3217.0,12897.5,7548.5
BLACK_HOLES,6,5,100,15,-8559.0,3227.0,12897.5,7565.5
BLACK_HOLES,6,5,200,3,-8542.0,3290.0,12870.5,7618.5
BLACK_HOLES,6,5,200,6,-8540.0,3290.0,12870.5,7620.5
BLACK_HOLES,6,5,200,10,-8538.0,3285.0,12865.5,7612.5
BLACK_HOLES,6,5,200,15,-8542.0,3284.0,12850.5,7592.5
BLACK_HOLES,6,10,50,3,-8531.0,3175.0,12878.5,7522.5
BLACK_HOLES,6,10,50,6,-8526.0,3168.0,12888.5,7530.5
BLACK_HOLES,6,10,50,10,-8524.0,3166.0,12892.5,7534.5
BLACK_HOLES,6,10,50,15,-8534.0,3167.0,12898.5,7531.5
BLACK_HOLES,6,10,100,3,-8570.0,3218.0,12892.5,7540.5
