sym,N,th,hold,d2,d3,d4,total,tr
BLACK_HOLES,50,10,10,-121735.0,-116380.0,-153265.0,-391380.0,5338
BLACK_HOLES,50,10,20,-60155.0,-54260.0,-88455.0,-202870.0,2813
BLACK_HOLES,50,10,50,-14525.0,-23770.0,-25815.0,-64110.0,1167
BLACK_HOLES,50,10,100,-10695.0,-16830.0,-4785.0,-32310.0,591
BLACK_HOLES,50,10,200,5655.0,-15050.0,-11295.0,-20690.0,297
BLACK_HOLES,50,15,10,-121415.0,-117750.0,-141455.0,-380620.0,5231
BLACK_HOLES,50,15,20,-64095.0,-50080.0,-107865.0,-222040.0,2779
BLACK_HOLES,50,15,50,-20015.0,-35320.0,-36760.0,-92095.0,1162
BLACK_HOLES,50,15,100,-6415.0,-16850.0,-3185.0,-26450.0,589
BLACK_HOLES,50,15,200,245.0,-12210.0,-10415.0,-22380.0,297
BLACK_HOLES,50,20,10,-115055.0,-109080.0,-148615.0,-372750.0,5115
BLACK_HOLES,50,20,20,-70935.0,-54650.0,-98595.0,-224180.0,2749
BLACK_HOLES,50,20,50,-9895.0,-2560.0,-42645.0,-55100.0,1151
BLACK_HOLES,50,20,100,-3645.0,-16230.0,-22495.0,-42370.0,587
BLACK_HOLES,50,20,200,-1065.0,-12460.0,-10295.0,-23820.0,297
BLACK_HOLES,50,30,10,-101975.0,-105630.0,-134235.0,-341840.0,4775
BLACK_HOLES,50,30,20,-63515.0,-51990.0,-81085.0,-196590.0,2643
BLACK_HOLES,50,30,50,-30845.0,-30830.0,-48185.0,-109860.0,1131
BLACK_HOLES,50,30,100,-5585.0,-5460.0,-24725.0,-35770.0,583
BLACK_HOLES,50,30,200,-8780.0,370.0,-16985.0,-25395.0,296
BLACK_HOLES,50,50,10,-83555.0,-75700.0,-115825.0,-275080.0,3865
BLACK_HOLES,50,50,20,-46175.0,-43260.0,-77015.0,-166450.0,2255
BLACK_HOLES,50,50,50,-25760.0,-29940.0,-32855.0,-88555.0,1058
BLACK_HOLES,50,50,100,-6525.0,-5040.0,-29155.0,-40720.0,557
BLACK_HOLES,50,50,200,5735.0,-12830.0,-25905.0,-33000.0,289
BLACK_HOLES,50,75,10,-54655.0,-59040.0,-93025.0,-206720.0,2778
BLACK_HOLES,50,75,20,-33365.0,-36420.0,-69085.0,-138870.0,1714
BLACK_HOLES,50,75,50,-17455.0,-20120.0,-33745.0,-71320.0,879
BLACK_HOLES,50,75,100,-2765.0,-6120.0,-11335.0,-20220.0,507
BLACK_HOLES,50,75,200,-4935.0,5030.0,-22895.0,-22800.0,275
BLACK_HOLES,50,100,10,-29165.0,-29930.0,-63850.0,-122945.0,1800
BLACK_HOLES,50,100,20,-16745.0,-15100.0,-48170.0,-80015.0,1157
BLACK_HOLES,50,100,50,-4755.0,-4740.0,-28690.0,-38185.0,660
BLACK_HOLES,50,100,100,-1415.0,-9310.0,-25175.0,-35900.0,427
BLACK_HOLES,50,100,200,2105.0,-4330.0,-11955.0,-14180.0,243
BLACK_HOLES,100,10,10,-114765.0,-109670.0,-143905.0,-368340.0,5331
BLACK_HOLES,100,10,20,-57755.0,-46270.0,-81355.0,-185380.0,2811
BLACK_HOLES,100,10,50,-20265.0,-45220.0,-35975.0,-101460.0,1161
BLACK_HOLES,100,10,100,2145.0,-15760.0,-20235.0,-33850.0,585
BLACK_HOLES,100,10,200,12445.0,-8890.0,-17485.0,-13930.0,297
BLACK_HOLES,100,15,10,-118645.0,-106450.0,-130260.0,-355355.0,5266
BLACK_HOLES,100,15,20,-51475.0,-47670.0,-74705.0,-173850.0,2791
BLACK_HOLES,100,15,50,3905.0,-35840.0,-37505.0,-69440.0,1161
BLACK_HOLES,100,15,100,4585.0,-18610.0,-9875.0,-23900.0,585
BLACK_HOLES,100,15,200,10955.0,-11610.0,-16445.0,-17100.0,297
BLACK_HOLES,100,20,10,-109565.0,-111940.0,-135215.0,-356720.0,5193
BLACK_HOLES,100,20,20,-62255.0,-46600.0,-77795.0,-186650.0,2764
BLACK_HOLES,100,20,50,-22435.0,-40660.0,-34805.0,-97900.0,1153
BLACK_HOLES,100,20,100,2115.0,-12960.0,-9275.0,-20120.0,585
BLACK_HOLES,100,20,200,9145.0,-9080.0,-11355.0,-11290.0,295
BLACK_HOLES,100,30,10,-107655.0,-96990.0,-136255.0,-340900.0,4953
BLACK_HOLES,100,30,20,-52850.0,-49150.0,-64285.0,-166285.0,2678
BLACK_HOLES,100,30,50,-14585.0,-19130.0,-26225.0,-59940.0,1139
BLACK_HOLES,100,30,100,395.0,-20260.0,3605.0,-16260.0,583
BLACK_HOLES,100,30,200,2765.0,-3610.0,-8345.0,-9190.0,295
BLACK_HOLES,100,50,10,-83430.0,-91070.0,-124505.0,-299005.0,4344
BLACK_HOLES,100,50,20,-46425.0,-50570.0,-68895.0,-165890.0,2457
BLACK_HOLES,100,50,50,-8605.0,-34030.0,-33635.0,-76270.0,1081
BLACK_HOLES,100,50,100,2520.0,-14640.0,-35475.0,-47595.0,566
BLACK_HOLES,100,50,200,10745.0,-7610.0,285.0,3420.0,289
BLACK_HOLES,100,75,10,-60985.0,-80150.0,-94175.0,-235310.0,3475
BLACK_HOLES,100,75,20,-31585.0,-39460.0,-58185.0,-129230.0,2015
BLACK_HOLES,100,75,50,-10735.0,-18600.0,-20175.0,-49510.0,963
BLACK_HOLES,100,75,100,-11515.0,-3080.0,-20795.0,-35390.0,523
BLACK_HOLES,100,75,200,1515.0,-6150.0,-12355.0,-16990.0,281
BLACK_HOLES,100,100,10,-51545.0,-57880.0,-81495.0,-190920.0,2717
BLACK_HOLES,100,100,20,-32175.0,-28270.0,-46835.0,-107280.0,1631
BLACK_HOLES,100,100,50,-12455.0,-18800.0,-28065.0,-59320.0,821
BLACK_HOLES,100,100,100,1615.0,-20700.0,-21595.0,-40680.0,481
BLACK_HOLES,100,100,200,4825.0,-7670.0,-19435.0,-22280.0,258
BLACK_HOLES,200,10,10,-106025.0,-125360.0,-154795.0,-386180.0,5303
BLACK_HOLES,200,10,20,-51535.0,-60870.0,-87555.0,-199960.0,2789
BLACK_HOLES,200,10,50,-3255.0,-17170.0,-43775.0,-64200.0,1149
BLACK_HOLES,200,10,100,6055.0,-17070.0,-19555.0,-30570.0,580
BLACK_HOLES,200,10,200,-1025.0,-19340.0,-16675.0,-37040.0,291
BLACK_HOLES,200,15,10,-111395.0,-123710.0,-148155.0,-383260.0,5273
BLACK_HOLES,200,15,20,-41505.0,-57010.0,-86510.0,-185025.0,2776
BLACK_HOLES,200,15,50,-11125.0,-29030.0,-44695.0,-84850.0,1149
BLACK_HOLES,200,15,100,-1245.0,-17910.0,-21385.0,-40540.0,579
BLACK_HOLES,200,15,200,-1025.0,-22230.0,-12895.0,-36150.0,291
BLACK_HOLES,200,20,10,-105875.0,-127820.0,-155635.0,-389330.0,5207
BLACK_HOLES,200,20,20,-47595.0,-59060.0,-89660.0,-196315.0,2754
BLACK_HOLES,200,20,50,-4995.0,-39720.0,-40305.0,-85020.0,1145
BLACK_HOLES,200,20,100,8675.0,-28290.0,-30575.0,-50190.0,579
BLACK_HOLES,200,20,200,-1105.0,-10600.0,-15335.0,-27040.0,291
BLACK_HOLES,200,30,10,-97065.0,-120910.0,-141150.0,-359125.0,5022
BLACK_HOLES,200,30,20,-47545.0,-58330.0,-83505.0,-189380.0,2707
BLACK_HOLES,200,30,50,-20195.0,-26380.0,-42335.0,-88910.0,1133
BLACK_HOLES,200,30,100,5625.0,-18370.0,-14695.0,-27440.0,577
