sym,day,ticks_with_quote,buy_fills,sell_fills,buy_fill_rate_%,sell_fill_rate_%,buy_edge_mean,sell_edge_mean,naive_pnl_size1
BLACK_HOLES,2,10000,1260,1300,12.6,13.0,-11.490079365079366,-11.641923076923076,-29612.0
BLACK_HOLES,3,10000,1267,1288,12.67,12.879999999999999,-12.067876874506709,-12.248835403726709,-31066.5
BLACK_HOLES,4,10000,1259,1293,12.590000000000002,12.93,-13.577442414614774,-13.858855375096674,-35013.5
DARK_MATTER,2,10000,1298,1300,12.98,13.0,-10.99306625577812,-10.836923076923076,-28357.0
DARK_MATTER,3,10000,1305,1351,13.05,13.51,-11.338697318007663,-11.151369356032568,-29862.5
DARK_MATTER,4,10000,1334,1275,13.34,12.75,-10.994002998500749,-11.137254901960784,-28866.0
PLANETARY_RINGS,2,10000,1318,1360,13.18,13.600000000000001,-10.783763277693476,-10.939338235294118,-29090.5
PLANETARY_RINGS,3,10000,1249,1278,12.49,12.78,-12.757806244995997,-12.896713615023474,-32416.5
PLANETARY_RINGS,4,10000,1381,1296,13.81,12.959999999999999,-11.630340333091961,-11.616512345679013,-31116.5
SOLAR_FLAMES,2,10000,1280,1320,12.8,13.200000000000001,-11.91328125,-12.109469696969697,-31233.5
SOLAR_FLAMES,3,10000,1300,1270,13.0,12.7,-12.160769230769231,-12.266535433070866,-31387.5
SOLAR_FLAMES,4,10000,1270,1281,12.7,12.809999999999999,-11.876377952755906,-11.991803278688524,-30444.5
SOLAR_WINDS,2,10000,1331,1307,13.309999999999999,13.07,-11.160405709992487,-11.136954858454477,-29410.5
SOLAR_WINDS,3,10000,1313,1311,13.13,13.11,-11.221629855293221,-11.323035850495804,-29578.5
SOLAR_WINDS,4,10000,1293,1288,12.93,12.879999999999999,-12.051044083526682,-12.048136645962733,-31100.0
