sym,day,n_trades,total_qty,buyer_init_qty,seller_init_qty,midline_qty,net_signed_qty,mean_trade_size,trade_vs_mid_mean_bps
BLACK_HOLES,2,229,562,277,285,0,-8,2.4541484716157207,-0.22698124971201492
BLACK_HOLES,3,255,649,320,329,0,-9,2.545098039215686,0.13669417866651293
BLACK_HOLES,4,249,594,283,311,0,-28,2.3855421686746987,-0.2873912861602879
DARK_MATTER,2,229,562,277,285,0,-8,2.4541484716157207,-0.22240247643851146
DARK_MATTER,3,255,649,320,329,0,-9,2.545098039215686,0.12481812410080725
DARK_MATTER,4,249,594,283,311,0,-28,2.3855421686746987,-0.3183446231532047
PLANETARY_RINGS,2,229,562,277,285,0,-8,2.4541484716157207,-0.23245616285909246
PLANETARY_RINGS,3,255,649,320,329,0,-9,2.545098039215686,0.15038359921427813
PLANETARY_RINGS,4,249,594,283,311,0,-28,2.3855421686746987,-0.3170713792905712
SOLAR_FLAMES,2,229,562,277,285,0,-8,2.4541484716157207,-0.23831212974554442
SOLAR_FLAMES,3,255,649,320,329,0,-9,2.545098039215686,0.13266806664745237
SOLAR_FLAMES,4,249,594,283,311,0,-28,2.3855421686746987,-0.3249909384275502
SOLAR_WINDS,2,229,562,277,285,0,-8,2.4541484716157207,-0.2192247270282487
SOLAR_WINDS,3,255,649,320,329,0,-9,2.545098039215686,0.14139801278232542
SOLAR_WINDS,4,249,594,283,311,0,-28,2.3855421686746987,-0.3250160764573901
