sym,day,n_trades,qty_total,qty_buy,qty_sell,qty_mid,net_signed,mean_sz,max_sz,p90_sz
BLACK_HOLES,2,229,562,277,285,0,-8,2.4541484716157207,4,4.0
BLACK_HOLES,3,255,649,320,329,0,-9,2.545098039215686,4,4.0
BLACK_HOLES,4,249,594,283,311,0,-28,2.3855421686746987,4,4.0
DARK_MATTER,2,229,562,277,285,0,-8,2.4541484716157207,4,4.0
DARK_MATTER,3,255,649,320,329,0,-9,2.545098039215686,4,4.0
DARK_MATTER,4,249,594,283,311,0,-28,2.3855421686746987,4,4.0
PLANETARY_RINGS,2,229,562,277,285,0,-8,2.4541484716157207,4,4.0
PLANETARY_RINGS,3,255,649,320,329,0,-9,2.545098039215686,4,4.0
PLANETARY_RINGS,4,249,594,283,311,0,-28,2.3855421686746987,4,4.0
SOLAR_FLAMES,2,229,562,277,285,0,-8,2.4541484716157207,4,4.0
SOLAR_FLAMES,3,255,649,320,329,0,-9,2.545098039215686,4,4.0
SOLAR_FLAMES,4,249,594,283,311,0,-28,2.3855421686746987,4,4.0
SOLAR_WINDS,2,229,562,277,285,0,-8,2.4541484716157207,4,4.0
SOLAR_WINDS,3,255,649,320,329,0,-9,2.545098039215686,4,4.0
SOLAR_WINDS,4,249,594,283,311,0,-28,2.3855421686746987,4,4.0
