a,b,kind,entry_z,pnl,trades,entries
RECTANGLE,SQUARE,product,1.8,48430.0,40,10
RECTANGLE,SQUARE,product,2.0,48360.0,36,9
CIRCLE,TRIANGLE,sum,1.0,47940.0,118,30
CIRCLE,TRIANGLE,product,1.0,43040.0,110,28
RECTANGLE,SQUARE,product,2.5,37890.0,20,5
CIRCLE,TRIANGLE,sum,1.5,36840.0,60,15
CIRCLE,TRIANGLE,sum,1.2,35550.0,76,19
CIRCLE,TRIANGLE,product,1.2,34790.0,74,19
RECTANGLE,SQUARE,product,1.5,34160.0,48,12
CIRCLE,TRIANGLE,product,1.5,33710.0,56,14
RECTANGLE,SQUARE,product,1.0,32170.0,76,19
CIRCLE,TRIANGLE,product,1.8,32150.0,44,11
OVAL,TRIANGLE,spread,2.5,30895.0,26,7
CIRCLE,TRIANGLE,sum,1.8,30640.0,40,10
RECTANGLE,SQUARE,product,1.2,30000.0,56,14
CIRCLE,TRIANGLE,product,2.0,27810.0,32,8
OVAL,TRIANGLE,ratio,2.0,27005.0,38,10
RECTANGLE,SQUARE,sum,2.0,26050.0,28,7
OVAL,TRIANGLE,spread,2.0,25865.0,38,10
CIRCLE,TRIANGLE,sum,2.0,25620.0,32,8
CIRCLE,TRIANGLE,ratio,2.0,25050.0,38,10
OVAL,TRIANGLE,spread,1.2,24135.0,86,22
OVAL,TRIANGLE,ratio,2.5,22095.0,22,6
CIRCLE,TRIANGLE,spread,2.0,22030.0,38,10
OVAL,TRIANGLE,ratio,1.2,21785.0,78,20
OVAL,TRIANGLE,ratio,1.8,20975.0,38,10
OVAL,TRIANGLE,ratio,1.0,20595.0,102,26
OVAL,TRIANGLE,spread,1.0,19735.0,102,26
OVAL,TRIANGLE,ratio,1.5,19735.0,50,13
CIRCLE,TRIANGLE,product,2.5,19700.0,20,5
OVAL,TRIANGLE,spread,1.8,19575.0,38,10
OVAL,RECTANGLE,spread,1.2,19320.0,102,26
CIRCLE,TRIANGLE,sum,2.5,18920.0,20,5
RECTANGLE,SQUARE,sum,1.8,18550.0,28,7
OVAL,TRIANGLE,spread,1.5,18495.0,50,13
CIRCLE,RECTANGLE,spread,2.5,15935.0,14,4
CIRCLE,TRIANGLE,ratio,1.8,15830.0,38,10
OVAL,RECTANGLE,ratio,1.2,15220.0,102,26
CIRCLE,TRIANGLE,spread,1.8,14890.0,42,11
CIRCLE,OVAL,product,2.0,14315.0,26,7
CIRCLE,RECTANGLE,spread,1.8,14155.0,30,8
CIRCLE,OVAL,sum,2.0,13395.0,26,7
CIRCLE,RECTANGLE,ratio,2.5,13075.0,14,4
CIRCLE,TRIANGLE,spread,1.2,12970.0,70,18
RECTANGLE,TRIANGLE,ratio,2.0,12775.0,30,8
RECTANGLE,TRIANGLE,spread,2.0,12275.0,30,8
RECTANGLE,TRIANGLE,product,1.8,12265.0,42,11
OVAL,RECTANGLE,spread,1.0,12260.0,114,29
CIRCLE,TRIANGLE,spread,1.0,12030.0,90,23
OVAL,RECTANGLE,ratio,1.8,11880.0,62,16
CIRCLE,TRIANGLE,ratio,1.0,11610.0,82,21
RECTANGLE,TRIANGLE,sum,1.8,11595.0,42,11
CIRCLE,RECTANGLE,sum,1.0,11495.0,54,14
RECTANGLE,TRIANGLE,ratio,1.8,11205.0,38,10
CIRCLE,RECTANGLE,product,1.0,10995.0,50,13
CIRCLE,RECTANGLE,ratio,1.5,10875.0,34,9
RECTANGLE,TRIANGLE,spread,1.8,10785.0,38,10
RECTANGLE,SQUARE,sum,1.5,10710.0,36,9
CIRCLE,RECTANGLE,spread,2.0,10575.0,22,6
OVAL,RECTANGLE,spread,1.8,10340.0,58,15
OVAL,SQUARE,sum,2.0,10000.0,34,9
RECTANGLE,SQUARE,sum,1.0,9900.0,56,14
RECTANGLE,TRIANGLE,spread,1.5,9835.0,50,13
CIRCLE,RECTANGLE,spread,1.2,9625.0,46,12
CIRCLE,OVAL,product,2.5,9165.0,10,3
CIRCLE,RECTANGLE,spread,1.0,9155.0,58,15
OVAL,RECTANGLE,ratio,1.5,9030.0,70,18
CIRCLE,RECTANGLE,ratio,1.8,8835.0,26,7
CIRCLE,TRIANGLE,ratio,1.2,8780.0,62,16
CIRCLE,RECTANGLE,ratio,2.0,8295.0,22,6
CIRCLE,RECTANGLE,sum,1.2,8155.0,38,10
RECTANGLE,TRIANGLE,product,1.5,7875.0,50,13
RECTANGLE,TRIANGLE,ratio,1.2,7805.0,66,17
RECTANGLE,TRIANGLE,ratio,2.5,7750.0,12,3
CIRCLE,RECTANGLE,ratio,1.2,7695.0,46,12
CIRCLE,OVAL,sum,2.5,7375.0,10,3
RECTANGLE,TRIANGLE,sum,1.5,7225.0,50,13
CIRCLE,OVAL,product,1.8,6345.0,26,7
RECTANGLE,TRIANGLE,spread,2.5,6320.0,12,3
OVAL,RECTANGLE,ratio,1.0,6010.0,110,28
RECTANGLE,SQUARE,sum,1.2,5920.0,40,10
CIRCLE,TRIANGLE,ratio,1.5,5910.0,42,11
CIRCLE,RECTANGLE,spread,1.5,5605.0,30,8
RECTANGLE,TRIANGLE,ratio,1.5,5585.0,46,12
OVAL,RECTANGLE,ratio,2.0,5500.0,50,13
RECTANGLE,TRIANGLE,ratio,1.0,5365.0,70,18
RECTANGLE,TRIANGLE,spread,1.2,5365.0,62,16
CIRCLE,RECTANGLE,product,1.2,5255.0,34,9
CIRCLE,OVAL,sum,1.8,4875.0,26,7
CIRCLE,RECTANGLE,ratio,1.0,4215.0,54,14
RECTANGLE,TRIANGLE,sum,2.5,3275.0,22,6
