variant,day,choc_pnl,total
choc_top3_t100,5-3,5456,293944
choc_microchip_t100,5-2,10356,254416
choc_top3_t100,5-4,12373,306214
choc_microchip_t100,5-3,7850,296338
choc_top3_t150,5-2,8274,252334
choc_microchip_t100,5-4,14468,308310
choc_top3_t150,5-3,8060,296548
choc_microchip_t150,5-2,14735,258795
choc_top3_t150,5-4,10573,304414
choc_microchip_t150,5-3,11313,299801
choc_top3_t200,5-2,7706,251766
choc_microchip_t150,5-4,10530,304372
choc_top3_t200,5-3,9627,298115
choc_microchip_t200,5-2,14107,258167
choc_top3_t200,5-4,5125,298966
choc_microchip_t200,5-3,14293,302781
choc_top3_t250,5-2,6450,250510
choc_microchip_t200,5-4,5262,299104
choc_top3_t250,5-3,13617,302105
choc_microchip_t250,5-2,11899,255959
choc_top3_t250,5-4,3473,297314
choc_microchip_t250,5-3,17990,306478
choc_top3_t300,5-2,8120,252180
choc_microchip_t250,5-4,3650,297492
choc_top3_t300,5-3,15856,304344
choc_microchip_t300,5-2,8654,252714
choc_top3_t300,5-4,3454,297296
choc_microchip_t300,5-3,17128,305616
choc_top3_t400,5-2,12404,256464
choc_microchip_t300,5-4,3243,297084
choc_top3_t400,5-3,16323,304811
choc_microchip_t400,5-2,10432,254492
choc_top3_t400,5-4,2786,296628
choc_microchip_t400,5-3,15416,303904
choc_microchip_t400,5-4,5398,299240
choc_top3_t100,5-2,8693,252753
choc_top3_t100,5-3,5456,293944
choc_top3_t100,5-4,12373,306214
choc_top3_t150,5-2,8274,252334
choc_top3_t150,5-3,8060,296548
choc_top3_t150,5-4,10573,304414
choc_top3_t200,5-2,7706,251766
choc_top3_t200,5-3,9627,298115
choc_top3_t200,5-4,5125,298966
choc_top3_t250,5-2,6450,250510
choc_top3_t250,5-3,13617,302105
choc_top3_t250,5-4,3473,297314
choc_top3_t300,5-2,8120,252180
choc_top3_t300,5-3,15856,304344
choc_top3_t300,5-4,3454,297296
choc_top3_t400,5-2,12404,256464
choc_top3_t400,5-3,16323,304811
choc_top3_t400,5-4,2786,296628
