basket,thr,5-2,5-3,5-4,choc_3day,total_3day,delta_vs_base
microchip,100,10356.0,7850.0,14468.0,32674.0,859064.0,7592.0
microchip,150,14735.0,11313.0,10530.0,36578.0,862968.0,11496.0
microchip,200,14107.0,14293.0,5262.0,33662.0,860052.0,8580.0
microchip,250,11899.0,17990.0,3650.0,33539.0,859929.0,8457.0
microchip,300,8654.0,17128.0,3243.0,29025.0,855414.0,3942.0
microchip,400,10432.0,15416.0,5398.0,31246.0,857636.0,6164.0
top3,100,8693.0,5456.0,12373.0,26522.0,852911.0,1439.0
top3,150,8274.0,8060.0,10573.0,26907.0,853296.0,1824.0
top3,200,7706.0,9627.0,5125.0,22458.0,848847.0,-2625.0
top3,250,6450.0,13617.0,3473.0,23540.0,849929.0,-1543.0
top3,300,8120.0,15856.0,3454.0,27430.0,853820.0,2348.0
top3,400,12404.0,16323.0,2786.0,31513.0,857903.0,6431.0
