file,day,garlic_pnl,total_pnl
oxy_garlic_pebbles_t100,5-2,19682,274858
oxy_garlic_pebbles_t100,5-3,19428,314180
oxy_garlic_top4_t150,5-2,14202,269378
oxy_garlic_pebbles_t100,5-4,11632,302264
oxy_garlic_top4_t150,5-3,21474,316226
oxy_garlic_pebbles_t150,5-2,21166,276344
oxy_garlic_top4_t150,5-4,15331,305964
oxy_garlic_pebbles_t150,5-3,25618,320370
oxy_garlic_top4_t200,5-2,14170,269347
oxy_garlic_pebbles_t150,5-4,11094,301726
oxy_garlic_top4_t200,5-3,22286,317039
oxy_garlic_pebbles_t200,5-2,19684,274861
oxy_garlic_top4_t200,5-4,17547,308180
oxy_garlic_pebbles_t200,5-3,22594,317346
oxy_garlic_top4_t250,5-2,14513,269690
oxy_garlic_pebbles_t200,5-4,14701,305334
oxy_garlic_top4_t250,5-3,17660,312412
oxy_garlic_pebbles_t250,5-2,19851,275028
oxy_garlic_top4_t250,5-4,21874,312506
oxy_garlic_pebbles_t250,5-3,23798,318550
oxy_garlic_top4_t300,5-2,16023,271200
oxy_garlic_pebbles_t250,5-4,15509,306142
oxy_garlic_top4_t300,5-3,16860,311612
oxy_garlic_pebbles_t300,5-2,20776,275953
oxy_garlic_top4_t300,5-4,21626,312258
oxy_garlic_pebbles_t300,5-3,22866,317618
oxy_garlic_top4_t400,5-2,18776,273953
oxy_garlic_pebbles_t300,5-4,13285,303918
oxy_garlic_top4_t400,5-3,13590,308343
oxy_garlic_pebbles_t400,5-2,23524,278701
oxy_garlic_top4_t400,5-4,16136,306768
oxy_garlic_pebbles_t400,5-3,13454,308206
oxy_garlic_pebbles_t400,5-4,14186,304818
oxy_garlic_top4_t100,5-2,16704,271880
oxy_garlic_top4_t100,5-3,23774,318526
oxy_garlic_top4_t100,5-4,19190,309822
