symbol,strategy,pnl,n_fills,end_pos,d2,d3,d4
CHOCOLATE,v0_baseline_off1_sz5,23429.0,642,1,8684.0,10062.0,4683.0
CHOCOLATE,v1_size10,23429.0,642,1,8684.0,10062.0,4683.0
CHOCOLATE,v2_skew,21523.0,642,1,8095.0,9372.0,4056.0
CHOCOLATE,v3_two_levels,23429.0,642,1,8684.0,10062.0,4683.0
CHOCOLATE,v4_join_best,24936.0,642,1,9130.0,10652.0,5154.0
CHOCOLATE,v6_garlic_wider,21922.0,642,1,8238.0,9472.0,4212.0
CHOCOLATE,v7_size10_off1,23429.0,642,1,8684.0,10062.0,4683.0
CHOCOLATE,v8_join_size10,24936.0,642,1,9130.0,10652.0,5154.0
CHOCOLATE,v9_two_lvl_sz3,21780.0,1081,-5,6284.0,9586.0,5910.0
EVENING_BREATH,v0_baseline_off1_sz5,20900.0,642,1,1605.0,7480.0,11815.0
EVENING_BREATH,v1_size10,20900.0,642,1,1605.0,7480.0,11815.0
EVENING_BREATH,v2_skew,18994.0,642,1,1016.0,6788.0,11190.0
EVENING_BREATH,v3_two_levels,20900.0,642,1,1605.0,7480.0,11815.0
EVENING_BREATH,v4_join_best,22407.0,642,1,2051.0,8070.0,12286.0
EVENING_BREATH,v6_garlic_wider,19393.0,642,1,1159.0,6890.0,11344.0
EVENING_BREATH,v7_size10_off1,20900.0,642,1,1605.0,7480.0,11815.0
EVENING_BREATH,v8_join_size10,22407.0,642,1,2051.0,8070.0,12286.0
EVENING_BREATH,v9_two_lvl_sz3,23287.0,1081,-5,1101.0,8720.0,13466.0
GARLIC,v0_baseline_off1_sz5,9675.0,642,1,-2427.0,4140.0,7962.0
GARLIC,v1_size10,9675.0,642,1,-2427.0,4140.0,7962.0
GARLIC,v2_skew,7758.0,642,1,-3026.0,3449.0,7335.0
GARLIC,v3_two_levels,9675.0,642,1,-2427.0,4140.0,7962.0
GARLIC,v4_join_best,11182.0,642,1,-1981.0,4730.0,8433.0
GARLIC,v6_garlic_wider,8168.0,642,1,-2873.0,3550.0,7491.0
GARLIC,v7_size10_off1,9675.0,642,1,-2427.0,4140.0,7962.0
GARLIC,v8_join_size10,11182.0,642,1,-1981.0,4730.0,8433.0
GARLIC,v9_two_lvl_sz3,16917.0,1087,-2,3998.0,8740.0,4179.0
MINT,v0_baseline_off1_sz5,-408.0,642,1,-1950.0,-874.0,2416.0
MINT,v1_size10,-408.0,642,1,-1950.0,-874.0,2416.0
MINT,v2_skew,-2319.0,642,1,-2542.0,-1566.0,1789.0
MINT,v3_two_levels,-408.0,642,1,-1950.0,-874.0,2416.0
MINT,v4_join_best,1099.0,642,1,-1504.0,-284.0,2887.0
MINT,v6_garlic_wider,-1915.0,642,1,-2396.0,-1464.0,1945.0
MINT,v7_size10_off1,-408.0,642,1,-1950.0,-874.0,2416.0
MINT,v8_join_size10,1099.0,642,1,-1504.0,-284.0,2887.0
MINT,v9_two_lvl_sz3,8148.0,1081,-5,-4636.0,4143.0,8641.0
MORNING_BREATH,v0_baseline_off1_sz5,13496.0,642,1,3602.0,1908.0,7985.0
MORNING_BREATH,v1_size10,13496.0,642,1,3602.0,1908.0,7985.0
MORNING_BREATH,v2_skew,11585.0,642,1,3009.0,1218.0,7358.0
MORNING_BREATH,v3_two_levels,13496.0,642,1,3602.0,1908.0,7985.0
MORNING_BREATH,v4_join_best,15003.0,642,1,4048.0,2498.0,8456.0
MORNING_BREATH,v6_garlic_wider,11989.0,642,1,3156.0,1318.0,7514.0
MORNING_BREATH,v7_size10_off1,13496.0,642,1,3602.0,1908.0,7985.0
MORNING_BREATH,v8_join_size10,15003.0,642,1,4048.0,2498.0,8456.0
MORNING_BREATH,v9_two_lvl_sz3,16478.0,1081,-5,3715.0,3364.0,9400.0
