symbol,lag_-50,lag_-20,lag_-10,lag_-5,lag_-1,lag_+1,lag_+5,lag_+10,lag_+20,lag_+50,max_abs
PANEL_1X2,-0.0088,0.0073,-0.0046,-0.0046,-0.0099,-0.0207,-0.0035,-0.002,0.0045,-0.001,0.0207
OXYGEN_SHAKE_EVENING_BREATH,0.0039,0.0047,0.0086,-0.019,0.0119,-0.0154,-0.0047,-0.0002,-0.0011,0.0107,0.019
MICROCHIP_TRIANGLE,-0.0103,-0.0109,0.0055,0.0011,-0.0011,-0.006,0.0046,0.0176,0.0088,-0.0034,0.0176
GALAXY_SOUNDS_SOLAR_FLAMES,-0.0053,0.0027,0.0061,0.0075,-0.0162,-0.0082,0.0048,-0.0022,-0.0015,-0.0074,0.0162
SLEEP_POD_POLYESTER,0.0031,0.0035,0.0013,-0.0012,-0.008,-0.0161,-0.0016,0.0051,0.0013,0.0049,0.0161
SNACKPACK_RASPBERRY,-0.0022,-0.0032,0.0018,-0.0036,-0.0046,-0.0154,0.0045,0.0044,-0.0085,-0.0022,0.0154
ROBOT_DISHES,-0.0024,-0.0011,0.0002,-0.0049,-0.0032,-0.0104,0.0152,0.0111,-0.0016,-0.0019,0.0152
PEBBLES_L,0.0028,-0.011,-0.0014,0.0018,-0.002,-0.014,-0.0014,0.0075,0.0006,0.0022,0.014
OXYGEN_SHAKE_GARLIC,-0.0038,0.0027,-0.0063,-0.0038,0.0115,-0.0054,0.0139,-0.0007,0.0001,-0.0007,0.0139
SNACKPACK_VANILLA,0.0012,0.0031,0.0004,0.0019,-0.0138,-0.0124,0.0007,0.0005,-0.007,0.006,0.0138
PEBBLES_M,0.0072,-0.0138,-0.0026,0.0058,-0.0064,-0.0071,-0.0005,0.0028,-0.0006,-0.0016,0.0138
UV_VISOR_MAGENTA,0.0041,-0.0096,0.003,-0.0014,-0.0044,-0.0031,0.0137,-0.0113,0.007,-0.0076,0.0137
ROBOT_IRONING,-0.0014,0.0015,-0.0015,-0.003,-0.0016,-0.0066,0.0064,-0.0134,0.002,0.0075,0.0134
ROBOT_LAUNDRY,0.0016,0.0132,0.0009,-0.0027,0.003,-0.0062,0.0004,-0.0034,-0.0093,0.0026,0.0132
TRANSLATOR_VOID_BLUE,0.0034,-0.0058,-0.0038,-0.0099,-0.0046,-0.002,0.0041,0.0015,0.0043,-0.013,0.013
MICROCHIP_SQUARE,0.0016,0.0029,-0.0042,-0.0031,0.0009,-0.0007,-0.0126,-0.007,-0.0008,0.0036,0.0126
OXYGEN_SHAKE_CHOCOLATE,-0.0087,-0.0029,-0.0003,0.0095,-0.0023,0.0007,0.0037,-0.0085,0.0022,0.0124,0.0124
GALAXY_SOUNDS_PLANETARY_RINGS,-0.0024,0.0005,0.009,-0.0049,-0.0123,-0.0078,-0.0009,-0.0045,0.0059,0.001,0.0123
TRANSLATOR_SPACE_GRAY,-0.0113,0.0022,-0.0077,0.0015,0.0016,0.0033,0.002,-0.0021,0.0023,-0.0037,0.0113
TRANSLATOR_ASTRO_BLACK,-0.0113,-0.006,0.0017,-0.0032,-0.0036,-0.0092,-0.0001,0.0081,0.002,0.0008,0.0113
UV_VISOR_AMBER,0.0,0.0048,-0.0056,0.0029,0.0049,-0.0038,-0.0112,-0.0083,-0.0074,0.0029,0.0112
GALAXY_SOUNDS_SOLAR_WINDS,-0.0026,0.0009,-0.0039,0.0059,0.0076,-0.0061,0.0008,-0.0111,0.0035,0.0023,0.0111
MICROCHIP_RECTANGLE,0.0017,0.0027,-0.0027,-0.0012,0.0065,-0.0076,0.0024,0.0106,-0.011,-0.0087,0.011
