a,b,form,beta,entry_z,n_trades,total_pnl,pnl_d2,pnl_d3,pnl_d4,pos_days
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,spread,1.0,1.0,39,18335.0,18000.0,1610.0,-1275.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,spread,1.0,1.2,27,15525.0,14500.0,-470.0,1495.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,spread,1.0,1.5,19,10950.0,14100.0,2150.0,-5300.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,spread,1.0,1.8,11,3780.0,10300.0,-2820.0,-3700.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,spread,1.0,2.0,9,4035.0,9200.0,-2520.0,-2645.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,spread,1.0,2.5,5,2050.0,3700.0,-1520.0,-130.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,sum,1.0,1.0,17,-14335.0,3865.0,-7120.0,-11080.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,sum,1.0,1.2,9,-18715.0,1000.0,-9845.0,-9870.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,sum,1.0,1.5,7,-19980.0,2600.0,-14310.0,-8270.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,sum,1.0,1.8,7,-17360.0,3000.0,-13810.0,-6550.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,sum,1.0,2.0,7,-15335.0,3100.0,-13510.0,-4925.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,sum,1.0,2.5,7,-6770.0,5400.0,-12910.0,740.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,ols_spread,0.16,1.0,27,2610.0,1640.0,8855.0,-7885.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,ols_spread,0.16,1.2,21,3480.0,2840.0,9425.0,-8785.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,ols_spread,0.16,1.5,17,4785.0,2680.0,12340.0,-10235.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,ols_spread,0.16,1.8,11,-1235.0,4700.0,3520.0,-9455.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,ols_spread,0.16,2.0,7,-4615.0,80.0,4155.0,-8850.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,ols_spread,0.16,2.5,3,-8635.0,-1380.0,0.0,-7255.0,0
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,spread,1.0,1.0,25,3730.0,-12575.0,14060.0,2245.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,spread,1.0,1.2,19,4310.0,-13040.0,12075.0,5275.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,spread,1.0,1.5,9,-11530.0,-13940.0,0.0,2410.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,spread,1.0,1.8,6,-13965.0,-13965.0,0.0,0.0,0
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,spread,1.0,2.0,4,-15200.0,-15200.0,0.0,0.0,0
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,spread,1.0,2.5,4,-14115.0,-14115.0,0.0,0.0,0
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,sum,1.0,1.0,13,-35665.0,3035.0,-8545.0,-30155.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,sum,1.0,1.2,11,-33395.0,2185.0,-8065.0,-27515.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,sum,1.0,1.5,11,-27655.0,4070.0,-7380.0,-24345.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,sum,1.0,1.8,11,-21915.0,5480.0,-6295.0,-21100.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,sum,1.0,2.0,11,-15475.0,7805.0,-5405.0,-17875.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,sum,1.0,2.5,9,-1940.0,9190.0,-1145.0,-9985.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,ols_spread,0.38,1.0,15,-705.0,-7330.0,4986.0,1639.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,ols_spread,0.38,1.2,13,-287.0,-6890.0,6963.0,-360.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,ols_spread,0.38,1.5,13,5030.0,-5770.0,10050.0,750.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,ols_spread,0.38,1.8,7,-4584.0,-6498.0,0.0,1914.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,ols_spread,0.38,2.0,3,-5904.0,-8846.0,0.0,2942.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,ols_spread,0.38,2.5,3,-2363.0,-7874.0,0.0,5511.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,spread,1.0,1.0,37,12195.0,15410.0,2925.0,-6140.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,spread,1.0,1.2,19,395.0,6760.0,2095.0,-8460.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,spread,1.0,1.5,17,4750.0,8085.0,3880.0,-7215.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,spread,1.0,1.8,17,11125.0,11445.0,5515.0,-5835.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,spread,1.0,2.0,17,16470.0,14780.0,6720.0,-5030.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,spread,1.0,2.5,13,16000.0,15035.0,3530.0,-2565.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,sum,1.0,1.0,41,17995.0,6545.0,22945.0,-11495.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,sum,1.0,1.2,27,9965.0,3395.0,16065.0,-9495.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,sum,1.0,1.5,15,1005.0,-640.0,8445.0,-6800.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,sum,1.0,1.8,11,-590.0,-1160.0,5180.0,-4610.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,sum,1.0,2.0,7,-1555.0,-4970.0,6175.0,-2760.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,sum,1.0,2.5,5,-1425.0,-4220.0,0.0,2795.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,ols_spread,-0.272,1.0,33,7793.0,1115.0,13851.5,-7173.5,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,ols_spread,-0.272,1.2,23,2529.0,-2410.5,12462.0,-7522.5,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,ols_spread,-0.272,1.5,15,-577.0,-1926.0,6455.0,-5106.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,ols_spread,-0.272,1.8,11,-3503.5,-1033.0,4034.0,-6504.5,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,ols_spread,-0.272,2.0,7,-4268.5,-3624.0,4651.0,-5295.5,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,ols_spread,-0.272,2.5,3,-11393.0,-3177.0,0.0,-8216.0,0
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,1.0,13,-13415.0,-2470.0,4885.0,-15830.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,1.2,11,-11675.0,-4270.0,6290.0,-13695.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,1.5,7,-14410.0,-8325.0,4175.0,-10260.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,1.8,7,-8585.0,-8325.0,5425.0,-5685.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,2.0,5,-10245.0,-8325.0,0.0,-1920.0,0
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,spread,1.0,2.5,5,-1055.0,-5715.0,0.0,4660.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,1.0,17,2055.0,-2245.0,2370.0,1930.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,1.2,13,850.0,-900.0,3300.0,-1550.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,1.5,11,8280.0,1280.0,4790.0,2210.0,3
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,1.8,8,5860.0,-1770.0,6535.0,1095.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,2.0,6,2090.0,-810.0,0.0,2900.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,sum,1.0,2.5,6,11230.0,2755.0,0.0,8475.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.298,1.0,21,-371.5,1740.0,4467.5,-6579.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.298,1.2,19,1984.5,754.0,6619.0,-5388.5,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.298,1.5,15,1906.0,-508.0,9707.0,-7293.0,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.298,1.8,13,2853.5,983.0,8150.5,-6280.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.298,2.0,13,6172.0,2147.5,9635.5,-5611.0,2
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,ols_spread,-0.298,2.5,5,-732.5,2172.5,0.0,-2905.0,1
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,spread,1.0,1.0,17,-17915.0,7040.0,-18825.0,-6130.0,1
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,spread,1.0,1.2,7,-32575.0,3425.0,-25315.0,-10685.0,1
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,spread,1.0,1.5,3,-33025.0,0.0,-24980.0,-8045.0,0
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,spread,1.0,1.8,3,-28575.0,0.0,-24370.0,-4205.0,0
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,spread,1.0,2.0,3,-25820.0,0.0,-23600.0,-2220.0,0
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,spread,1.0,2.5,3,-17115.0,0.0,-23055.0,5940.0,1
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,sum,1.0,1.0,35,-1230.0,14150.0,8655.0,-24035.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,sum,1.0,1.2,25,-4150.0,11170.0,7630.0,-22950.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,sum,1.0,1.5,21,2225.0,16990.0,7030.0,-21795.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,sum,1.0,1.8,13,-10050.0,7020.0,2895.0,-19965.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,sum,1.0,2.0,11,-9690.0,5645.0,3730.0,-19065.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,sum,1.0,2.5,11,-680.0,9155.0,6105.0,-15940.0,2
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,ols_spread,-0.057,1.0,39,18583.0,12379.5,-2726.0,8929.5,2
