day,panel,n_ticks,mid_mean,mid_std,spread_mean,spread_p50,spread_p95,bid_vol_mean,ask_vol_mean,tick_vol_std,tick_vol_p95,abs_ret_mean
2,PANEL_1X2,10000,9231.6,429.9,11.89,12.0,13.0,18.3,18.3,9.41,18.0,7.52
2,PANEL_2X2,10000,9806.9,207.6,8.71,9.0,9.0,11.3,11.2,9.86,19.0,7.85
2,PANEL_1X4,10000,10022.4,430.5,8.88,9.0,10.0,11.1,11.2,10.15,20.0,8.09
2,PANEL_2X4,10000,10713.5,448.8,9.41,10.0,10.0,10.9,10.9,10.64,21.0,8.49
2,PANEL_4X4,10000,10040.1,220.8,8.89,9.0,10.0,11.0,11.0,10.1,20.0,8.04
3,PANEL_1X2,10000,8280.9,293.6,10.75,11.0,12.0,18.3,18.3,8.39,16.5,6.71
3,PANEL_2X2,10000,10167.1,448.9,8.98,9.0,10.0,11.1,11.1,10.07,19.5,8.07
3,PANEL_1X4,10000,9632.6,803.8,8.56,9.0,10.0,11.9,11.9,9.7,19.0,7.68
3,PANEL_2X4,10000,11206.9,341.3,9.79,10.0,11.0,10.9,10.8,11.23,22.0,8.98
3,PANEL_4X4,10000,9548.0,319.3,8.49,9.0,9.0,11.7,11.7,9.67,19.0,7.7
4,PANEL_1X2,10000,9255.7,393.4,11.89,12.0,13.0,18.2,18.2,9.33,18.5,7.4
4,PANEL_2X2,10000,8755.8,214.7,7.86,8.0,9.0,13.2,13.1,8.81,17.0,7.03
4,PANEL_1X4,10000,8537.8,265.7,7.7,8.0,8.0,13.5,13.6,8.53,17.0,6.78
4,PANEL_2X4,10000,11875.7,426.4,10.32,11.0,11.0,10.9,10.9,11.96,23.5,9.57
4,PANEL_4X4,10000,10048.0,558.5,8.87,9.0,10.0,11.2,11.3,10.1,20.0,8.08
