day,panel,spread_mean,pct_spread_ge_3,pct_spread_ge_5,pct_spread_ge_10,mm_edge_per_rt_mean,mm_pnl_proxy
2,PANEL_1X2,11.89,100.0,100.0,96.9,9.89,24723.0
2,PANEL_2X2,8.71,100.0,98.5,1.1,6.71,16770.0
2,PANEL_1X4,8.88,100.0,98.6,13.7,6.88,17192.0
2,PANEL_2X4,9.41,100.0,99.0,52.2,7.41,18536.0
2,PANEL_4X4,8.89,100.0,98.5,8.7,6.89,17233.0
3,PANEL_1X2,10.75,100.0,99.8,96.6,8.75,21867.0
3,PANEL_2X2,8.98,100.0,98.4,22.3,6.98,17446.0
3,PANEL_1X4,8.56,100.0,98.1,14.2,6.56,16395.0
3,PANEL_2X4,9.79,100.0,99.0,83.2,7.79,19476.0
3,PANEL_4X4,8.49,100.0,97.9,1.8,6.49,16218.0
4,PANEL_1X2,11.89,100.0,100.0,96.5,9.89,24733.0
4,PANEL_2X2,7.86,100.0,97.4,0.0,5.86,14650.0
4,PANEL_1X4,7.7,100.0,97.2,0.0,5.7,14238.0
4,PANEL_2X4,10.32,100.0,99.5,94.5,8.32,20791.0
4,PANEL_4X4,8.87,100.0,98.3,19.9,6.87,17177.0
