day,panel,intercept,resid_std,R2,b_PANEL_2X2,b_PANEL_1X4,b_PANEL_2X4,b_PANEL_4X4,b_PANEL_1X2
2,PANEL_1X2,8680.2,269.3,0.608,-0.0688,-0.177,-0.5327,0.8672,
2,PANEL_2X2,12238.3,173.6,0.3,,0.153,0.0162,-0.3858,-0.0286
2,PANEL_1X4,-1274.0,334.2,0.397,0.5668,,0.284,0.5192,-0.2726
2,PANEL_2X4,7123.5,300.8,0.551,0.0485,0.2301,,0.6918,-0.6648
2,PANEL_4X4,6953.5,165.0,0.441,-0.3485,0.1265,0.2081,,0.3256
3,PANEL_1X2,2654.8,155.2,0.72,-0.0328,-0.1193,0.2461,0.4557,
3,PANEL_2X2,20789.7,265.8,0.649,,-0.1001,0.1611,-1.1172,-0.0962
3,PANEL_1X4,40266.1,442.7,0.697,-0.2777,,-1.1667,-0.7016,-0.9704
3,PANEL_2X4,13056.3,205.7,0.637,0.0965,-0.2519,,-0.4172,0.4323
3,PANEL_4X4,13105.1,154.4,0.766,-0.3772,-0.0854,-0.2351,,0.451
4,PANEL_1X2,1627.7,150.2,0.854,0.3407,0.1041,0.5192,-0.2398,
4,PANEL_2X2,8744.4,128.2,0.643,,0.4481,-0.4051,-0.1295,0.2482
4,PANEL_1X4,-3250.3,178.4,0.549,0.8678,,0.1439,0.1117,0.1468
4,PANEL_2X4,13220.8,174.4,0.833,-0.75,0.1375,,-0.2423,0.7003
4,PANEL_4X4,25691.7,259.7,0.784,-0.5314,0.2368,-0.537,,-0.7169
