day,entry_z,exit_z,pnl_taker_realistic
2,1.5,0.0,0.0
2,1.5,0.3,12350.0
2,1.5,0.5,10510.0
2,2.0,0.0,0.0
2,2.0,0.3,8740.0
2,2.0,0.5,7860.0
2,2.5,0.0,0.0
2,2.5,0.3,11300.0
2,2.5,0.5,10420.0
2,3.0,0.0,0.0
2,3.0,0.3,0.0
2,3.0,0.5,0.0
3,1.5,0.0,0.0
3,1.5,0.3,5500.0
3,1.5,0.5,4500.0
3,2.0,0.0,0.0
3,2.0,0.3,7930.0
3,2.0,0.5,6930.0
3,2.5,0.0,0.0
3,2.5,0.3,0.0
3,2.5,0.5,0.0
3,3.0,0.0,0.0
3,3.0,0.3,0.0
3,3.0,0.5,0.0
4,1.5,0.0,0.0
4,1.5,0.3,11770.0
4,1.5,0.5,9840.0
4,2.0,0.0,0.0
4,2.0,0.3,11180.0
4,2.0,0.5,10000.0
4,2.5,0.0,0.0
4,2.5,0.3,0.0
4,2.5,0.5,0.0
4,3.0,0.0,0.0
4,3.0,0.3,0.0
4,3.0,0.5,0.0
