a,b,best_lag,best_corr
PANEL_1X2,PANEL_2X2,0,0.0103
PANEL_1X2,PANEL_1X4,5,-0.0124
PANEL_1X2,PANEL_2X4,-4,0.0118
PANEL_1X2,PANEL_4X4,-4,0.0156
PANEL_2X2,PANEL_1X2,0,0.0103
PANEL_2X2,PANEL_1X4,2,-0.0138
PANEL_2X2,PANEL_2X4,-1,-0.0093
PANEL_2X2,PANEL_4X4,-5,0.0081
PANEL_1X4,PANEL_1X2,-5,-0.0124
PANEL_1X4,PANEL_2X2,-2,-0.0138
PANEL_1X4,PANEL_2X4,-2,-0.0115
PANEL_1X4,PANEL_4X4,-5,-0.0078
PANEL_2X4,PANEL_1X2,4,0.0118
PANEL_2X4,PANEL_2X2,1,-0.0093
PANEL_2X4,PANEL_1X4,2,-0.0115
PANEL_2X4,PANEL_4X4,4,-0.0126
PANEL_4X4,PANEL_1X2,4,0.0156
PANEL_4X4,PANEL_2X2,5,0.0081
PANEL_4X4,PANEL_1X4,5,-0.0078
PANEL_4X4,PANEL_2X4,-4,-0.0126
