day,panel,n_big_volume_events,mean_spread_before,mean_spread_after,delta
2,PANEL_1X2,9890,11.889,11.889,0.0
2,PANEL_2X2,5539,8.686,8.697,0.011
2,PANEL_1X4,5471,8.856,8.866,0.01
2,PANEL_2X4,5332,9.402,9.412,0.01
2,PANEL_4X4,5395,8.874,8.889,0.015
3,PANEL_1X2,9873,10.746,10.745,-0.0
3,PANEL_2X2,5425,8.957,8.953,-0.005
3,PANEL_1X4,5825,8.492,8.495,0.003
3,PANEL_2X4,5323,9.793,9.777,-0.016
3,PANEL_4X4,5743,8.481,8.471,-0.01
4,PANEL_1X2,9875,11.895,11.891,-0.005
4,PANEL_2X2,6420,7.861,7.859,-0.003
4,PANEL_1X4,6611,7.692,7.689,-0.003
4,PANEL_2X4,5343,10.326,10.324,-0.002
4,PANEL_4X4,5522,8.859,8.863,0.005
