a,b,sign,mean,std,abs_mean_over_std,naive_pnl_10
PANEL_2X2,PANEL_4X4,sum,19455.32,599.57,32.45,-7305.0
PANEL_1X2,PANEL_2X4,sum,20188.1,914.62,22.07,-11075.0
PANEL_1X2,PANEL_2X2,spread,-653.87,1109.58,0.59,-13340.0
PANEL_2X2,PANEL_2X4,spread,-1688.77,1121.01,1.51,-13635.0
PANEL_1X2,PANEL_1X4,spread,-474.85,1160.5,0.41,-14075.0
PANEL_2X2,PANEL_1X4,spread,179.02,652.49,0.27,-15740.0
PANEL_1X4,PANEL_2X4,spread,-1867.79,1311.87,1.42,-16130.0
PANEL_1X2,PANEL_4X4,sum,18801.45,841.37,22.35,-20495.0
PANEL_1X4,PANEL_4X4,sum,19276.3,854.84,22.55,-20880.0
PANEL_1X2,PANEL_4X4,spread,-955.99,637.08,1.5,-23315.0
PANEL_2X2,PANEL_4X4,spread,-302.12,984.37,0.31,-23975.0
PANEL_2X2,PANEL_2X4,sum,20841.97,663.91,31.39,-25030.0
PANEL_1X4,PANEL_4X4,spread,-481.14,1038.39,0.46,-25255.0
PANEL_1X2,PANEL_2X2,sum,18499.33,612.8,30.19,-27765.0
PANEL_1X2,PANEL_2X4,spread,-2342.64,803.87,2.91,-30825.0
PANEL_2X4,PANEL_4X4,spread,1386.65,838.02,1.65,-31655.0
PANEL_2X2,PANEL_1X4,sum,18974.18,1369.74,13.85,-33235.0
PANEL_1X2,PANEL_1X4,sum,18320.31,860.5,21.29,-45760.0
PANEL_2X4,PANEL_4X4,sum,21144.09,708.68,29.84,-52760.0
PANEL_1X4,PANEL_2X4,sum,20662.95,675.98,30.57,-66465.0
