cause,effect,lag,pvalue
PEBBLES_XS,PEBBLES_S,1,0.8368085739344773
PEBBLES_XS,PEBBLES_S,2,0.9218244627302539
PEBBLES_XS,PEBBLES_S,3,0.8145844070323317
PEBBLES_XS,PEBBLES_S,4,0.9147119294850735
PEBBLES_XS,PEBBLES_S,5,0.9415624348950882
PEBBLES_XS,PEBBLES_M,1,0.318309929907171
PEBBLES_XS,PEBBLES_M,2,0.574237019140517
PEBBLES_XS,PEBBLES_M,3,0.5523643411378365
PEBBLES_XS,PEBBLES_M,4,0.17282520584783045
PEBBLES_XS,PEBBLES_M,5,0.14921852131465835
PEBBLES_XS,PEBBLES_L,1,0.5946239821158559
PEBBLES_XS,PEBBLES_L,2,0.4933827455866707
PEBBLES_XS,PEBBLES_L,3,0.6966489830874225
PEBBLES_XS,PEBBLES_L,4,0.8099634793139927
PEBBLES_XS,PEBBLES_L,5,0.9063233532706344
PEBBLES_XS,PEBBLES_XL,1,0.14132641122632134
PEBBLES_XS,PEBBLES_XL,2,0.0968373246894489
PEBBLES_XS,PEBBLES_XL,3,0.17198522915681702
PEBBLES_XS,PEBBLES_XL,4,0.18710054522774294
PEBBLES_XS,PEBBLES_XL,5,0.22572571481111253
PEBBLES_S,PEBBLES_XS,1,0.7086007147011245
PEBBLES_S,PEBBLES_XS,2,0.9331653066142807
PEBBLES_S,PEBBLES_XS,3,0.5427030526053517
PEBBLES_S,PEBBLES_XS,4,0.12237909754574991
PEBBLES_S,PEBBLES_XS,5,0.16387387478721405
PEBBLES_S,PEBBLES_M,1,0.9643392567228664
PEBBLES_S,PEBBLES_M,2,0.40024879053905416
PEBBLES_S,PEBBLES_M,3,0.45709770416324846
PEBBLES_S,PEBBLES_M,4,0.5966658983161417
PEBBLES_S,PEBBLES_M,5,0.6601654433388154
PEBBLES_S,PEBBLES_L,1,0.9428622081255995
PEBBLES_S,PEBBLES_L,2,0.3190733236185597
PEBBLES_S,PEBBLES_L,3,0.3439812459342372
PEBBLES_S,PEBBLES_L,4,0.5059358521262536
PEBBLES_S,PEBBLES_L,5,0.6311345470936609
PEBBLES_S,PEBBLES_XL,1,0.5554149674770726
PEBBLES_S,PEBBLES_XL,2,0.2095353188250708
PEBBLES_S,PEBBLES_XL,3,0.28206531303913157
PEBBLES_S,PEBBLES_XL,4,0.3073229037682703
PEBBLES_S,PEBBLES_XL,5,0.216175498633171
PEBBLES_M,PEBBLES_XS,1,0.03039553055615885
PEBBLES_M,PEBBLES_XS,2,0.053272431780835225
PEBBLES_M,PEBBLES_XS,3,0.055330359232462135
PEBBLES_M,PEBBLES_XS,4,0.09189789908578028
PEBBLES_M,PEBBLES_XS,5,0.15247354788548906
PEBBLES_M,PEBBLES_S,1,0.8503927035036878
PEBBLES_M,PEBBLES_S,2,0.5979611899455588
PEBBLES_M,PEBBLES_S,3,0.23947655565568648
PEBBLES_M,PEBBLES_S,4,0.32801232050146345
PEBBLES_M,PEBBLES_S,5,0.10260945500211932
PEBBLES_M,PEBBLES_L,1,0.2950758621119729
PEBBLES_M,PEBBLES_L,2,0.4277309566302685
PEBBLES_M,PEBBLES_L,3,0.5734612687163448
PEBBLES_M,PEBBLES_L,4,0.6494450841463427
PEBBLES_M,PEBBLES_L,5,0.28984539754470434
PEBBLES_M,PEBBLES_XL,1,0.7167195286622396
PEBBLES_M,PEBBLES_XL,2,0.9314467131882637
PEBBLES_M,PEBBLES_XL,3,0.6997974107559195
PEBBLES_M,PEBBLES_XL,4,0.442631886977921
PEBBLES_M,PEBBLES_XL,5,0.13142063223939257
PEBBLES_L,PEBBLES_XS,1,0.8358264845860974
PEBBLES_L,PEBBLES_XS,2,0.860864149986104
PEBBLES_L,PEBBLES_XS,3,0.783691889255193
PEBBLES_L,PEBBLES_XS,4,0.418890936824168
PEBBLES_L,PEBBLES_XS,5,0.5550423202965501
PEBBLES_L,PEBBLES_S,1,0.8063658313249598
PEBBLES_L,PEBBLES_S,2,0.9085985810239964
PEBBLES_L,PEBBLES_S,3,0.8854756354748035
PEBBLES_L,PEBBLES_S,4,0.9566753880165367
PEBBLES_L,PEBBLES_S,5,0.7662507385858326
PEBBLES_L,PEBBLES_M,1,0.05625816279385625
PEBBLES_L,PEBBLES_M,2,0.1444093044536136
PEBBLES_L,PEBBLES_M,3,0.12246488661626853
PEBBLES_L,PEBBLES_M,4,0.15606958943448979
PEBBLES_L,PEBBLES_M,5,0.2102547044528951
PEBBLES_L,PEBBLES_XL,1,0.2756113963352616
PEBBLES_L,PEBBLES_XL,2,0.5059716632719333
PEBBLES_L,PEBBLES_XL,3,0.6115674700437458
PEBBLES_L,PEBBLES_XL,4,0.38086899338570296
