pair,lag,corr
ROBOT_DISHES|ROBOT_IRONING,-5,0.006853184201855504
ROBOT_DISHES|ROBOT_IRONING,-4,-0.0016339944121996496
ROBOT_DISHES|ROBOT_IRONING,-3,0.003343917508457797
ROBOT_DISHES|ROBOT_IRONING,-2,-0.000988250548352952
ROBOT_DISHES|ROBOT_IRONING,-1,0.0015174998524589503
ROBOT_DISHES|ROBOT_IRONING,0,0.0007730391885814776
ROBOT_DISHES|ROBOT_IRONING,1,0.0019403047559641915
ROBOT_DISHES|ROBOT_IRONING,2,-0.002899496315210381
ROBOT_DISHES|ROBOT_IRONING,3,-0.006531318895342508
ROBOT_DISHES|ROBOT_IRONING,4,-0.0018421488598979001
ROBOT_DISHES|ROBOT_IRONING,5,-0.010459027549236333
ROBOT_DISHES|ROBOT_LAUNDRY,-5,-0.004194335174646714
ROBOT_DISHES|ROBOT_LAUNDRY,-4,-0.0011240831980421462
ROBOT_DISHES|ROBOT_LAUNDRY,-3,0.0022417501817479603
ROBOT_DISHES|ROBOT_LAUNDRY,-2,-0.004587703873964569
ROBOT_DISHES|ROBOT_LAUNDRY,-1,-0.006002018055855489
ROBOT_DISHES|ROBOT_LAUNDRY,0,0.0013018950310557883
ROBOT_DISHES|ROBOT_LAUNDRY,1,0.0008722034344909575
ROBOT_DISHES|ROBOT_LAUNDRY,2,0.00423741983673841
ROBOT_DISHES|ROBOT_LAUNDRY,3,-0.005295562908480775
ROBOT_DISHES|ROBOT_LAUNDRY,4,0.0014382128621321455
ROBOT_DISHES|ROBOT_LAUNDRY,5,-0.004185490586747925
ROBOT_DISHES|ROBOT_MOPPING,-5,0.009516889006698368
ROBOT_DISHES|ROBOT_MOPPING,-4,-0.005189355212811064
ROBOT_DISHES|ROBOT_MOPPING,-3,-0.004488756166389789
ROBOT_DISHES|ROBOT_MOPPING,-2,0.0004300738752090719
ROBOT_DISHES|ROBOT_MOPPING,-1,-0.0004034903524774531
ROBOT_DISHES|ROBOT_MOPPING,0,-0.005901352071590168
ROBOT_DISHES|ROBOT_MOPPING,1,-0.008883896469100053
ROBOT_DISHES|ROBOT_MOPPING,2,0.001330152005459515
ROBOT_DISHES|ROBOT_MOPPING,3,0.009403767827943863
ROBOT_DISHES|ROBOT_MOPPING,4,-0.0070462746129709136
ROBOT_DISHES|ROBOT_MOPPING,5,0.008158560498469533
ROBOT_DISHES|ROBOT_VACUUMING,-5,0.0045670143872649175
ROBOT_DISHES|ROBOT_VACUUMING,-4,-0.004086064210278795
ROBOT_DISHES|ROBOT_VACUUMING,-3,0.001477502042719416
ROBOT_DISHES|ROBOT_VACUUMING,-2,0.0011599661593927277
ROBOT_DISHES|ROBOT_VACUUMING,-1,-0.009627757949402077
ROBOT_DISHES|ROBOT_VACUUMING,0,0.005920635526719186
ROBOT_DISHES|ROBOT_VACUUMING,1,0.004881998645533481
ROBOT_DISHES|ROBOT_VACUUMING,2,2.9012839435093735e-05
ROBOT_DISHES|ROBOT_VACUUMING,3,-0.006832241016877973
ROBOT_DISHES|ROBOT_VACUUMING,4,0.0065205863297815156
ROBOT_DISHES|ROBOT_VACUUMING,5,0.0051207379111522225
ROBOT_IRONING|ROBOT_LAUNDRY,-5,0.0010288432230085907
ROBOT_IRONING|ROBOT_LAUNDRY,-4,-0.008218227061264165
ROBOT_IRONING|ROBOT_LAUNDRY,-3,-0.00017011155072254097
ROBOT_IRONING|ROBOT_LAUNDRY,-2,-0.0005577735446273606
ROBOT_IRONING|ROBOT_LAUNDRY,-1,-0.0020538285135685698
ROBOT_IRONING|ROBOT_LAUNDRY,0,-0.009019964169387546
ROBOT_IRONING|ROBOT_LAUNDRY,1,-0.002243472522059824
ROBOT_IRONING|ROBOT_LAUNDRY,2,0.0013232253834479736
ROBOT_IRONING|ROBOT_LAUNDRY,3,-7.802034866574683e-05
ROBOT_IRONING|ROBOT_LAUNDRY,4,0.0014906258820670882
ROBOT_IRONING|ROBOT_LAUNDRY,5,-0.001474686839471559
ROBOT_IRONING|ROBOT_MOPPING,-5,-0.006356442398467248
ROBOT_IRONING|ROBOT_MOPPING,-4,-0.0003729473238586098
ROBOT_IRONING|ROBOT_MOPPING,-3,0.013225053730971555
ROBOT_IRONING|ROBOT_MOPPING,-2,-0.003986743021344863
ROBOT_IRONING|ROBOT_MOPPING,-1,-0.0037540673980058004
ROBOT_IRONING|ROBOT_MOPPING,0,-0.0003138060196444408
ROBOT_IRONING|ROBOT_MOPPING,1,0.005941359303803623
ROBOT_IRONING|ROBOT_MOPPING,2,0.007994204887030731
ROBOT_IRONING|ROBOT_MOPPING,3,0.0019444921160987115
ROBOT_IRONING|ROBOT_MOPPING,4,0.004704131525066057
ROBOT_IRONING|ROBOT_MOPPING,5,0.009120070819606809
ROBOT_IRONING|ROBOT_VACUUMING,-5,-0.009150585799952662
ROBOT_IRONING|ROBOT_VACUUMING,-4,0.007585605454037212
ROBOT_IRONING|ROBOT_VACUUMING,-3,0.0019395782137150075
ROBOT_IRONING|ROBOT_VACUUMING,-2,0.003175934048703672
ROBOT_IRONING|ROBOT_VACUUMING,-1,0.0036199315315817234
ROBOT_IRONING|ROBOT_VACUUMING,0,0.013828782579460647
ROBOT_IRONING|ROBOT_VACUUMING,1,-0.002400742088673607
ROBOT_IRONING|ROBOT_VACUUMING,2,-0.0031840055968475078
ROBOT_IRONING|ROBOT_VACUUMING,3,0.005385415728418148
ROBOT_IRONING|ROBOT_VACUUMING,4,-0.0020833038104839823
ROBOT_IRONING|ROBOT_VACUUMING,5,-0.000605969313002127
ROBOT_LAUNDRY|ROBOT_MOPPING,-5,0.007968461145431854
