a,b,form,entry_z,n_trades,total_pnl,pnl_d2,pnl_d3,pnl_d4,pos_days
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,spread,1.0,8,-221.5,880.5,-1086.5,-15.5,1
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,spread,1.2,8,-1075.5,658.0,-1557.5,-176.0,1
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,spread,1.5,7,-1534.0,361.0,-1440.5,-454.5,1
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,spread,1.8,5,-1397.0,278.5,-995.0,-680.5,1
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,spread,2.0,5,-1933.0,82.0,-1171.5,-843.5,1
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,sum,1.0,7,553.5,171.5,-235.0,617.0,2
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,sum,1.2,5,916.5,739.0,-349.5,527.0,2
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,sum,1.5,5,310.5,435.5,-502.0,377.0,2
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,sum,1.8,3,330.5,126.5,0.0,204.0,2
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,sum,2.0,2,879.5,968.5,0.0,-89.0,1
SLEEP_POD_COTTON,SLEEP_POD_NYLON,spread,1.0,9,138.0,59.5,60.5,18.0,3
SLEEP_POD_COTTON,SLEEP_POD_NYLON,spread,1.2,8,-142.0,175.5,-199.5,-118.0,1
SLEEP_POD_COTTON,SLEEP_POD_NYLON,spread,1.5,8,-903.0,-15.5,-560.0,-327.5,0
SLEEP_POD_COTTON,SLEEP_POD_NYLON,spread,1.8,6,-585.5,-74.5,95.5,-606.5,1
SLEEP_POD_COTTON,SLEEP_POD_NYLON,spread,2.0,5,-827.0,-81.0,-13.5,-732.5,0
SLEEP_POD_COTTON,SLEEP_POD_NYLON,sum,1.0,25,-3001.5,-2424.0,-577.5,0.0,0
SLEEP_POD_COTTON,SLEEP_POD_NYLON,sum,1.2,19,-2829.5,-2367.0,-462.5,0.0,0
SLEEP_POD_COTTON,SLEEP_POD_NYLON,sum,1.5,16,-3046.5,-2381.5,-665.0,0.0,0
SLEEP_POD_COTTON,SLEEP_POD_NYLON,sum,1.8,9,-1972.5,-1633.5,-339.0,0.0,0
SLEEP_POD_COTTON,SLEEP_POD_NYLON,sum,2.0,6,-1566.0,-1164.0,-402.0,0.0,0
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,spread,1.0,23,-4690.0,-1604.5,-990.5,-2095.0,0
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,spread,1.2,16,-3527.5,-956.0,-386.0,-2185.5,0
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,spread,1.5,12,-3279.5,-948.0,-4.5,-2327.0,0
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,spread,1.8,9,-2738.0,-1200.5,-106.0,-1431.5,0
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,spread,2.0,7,-1824.5,-820.5,-171.0,-833.0,0
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,sum,1.0,8,2808.5,-128.0,0.0,2936.5,1
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,sum,1.2,7,2826.5,-31.5,0.0,2858.0,1
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,sum,1.5,6,2902.0,192.5,0.0,2709.5,2
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,sum,1.8,5,2795.5,192.0,0.0,2603.5,2
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,sum,2.0,3,2883.0,390.0,0.0,2493.0,2
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,spread,1.0,16,-2455.0,-54.5,-1622.5,-778.0,0
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,spread,1.2,12,-1652.5,-244.5,-336.0,-1072.0,0
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,spread,1.5,11,-1886.0,-562.0,-681.5,-642.5,0
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,spread,1.8,9,-2472.0,-598.5,-1018.0,-855.5,0
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,spread,2.0,7,-2120.0,-648.0,-457.0,-1015.0,0
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,sum,1.0,5,2664.5,37.5,0.0,2627.0,2
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,sum,1.2,5,2392.5,-165.5,0.0,2558.0,1
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,sum,1.5,4,2119.5,-316.5,0.0,2436.0,1
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,sum,1.8,4,1743.0,-596.0,0.0,2339.0,1
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,sum,2.0,3,1998.5,-275.5,0.0,2274.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,spread,1.0,12,-2023.0,987.5,-2541.0,-469.5,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,spread,1.2,9,-1765.0,820.5,-1977.0,-608.5,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,spread,1.5,6,-1102.0,1369.5,-1600.0,-871.5,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,spread,1.8,3,227.0,1347.5,0.0,-1120.5,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,spread,2.0,3,13.0,1321.5,0.0,-1308.5,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,sum,1.0,6,-104.5,745.0,-395.0,-454.5,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,sum,1.2,4,444.0,510.5,-66.5,0.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,sum,1.5,4,-45.5,236.5,-282.0,0.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,sum,1.8,4,-684.0,-131.0,-553.0,0.0,0
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,sum,2.0,3,-305.0,376.5,-681.5,0.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,spread,1.0,8,794.0,-319.0,1206.0,-93.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,spread,1.2,7,460.5,-328.5,1119.0,-330.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,spread,1.5,4,507.5,316.5,991.5,-800.5,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,spread,1.8,4,-281.5,112.0,869.5,-1263.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,spread,2.0,3,781.5,14.0,767.5,0.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,sum,1.0,5,1422.0,1332.5,-335.0,424.5,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,sum,1.2,5,1075.5,1318.5,-548.5,305.5,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,sum,1.5,5,360.5,1283.5,-1028.5,105.5,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,sum,1.8,4,523.5,1234.5,-623.5,-87.5,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,sum,2.0,4,174.0,1177.5,-754.5,-249.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,spread,1.0,5,2399.0,986.0,0.0,1413.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,spread,1.2,4,2257.0,970.0,0.0,1287.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,spread,1.5,4,2031.5,935.5,0.0,1096.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,spread,1.8,2,1895.0,1082.5,0.0,812.5,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,spread,2.0,2,1529.0,1067.0,0.0,462.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,sum,1.0,8,-261.0,455.5,-668.0,-48.5,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,sum,1.2,8,-1027.5,191.0,-882.5,-336.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,sum,1.5,6,-1550.5,-153.0,-570.0,-827.5,0
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,sum,1.8,5,-1899.5,-560.0,0.0,-1339.5,0
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,sum,2.0,5,-2674.5,-996.5,0.0,-1678.0,0
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,spread,1.0,9,520.0,-350.0,1106.5,-236.5,1
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,spread,1.2,8,328.0,-248.0,1016.0,-440.0,1
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,spread,1.5,6,-183.0,-255.5,915.0,-842.5,1
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,spread,1.8,4,-162.0,265.0,801.5,-1228.5,2
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,spread,2.0,3,940.5,223.0,717.5,0.0,2
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,sum,1.0,18,-1478.5,-932.5,-546.0,0.0,0
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,sum,1.2,15,-1671.5,-893.0,-778.5,0.0,0
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,sum,1.5,12,-1821.5,-1205.0,-616.5,0.0,0
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,sum,1.8,11,-2038.0,-1169.5,-868.5,0.0,0
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,sum,2.0,10,-2322.5,-1326.5,-996.0,0.0,0
