sig,symbol,theta,PnL_final,NTrades
imb,COTTON,0.1,-40220.0,19180.0
imb,LAMB_WOOL,0.1,-49980.0,19340.0
imb,NYLON,0.1,-219830.0,62140.0
imb,POLYESTER,0.1,-49450.0,19620.0
imb,SUEDE,0.1,-55960.0,21620.0
imb,COTTON,0.2,-38070.0,17700.0
imb,LAMB_WOOL,0.2,-46420.0,17860.0
imb,NYLON,0.2,-217440.0,60900.0
imb,POLYESTER,0.2,-47840.0,18140.0
imb,SUEDE,0.2,-53050.0,20140.0
imb,COTTON,0.3,-33280.0,15480.0
imb,LAMB_WOOL,0.3,-40160.0,15640.0
imb,NYLON,0.3,-213750.0,59000.0
imb,POLYESTER,0.3,-43490.0,15920.0
imb,SUEDE,0.3,-46970.0,17940.0
imb,COTTON,0.5,-15910.0,7840.0
imb,LAMB_WOOL,0.5,-20030.0,7860.0
imb,NYLON,0.5,-71460.0,21760.0
imb,POLYESTER,0.5,-21120.0,7960.0
imb,SUEDE,0.5,-23450.0,8460.0
imb,COTTON,0.7,-4270.0,1580.0
imb,LAMB_WOOL,0.7,-3420.0,1600.0
imb,NYLON,0.7,-2460.0,2260.0
imb,POLYESTER,0.7,-4080.0,1580.0
imb,SUEDE,0.7,-4890.0,1620.0
vwmp,COTTON,0.1,0.0,0.0
vwmp,LAMB_WOOL,0.1,0.0,0.0
vwmp,NYLON,0.1,0.0,0.0
vwmp,POLYESTER,0.1,0.0,0.0
vwmp,SUEDE,0.1,0.0,0.0
vwmp,COTTON,0.2,0.0,0.0
vwmp,LAMB_WOOL,0.2,0.0,0.0
vwmp,NYLON,0.2,0.0,0.0
vwmp,POLYESTER,0.2,0.0,0.0
vwmp,SUEDE,0.2,0.0,0.0
vwmp,COTTON,0.3,0.0,0.0
vwmp,LAMB_WOOL,0.3,0.0,0.0
vwmp,NYLON,0.3,0.0,0.0
vwmp,POLYESTER,0.3,0.0,0.0
vwmp,SUEDE,0.3,0.0,0.0
vwmp,COTTON,0.5,0.0,0.0
vwmp,LAMB_WOOL,0.5,0.0,0.0
vwmp,NYLON,0.5,0.0,0.0
vwmp,POLYESTER,0.5,0.0,0.0
vwmp,SUEDE,0.5,0.0,0.0
vwmp,COTTON,0.7,0.0,0.0
vwmp,LAMB_WOOL,0.7,0.0,0.0
vwmp,NYLON,0.7,0.0,0.0
vwmp,POLYESTER,0.7,0.0,0.0
vwmp,SUEDE,0.7,0.0,0.0
