symbol,ema_n,theta,PnL_final,NTrades
COTTON,10,0.1,-10610.0,6700
COTTON,10,0.2,-140.0,80
COTTON,10,0.3,0.0,0
COTTON,10,0.5,0.0,0
COTTON,20,0.1,350.0,320
COTTON,20,0.2,0.0,0
COTTON,20,0.3,0.0,0
COTTON,20,0.5,0.0,0
COTTON,50,0.1,0.0,0
COTTON,50,0.2,0.0,0
COTTON,50,0.3,0.0,0
COTTON,50,0.5,0.0,0
COTTON,100,0.1,0.0,0
COTTON,100,0.2,0.0,0
COTTON,100,0.3,0.0,0
COTTON,100,0.5,0.0,0
COTTON,200,0.1,0.0,0
COTTON,200,0.2,0.0,0
COTTON,200,0.3,0.0,0
COTTON,200,0.5,0.0,0
LAMB_WOOL,10,0.1,-14910.0,6660
LAMB_WOOL,10,0.2,-210.0,100
LAMB_WOOL,10,0.3,-230.0,20
LAMB_WOOL,10,0.5,0.0,0
LAMB_WOOL,20,0.1,540.0,300
LAMB_WOOL,20,0.2,0.0,0
LAMB_WOOL,20,0.3,0.0,0
LAMB_WOOL,20,0.5,0.0,0
LAMB_WOOL,50,0.1,-220.0,20
LAMB_WOOL,50,0.2,0.0,0
LAMB_WOOL,50,0.3,0.0,0
LAMB_WOOL,50,0.5,0.0,0
LAMB_WOOL,100,0.1,0.0,0
LAMB_WOOL,100,0.2,0.0,0
LAMB_WOOL,100,0.3,0.0,0
LAMB_WOOL,100,0.5,0.0,0
LAMB_WOOL,200,0.1,0.0,0
LAMB_WOOL,200,0.2,0.0,0
LAMB_WOOL,200,0.3,0.0,0
LAMB_WOOL,200,0.5,0.0,0
NYLON,10,0.1,-54680.0,17600
NYLON,10,0.2,-2430.0,1300
NYLON,10,0.3,-660.0,60
NYLON,10,0.5,0.0,0
NYLON,20,0.1,-11470.0,3380
NYLON,20,0.2,0.0,0
NYLON,20,0.3,0.0,0
NYLON,20,0.5,0.0,0
NYLON,50,0.1,-100.0,80
NYLON,50,0.2,0.0,0
NYLON,50,0.3,0.0,0
NYLON,50,0.5,0.0,0
NYLON,100,0.1,0.0,0
NYLON,100,0.2,0.0,0
NYLON,100,0.3,0.0,0
NYLON,100,0.5,0.0,0
NYLON,200,0.1,0.0,0
NYLON,200,0.2,0.0,0
NYLON,200,0.3,0.0,0
NYLON,200,0.5,0.0,0
POLYESTER,10,0.1,-18960.0,6720
POLYESTER,10,0.2,30.0,80
POLYESTER,10,0.3,0.0,0
POLYESTER,10,0.5,0.0,0
POLYESTER,20,0.1,480.0,300
POLYESTER,20,0.2,0.0,0
POLYESTER,20,0.3,0.0,0
POLYESTER,20,0.5,0.0,0
POLYESTER,50,0.1,0.0,0
POLYESTER,50,0.2,0.0,0
POLYESTER,50,0.3,0.0,0
POLYESTER,50,0.5,0.0,0
POLYESTER,100,0.1,0.0,0
POLYESTER,100,0.2,0.0,0
POLYESTER,100,0.3,0.0,0
POLYESTER,100,0.5,0.0,0
POLYESTER,200,0.1,0.0,0
POLYESTER,200,0.2,0.0,0
POLYESTER,200,0.3,0.0,0
POLYESTER,200,0.5,0.0,0
SUEDE,10,0.1,-21750.0,7200
SUEDE,10,0.2,20.0,100
SUEDE,10,0.3,0.0,0
SUEDE,10,0.5,0.0,0
SUEDE,20,0.1,460.0,360
SUEDE,20,0.2,0.0,0
SUEDE,20,0.3,0.0,0
SUEDE,20,0.5,0.0,0
SUEDE,50,0.1,0.0,0
SUEDE,50,0.2,0.0,0
SUEDE,50,0.3,0.0,0
SUEDE,50,0.5,0.0,0
SUEDE,100,0.1,0.0,0
SUEDE,100,0.2,0.0,0
SUEDE,100,0.3,0.0,0
SUEDE,100,0.5,0.0,0
SUEDE,200,0.1,0.0,0
SUEDE,200,0.2,0.0,0
SUEDE,200,0.3,0.0,0
SUEDE,200,0.5,0.0,0
