symbol,ema_n,theta,exit_t,PnL,nfb,nfs,nx
COTTON,10,0.1,5,-2170.0,122,127,198
COTTON,10,0.1,20,-1220.0,122,127,170
COTTON,10,0.1,50,-414.0,122,127,117
COTTON,10,0.1,200,-3829.0,122,127,53
COTTON,10,0.2,5,-47.0,1,2,3
COTTON,10,0.2,20,-79.0,1,2,3
COTTON,10,0.2,50,-82.0,1,2,3
COTTON,10,0.2,200,142.0,1,2,3
COTTON,10,0.3,5,0.0,0,0,0
COTTON,10,0.3,20,0.0,0,0,0
COTTON,10,0.3,50,0.0,0,0,0
COTTON,10,0.3,200,0.0,0,0,0
COTTON,10,0.5,5,0.0,0,0,0
COTTON,10,0.5,20,0.0,0,0,0
COTTON,10,0.5,50,0.0,0,0,0
COTTON,10,0.5,200,0.0,0,0,0
COTTON,20,0.1,5,-188.0,2,9,8
COTTON,20,0.1,20,28.0,2,9,8
COTTON,20,0.1,50,-23.0,2,9,8
COTTON,20,0.1,200,1077.0,2,9,8
COTTON,20,0.2,5,0.0,0,0,0
COTTON,20,0.2,20,0.0,0,0,0
COTTON,20,0.2,50,0.0,0,0,0
COTTON,20,0.2,200,0.0,0,0,0
COTTON,20,0.3,5,0.0,0,0,0
COTTON,20,0.3,20,0.0,0,0,0
COTTON,20,0.3,50,0.0,0,0,0
COTTON,20,0.3,200,0.0,0,0,0
COTTON,20,0.5,5,0.0,0,0,0
COTTON,20,0.5,20,0.0,0,0,0
COTTON,20,0.5,50,0.0,0,0,0
COTTON,20,0.5,200,0.0,0,0,0
COTTON,50,0.1,5,0.0,0,0,0
COTTON,50,0.1,20,0.0,0,0,0
COTTON,50,0.1,50,0.0,0,0,0
COTTON,50,0.1,200,0.0,0,0,0
COTTON,50,0.2,5,0.0,0,0,0
COTTON,50,0.2,20,0.0,0,0,0
COTTON,50,0.2,50,0.0,0,0,0
COTTON,50,0.2,200,0.0,0,0,0
COTTON,50,0.3,5,0.0,0,0,0
COTTON,50,0.3,20,0.0,0,0,0
COTTON,50,0.3,50,0.0,0,0,0
COTTON,50,0.3,200,0.0,0,0,0
COTTON,50,0.5,5,0.0,0,0,0
COTTON,50,0.5,20,0.0,0,0,0
COTTON,50,0.5,50,0.0,0,0,0
COTTON,50,0.5,200,0.0,0,0,0
LAMB_WOOL,10,0.1,5,-1805.0,132,123,207
LAMB_WOOL,10,0.1,20,-1682.0,132,123,181
LAMB_WOOL,10,0.1,50,-1473.0,132,123,139
LAMB_WOOL,10,0.1,200,3097.0,132,123,42
LAMB_WOOL,10,0.2,5,-14.0,2,1,2
