K,M,theta,Sharpe,TotPnL,NPos
3,5,0.5,0.14744402551785157,25245.0,18005
5,5,1.0,0.11837021552379014,14730.0,9415
3,10,0.5,0.09782496504657054,16930.0,18220
5,5,0.5,0.09749080177353318,16735.0,18095
5,5,2.0,0.0774582153953697,3645.0,1375
5,10,2.0,0.06964607839238567,3150.0,1330
5,10,0.5,0.06712404510968858,11520.0,18140
5,5,1.5,0.06262837071676758,5010.0,3915
10,5,1.0,0.05988098931308335,7500.0,9495
5,3,0.5,0.05208590210670428,8890.0,18093
10,5,0.5,0.05023521631395322,8660.0,18250
10,3,0.5,0.0239233350969651,4115.0,18096
20,3,0.5,0.022846212961771976,3960.0,18456
10,10,1.0,0.02041380014596826,2575.0,9670
10,10,1.5,0.02020536847775208,1690.0,4260
20,5,0.5,0.019847458887549078,3435.0,18430
10,3,1.0,0.018340490189785365,2270.0,9393
10,5,1.5,0.009310374479812202,775.0,4145
20,3,1.0,0.005706749937192923,720.0,9765
3,5,2.0,0.005417590819228716,260.0,1405
20,10,2.0,0.0013478699265718308,70.0,1680
10,5,2.0,-0.0013359457987288737,-65.0,1445
3,5,1.0,-0.005050821389611149,-625.0,9340
20,10,0.5,-0.007084046271205866,-1230.0,18330
5,10,1.0,-0.00739321674005718,-920.0,9400
3,5,1.5,-0.013996781152374014,-1145.0,4015
3,10,1.0,-0.014026104777489196,-1740.0,9430
10,10,2.0,-0.01574637717021337,-795.0,1540
5,3,1.0,-0.016384535275236204,-2015.0,9462
5,10,1.5,-0.017165656150129494,-1350.0,3800
20,10,1.5,-0.021336482820231963,-1815.0,4400
3,10,2.0,-0.03056338288252271,-1505.0,1480
20,5,1.0,-0.03240991133605961,-4125.0,9785
20,5,2.0,-0.04057759158950948,-2110.0,1650
20,10,1.0,-0.04099696937475556,-5250.0,9890
3,3,0.5,-0.046244701528324876,-7935.0,18096
10,10,0.5,-0.04640128800326157,-8015.0,18290
3,3,1.0,-0.0467757824440698,-5760.0,9411
10,3,1.5,-0.0605608986728632,-4850.0,4050
3,3,2.0,-0.07261797754840338,-3465.0,1455
5,3,1.5,-0.07991803244152187,-6465.0,4092
5,3,2.0,-0.08302682251238473,-3920.0,1467
20,3,1.5,-0.08915787038416363,-7450.0,4263
20,5,1.5,-0.09617467343039884,-8020.0,4215
20,3,2.0,-0.10929748382116056,-5595.0,1614
3,3,1.5,-0.12482035347582691,-9965.0,4029
3,10,1.5,-0.13337425491243174,-10970.0,4130
10,3,2.0,-0.1841086763483137,-9010.0,1545
