symbol,day,PnL,n_buy,n_sell
COTTON,2,-52089.0,,
COTTON,3,-41831.5,,
COTTON,4,-55947.0,,
COTTON,-1,-149817.0,,
COTTON,-2,,16196.0,16205.0
LAMB_WOOL,2,-49751.0,,
LAMB_WOOL,3,-38756.5,,
LAMB_WOOL,4,-42543.0,,
LAMB_WOOL,-1,-131024.0,,
LAMB_WOOL,-2,,16391.0,16381.0
NYLON,2,-44342.0,,
NYLON,3,-39395.5,,
NYLON,4,-37223.5,,
NYLON,-1,-121008.5,,
NYLON,-2,,16625.0,16630.0
POLYESTER,2,-44133.0,,
POLYESTER,3,-50335.5,,
POLYESTER,4,-42433.5,,
POLYESTER,-1,-136988.5,,
POLYESTER,-2,,16191.0,16188.0
SUEDE,2,-39446.0,,
SUEDE,3,-47472.0,,
SUEDE,4,-42944.0,,
SUEDE,-1,-129896.0,,
SUEDE,-2,,16259.0,16257.0
