symbol,day,PnL,n_buy,n_sell
COTTON,2,-47791.0,,
COTTON,3,-38198.5,,
COTTON,4,-50831.0,,
COTTON,-1,-136765.0,13677.0,13686.0
LAMB_WOOL,2,-45009.0,,
LAMB_WOOL,3,-34340.5,,
LAMB_WOOL,4,-35158.0,,
LAMB_WOOL,-1,-114496.0,13650.0,13640.0
NYLON,2,-37756.0,,
NYLON,3,-33741.0,,
NYLON,4,-32822.0,,
NYLON,-1,-104376.0,13530.0,13532.0
POLYESTER,2,-38149.0,,
POLYESTER,3,-46286.5,,
POLYESTER,4,-35252.0,,
POLYESTER,-1,-119795.0,13738.0,13740.0
SUEDE,2,-32313.0,,
SUEDE,3,-42638.0,,
SUEDE,4,-40261.5,,
SUEDE,-1,-115245.5,13758.0,13753.0
