name,day,Sharpe,TotPnL,WinRate,NTrades
H1_momentum_LAMB_WOOL,2,0.05479232418898233,3680.0,0.4831,9634.0
H1_momentum_LAMB_WOOL,3,-0.0025166744365617984,-165.0,0.4896,9664.0
H1_momentum_LAMB_WOOL,4,-0.020855872558802536,-1430.0,0.4763,9644.0
H1_momentum_LAMB_WOOL,-1,0.010356373975260309,2085.0,0.483,28942.0
H2_pairs_SUEDE_basket,2,-0.3422647427479969,-23548.35766106953,0.259,5344.0
H2_pairs_SUEDE_basket,3,-0.039298982818339136,-3180.3223473014987,0.2908,5862.0
H2_pairs_SUEDE_basket,4,0.2335561635939408,16844.394805971915,0.2155,4231.0
H2_pairs_SUEDE_basket,-1,-0.04444344865664211,-9884.285202399114,0.2551,15437.0
H3_pairs_LAMB_WOOL_NYLON,2,-0.14692310357547572,-7043.705478872489,0.223,4446.0
H3_pairs_LAMB_WOOL_NYLON,3,0.028165676182201577,1336.480586815942,0.2304,4606.0
H3_pairs_LAMB_WOOL_NYLON,4,0.13951811084057086,7014.420349844831,0.2327,4630.0
H3_pairs_LAMB_WOOL_NYLON,-1,0.008970646940376614,1307.1954577882843,0.2287,13682.0
H4_leadlag_NYLON_COTTON_K3_M5_th0.5,2,0.2644938188431987,13675.0,0.2878,5648.0
H4_leadlag_NYLON_COTTON_K3_M5_th0.5,3,0.14491111958390396,8220.0,0.303,5995.0
H4_leadlag_NYLON_COTTON_K3_M5_th0.5,4,0.05377554282127366,3350.0,0.3031,5963.0
H4_leadlag_NYLON_COTTON_K3_M5_th0.5,-1,0.14744402551785157,25245.0,0.29796666666666666,17606.0
H5_MM_total,2,,97422.0,,
H5_MM_total,3,,115012.5,,
H5_MM_total,4,,115516.5,,
H5_MM_total,-1,,327951.0,,
