a,b,peak_lag,peak_corr
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,-4,-0.014807344659451379
SLEEP_POD_COTTON,SLEEP_POD_NYLON,21,-0.011745040134457697
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,-24,-0.021170584366101884
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,-15,-0.01320072103988305
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,6,-0.016663284753759427
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,-18,0.011599028096085283
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,29,-0.020216418926514164
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,14,-0.012716500897775014
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,-8,-0.014520742689837432
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,-26,-0.015469562126486373
