a,b,tstat,pvalue
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,-3.168928610165497,0.07527948587869922
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,-3.021565322002837,0.10516799810975042
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,-2.8481125801117244,0.15085540083616478
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,-2.599845461217504,0.23689230819850027
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,-2.589230410972925,0.24119340638470438
SLEEP_POD_COTTON,SLEEP_POD_NYLON,-2.0604917887589735,0.4970255754498931
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,-1.9645639032286442,0.5469418278151971
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,-1.7133214331065594,0.6707912646161304
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,-1.3111041608774108,0.8263598538329013
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,-1.1745644147301737,0.8644359737891496
