a,b,form,signal,n,half_life,cross_rate_per_1k,n_trades_sim,total_pnl_sim,sharpe_sim,corr_with_baseline,sd
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,sum,SLEEP_POD_COTTON+SLEEP_POD_POLYESTER,30000,6915.98498100554,1.9666666666666666,15,1939.5,0.676974509763814,0.19577198651673092,1806.257066883214
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,sum,SLEEP_POD_LAMB_WOOL+SLEEP_POD_SUEDE,30000,3367.9416323388255,1.1666666666666667,17,1522.0,1.0070808692144975,0.34296590301664753,967.2929631252334
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,spread,SLEEP_POD_NYLON-SLEEP_POD_SUEDE,30000,4014.294377500787,2.2666666666666666,18,725.5,0.43709704537518806,-0.497041596797303,945.7614630322756
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,sum,SLEEP_POD_POLYESTER+SLEEP_POD_SUEDE,30000,7417.516560853372,0.9,22,293.0,0.17128491718490793,0.4572604862048469,1810.5120579849258
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,ols_spread(beta=0.691),SLEEP_POD_COTTON-0.691*SLEEP_POD_SUEDE,30000,2719.295606099971,5.666666666666667,21,114.41750001703804,0.07496088601335779,-0.5472610039991775,633.1041824203223
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL+SLEEP_POD_NYLON,triple_sum,SLEEP_POD_COTTON-(SLEEP_POD_LAMB_WOOL+SLEEP_POD_NYLON)/2,30000,4437.47758514087,5.8,19,58.0,0.03327737978824276,0.010449456230780118,862.6839201954057
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,ols_spread(beta=-0.028),SLEEP_POD_LAMB_WOOL--0.028*SLEEP_POD_SUEDE,30000,1776.5167216776333,6.5,19,19.4810545106684,0.018561455640742325,-0.1718342027076007,412.4133762663077
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,ratio,SLEEP_POD_COTTON/SLEEP_POD_SUEDE,30000,2617.214293968845,9.666666666666668,21,0.02047420028590874,0.14820783515968344,-0.6936052238841264,0.06167609798608278
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,log_ratio,log(SLEEP_POD_NYLON)-log(SLEEP_POD_SUEDE),30000,3987.365924476987,1.6,21,0.01669750706430584,0.1030861221047307,-0.5049855488724941,0.08858225616994204
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,log_ratio,log(SLEEP_POD_COTTON)-log(SLEEP_POD_SUEDE),30000,2595.8389700655785,8.533333333333333,21,0.008920153473763293,0.06783950094760084,-0.6954989376850985,0.060491336471203534
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,ratio,SLEEP_POD_NYLON/SLEEP_POD_SUEDE,30000,3932.6648950035697,1.4,22,0.001256835791406452,0.008838753346854062,-0.5030056205253989,0.0766733260293041
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,ratio,SLEEP_POD_COTTON/SLEEP_POD_LAMB_WOOL,30000,4266.35081052939,10.066666666666666,22,-0.023106131504802674,-0.10519331591699006,0.019462451178584656,0.08883266790828528
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,log_ratio,log(SLEEP_POD_COTTON)-log(SLEEP_POD_LAMB_WOOL),30000,4373.372066492732,9.0,22,-0.030545948746393492,-0.1493399287925566,0.044953369435540146,0.08307284055275593
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,ratio,SLEEP_POD_LAMB_WOOL/SLEEP_POD_POLYESTER,30000,5799.424571081957,3.766666666666667,28,-0.14544720839365122,-0.9654112011363527,-0.4842665701825763,0.0897856763854291
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,log_ratio,log(SLEEP_POD_LAMB_WOOL)-log(SLEEP_POD_SUEDE),30000,5649.757362210439,5.566666666666666,21,-0.14679727249733254,-1.3363132401360558,-0.49712568023397385,0.09214181879468201
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,ratio,SLEEP_POD_LAMB_WOOL/SLEEP_POD_SUEDE,30000,6131.222871143877,4.366666666666666,22,-0.14725406162750787,-1.3818451309752176,-0.49884482998748997,0.09079750264528802
SLEEP_POD_COTTON,SLEEP_POD_NYLON,log_ratio,log(SLEEP_POD_COTTON)-log(SLEEP_POD_NYLON),30000,2892.437902589535,7.133333333333334,19,-0.1490369330147363,-1.080104331056499,0.03611915230239379,0.07367556622562443
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,log_ratio,log(SLEEP_POD_LAMB_WOOL)-log(SLEEP_POD_POLYESTER),30000,5353.641922223759,5.966666666666667,27,-0.1586982742071843,-1.0043142951777217,-0.47499976007235056,0.09439369284967793
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,ratio,SLEEP_POD_POLYESTER/SLEEP_POD_SUEDE,30000,1283.2684408284993,9.4,21,-0.1596290518064316,-1.414083182400536,-0.027358497850104163,0.04501256285170409
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,log_ratio,log(SLEEP_POD_POLYESTER)-log(SLEEP_POD_SUEDE),30000,1287.7139662781804,9.4,21,-0.1659195785124563,-1.556011381123732,-0.022367658481605133,0.04332518270333049
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,log_ratio,log(SLEEP_POD_LAMB_WOOL)-log(SLEEP_POD_NYLON),30000,1503.8139879198059,10.533333333333333,23,-0.1747439373455162,-1.7021698729204702,-0.022849986853800228,0.046971803564991796
SLEEP_POD_COTTON,SLEEP_POD_NYLON,ratio,SLEEP_POD_COTTON/SLEEP_POD_NYLON,30000,2888.6047104688364,7.066666666666666,19,-0.18512061754421083,-1.1152882462693094,0.025194384345835194,0.08644935398152193
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,ratio,SLEEP_POD_LAMB_WOOL/SLEEP_POD_NYLON,30000,1497.4772021627998,10.8,23,-0.1864226532057287,-1.6651984318999047,-0.025087209905198908,0.05208604137365104
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,ratio,SLEEP_POD_NYLON/SLEEP_POD_POLYESTER,30000,3269.6680452561895,3.6666666666666665,28,-0.20575215894738397,-1.9206066563810322,-0.5078805275358711,0.07274423599549412
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,log_ratio,log(SLEEP_POD_NYLON)-log(SLEEP_POD_POLYESTER),30000,3319.331810947378,3.8,28,-0.2586546481059866,-1.9730888614729538,-0.5096686346946888,0.08586692094206917
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,log_ratio,log(SLEEP_POD_COTTON)-log(SLEEP_POD_POLYESTER),30000,1150.1604765266354,7.166666666666667,28,-0.3896256371556053,-4.138327265397413,-0.9980954236306387,0.04118100974253479
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,ratio,SLEEP_POD_COTTON/SLEEP_POD_POLYESTER,30000,1145.138217822551,6.033333333333333,28,-0.39021382853894837,-4.264020708055796,-0.9976460722554592,0.040072600611107484
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,spread,SLEEP_POD_COTTON-SLEEP_POD_LAMB_WOOL,30000,4627.277514336749,9.4,22,-340.5,-0.14834842139611995,0.02325794107276144,954.8333472892734
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,spread,SLEEP_POD_COTTON-SLEEP_POD_SUEDE,30000,2559.834795561438,8.733333333333333,24,-360.5,-0.2278074054500044,-0.6860077269871877,691.3349093794917
SLEEP_POD_COTTON+SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,triple_sum_alt,(SLEEP_POD_COTTON+SLEEP_POD_POLYESTER)/2-SLEEP_POD_SUEDE,30000,2179.177831361407,4.666666666666667,20,-389.75,-0.32900359193814466,-0.4266654070610497,556.176467646293
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,ols_spread(beta=-0.016),SLEEP_POD_LAMB_WOOL--0.016*SLEEP_POD_POLYESTER,30000,1786.3151443771173,5.1000000000000005,21,-482.7118233140445,-0.450876019410055,-0.18319566791765982,412.86343488300867
