a,b,form,beta,entry_z,n_trades,total_pnl,pnl_d2,pnl_d3,pnl_d4,pos_days
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,spread,1.0,1.0,16,2215.0,-8805.0,10865.0,155.0,2
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,spread,1.0,1.2,16,10755.0,-6580.0,15575.0,1760.0,2
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,spread,1.0,1.5,14,15340.0,-3610.0,14405.0,4545.0,2
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,spread,1.0,1.8,10,13970.0,-2785.0,9950.0,6805.0,2
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,spread,1.0,2.0,10,19330.0,-820.0,11715.0,8435.0,2
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,spread,1.0,2.5,8,17960.0,5180.0,0.0,12780.0,2
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,sum,1.0,1.0,14,-5535.0,-1715.0,2350.0,-6170.0,1
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,sum,1.0,1.2,10,-9165.0,-7390.0,3495.0,-5270.0,1
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,sum,1.0,1.5,10,-3105.0,-4355.0,5020.0,-3770.0,1
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,sum,1.0,1.8,6,-3305.0,-1265.0,0.0,-2040.0,0
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,sum,1.0,2.0,4,-8795.0,-9685.0,0.0,890.0,1
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,sum,1.0,2.5,4,-3635.0,-8955.0,0.0,5320.0,1
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,ols_spread,0.138,1.0,24,-411.0,3087.5,2384.5,-5883.0,2
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,ols_spread,0.138,1.2,22,4020.5,5718.5,3278.0,-4976.0,2
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,ols_spread,0.138,1.5,20,8669.5,7652.5,4752.0,-3735.0,2
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,ols_spread,0.138,1.8,16,10162.0,5829.0,6316.0,-1983.0,2
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,ols_spread,0.138,2.0,12,4142.5,3989.0,0.0,153.5,2
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,ols_spread,0.138,2.5,6,2933.0,134.5,0.0,2798.5,2
SLEEP_POD_COTTON,SLEEP_POD_NYLON,spread,1.0,1.0,19,-6070.0,-595.0,-605.0,-4870.0,0
SLEEP_POD_COTTON,SLEEP_POD_NYLON,spread,1.0,1.2,17,-1570.0,-1755.0,1995.0,-1810.0,1
SLEEP_POD_COTTON,SLEEP_POD_NYLON,spread,1.0,1.5,17,8785.0,155.0,5600.0,3030.0,3
SLEEP_POD_COTTON,SLEEP_POD_NYLON,spread,1.0,1.8,13,8185.0,745.0,-955.0,8395.0,2
SLEEP_POD_COTTON,SLEEP_POD_NYLON,spread,1.0,2.0,10,8270.0,810.0,135.0,7325.0,3
SLEEP_POD_COTTON,SLEEP_POD_NYLON,spread,1.0,2.5,4,5165.0,-2730.0,7895.0,0.0,1
SLEEP_POD_COTTON,SLEEP_POD_NYLON,sum,1.0,1.0,51,13310.0,24240.0,5775.0,-16705.0,2
SLEEP_POD_COTTON,SLEEP_POD_NYLON,sum,1.0,1.2,39,12190.0,23670.0,4625.0,-16105.0,2
SLEEP_POD_COTTON,SLEEP_POD_NYLON,sum,1.0,1.5,33,15345.0,23815.0,6650.0,-15120.0,2
SLEEP_POD_COTTON,SLEEP_POD_NYLON,sum,1.0,1.8,19,5850.0,16335.0,3390.0,-13875.0,2
SLEEP_POD_COTTON,SLEEP_POD_NYLON,sum,1.0,2.0,13,2690.0,11640.0,4020.0,-12970.0,2
SLEEP_POD_COTTON,SLEEP_POD_NYLON,sum,1.0,2.5,9,3885.0,9215.0,5855.0,-11185.0,2
SLEEP_POD_COTTON,SLEEP_POD_NYLON,ols_spread,0.694,1.0,23,-2782.0,371.0,-572.0,-2581.0,1
SLEEP_POD_COTTON,SLEEP_POD_NYLON,ols_spread,0.694,1.2,21,1384.0,-407.0,1491.5,299.5,2
SLEEP_POD_COTTON,SLEEP_POD_NYLON,ols_spread,0.694,1.5,14,4931.0,-1096.0,4669.5,1357.5,2
SLEEP_POD_COTTON,SLEEP_POD_NYLON,ols_spread,0.694,1.8,12,3427.5,830.5,-1176.0,3773.0,2
SLEEP_POD_COTTON,SLEEP_POD_NYLON,ols_spread,0.694,2.0,10,6440.0,1126.0,128.0,5186.0,3
SLEEP_POD_COTTON,SLEEP_POD_NYLON,ols_spread,0.694,2.5,6,15359.5,-2923.5,6660.0,11623.0,2
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,spread,1.0,1.0,47,49150.0,16045.0,9905.0,23200.0,3
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,spread,1.0,1.2,33,38335.0,9560.0,3860.0,24915.0,3
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,spread,1.0,1.5,25,37305.0,9480.0,45.0,27780.0,3
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,spread,1.0,1.8,18,27380.0,12005.0,1060.0,14315.0,3
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,spread,1.0,2.0,14,18245.0,8205.0,1710.0,8330.0,3
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,spread,1.0,2.5,10,13815.0,10270.0,3545.0,0.0,2
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,sum,1.0,1.0,16,-28085.0,1280.0,0.0,-29365.0,1
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,sum,1.0,1.2,14,-28265.0,315.0,0.0,-28580.0,1
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,sum,1.0,1.5,12,-29020.0,-1925.0,0.0,-27095.0,0
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,sum,1.0,1.8,10,-27955.0,-1920.0,0.0,-26035.0,0
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,sum,1.0,2.0,6,-28830.0,-3900.0,0.0,-24930.0,0
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,sum,1.0,2.5,4,-26795.0,-5050.0,0.0,-21745.0,0
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,ols_spread,0.795,1.0,43,37873.0,10999.0,10859.0,16015.0,3
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,ols_spread,0.795,1.2,35,36753.0,12620.0,7258.0,16875.0,3
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,ols_spread,0.795,1.5,29,44990.0,10914.0,10248.0,23828.0,3
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,ols_spread,0.795,1.8,16,22345.0,9308.0,1700.0,11337.0,3
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,ols_spread,0.795,2.0,16,27388.0,11678.0,2523.0,13187.0,3
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,ols_spread,0.795,2.5,8,15000.0,2105.0,3906.0,8989.0,3
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,spread,1.0,1.0,33,25960.0,545.0,16225.0,9190.0,3
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,spread,1.0,1.2,25,19515.0,2445.0,3360.0,13710.0,3
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,spread,1.0,1.5,23,24065.0,5620.0,6815.0,11630.0,3
