Symbol,Strategy,Sharpe,WinRate,MeanPnL,MaxDD,Verdict
SUEDE,MeanRev z-score (50),0.09009934241786469,0.678477690288714,1.8832020997375327,-14510.0,NO EDGE
LAMB_WOOL,MeanRev z-score (50),-2.2422820571013893,0.6530343007915568,-44.452506596306065,-40660.0,AVOID
POLYESTER,MeanRev z-score (50),1.1351656830177197,0.7030456852791879,23.477157360406093,-11510.0,WEAK EDGE
NYLON,MeanRev z-score (50),0.598213074280537,0.6935897435897436,10.243589743589743,-15265.0,NO EDGE
COTTON,MeanRev z-score (50),-1.3311580489425687,0.6544980443285529,-28.35071707953064,-28180.0,AVOID
SUEDE,Momentum N=5 M=20,1.4775274575250423,0.48874172185430464,38.70198675496689,-13270.0,WEAK EDGE
LAMB_WOOL,Momentum N=5 M=5,2.0486835680962847,0.3668137088564642,12.874109263657957,-14010.0,STRONG EDGE
POLYESTER,Momentum N=20 M=20,1.1294836517060574,0.37057220708446864,31.67574931880109,-17305.0,WEAK EDGE
NYLON,Momentum N=10 M=10,1.449892541695601,0.3673469387755102,16.421768707482993,-11325.0,WEAK EDGE
COTTON,Momentum N=20 M=20,1.097447628499379,0.3511659807956104,30.432098765432098,-15120.0,WEAK EDGE
SUEDE,Volume-trig momentum,-1.3436213010196933,0.4570552147239264,-13.343558282208589,-11150.0,AVOID
LAMB_WOOL,Volume-trig momentum,-0.7620490661931241,0.4884437596302003,-7.164869029275809,-9670.0,AVOID
POLYESTER,Volume-trig momentum,-1.1992708920538009,0.49085365853658536,-12.774390243902438,-12365.0,AVOID
NYLON,Volume-trig momentum,-0.8976290978020833,0.4596651445966514,-7.595129375951294,-5610.0,AVOID
COTTON,Volume-trig momentum,0.6283256353895977,0.49390243902439024,6.471036585365853,-10520.0,NO EDGE
COTTON,Lead-lag from NYLON,0.03306351462304599,0.4932834324667513,0.04410880171088685,-17900.0,NO EDGE
LAMB_WOOL-NYLON,Pairs spread z-score,2.8448700502011453,1.0,4892.166666666667,-12046.0,NO EDGE
