causality,min_p,best_lag
SNACKPACK_CHOCOLATE->SNACKPACK_STRAWBERRY,0.0425,1
SNACKPACK_STRAWBERRY->SNACKPACK_PISTACHIO,0.0545,1
SNACKPACK_VANILLA->SNACKPACK_CHOCOLATE,0.0599,2
SNACKPACK_CHOCOLATE->SNACKPACK_PISTACHIO,0.0636,4
SNACKPACK_PISTACHIO->SNACKPACK_VANILLA,0.0788,1
SNACKPACK_CHOCOLATE->SNACKPACK_VANILLA,0.083,2
SNACKPACK_VANILLA->SNACKPACK_PISTACHIO,0.0884,4
SNACKPACK_PISTACHIO->SNACKPACK_CHOCOLATE,0.0913,1
SNACKPACK_RASPBERRY->SNACKPACK_PISTACHIO,0.0951,1
SNACKPACK_PISTACHIO->SNACKPACK_STRAWBERRY,0.1068,1
SNACKPACK_CHOCOLATE->SNACKPACK_RASPBERRY,0.1214,1
SNACKPACK_STRAWBERRY->SNACKPACK_VANILLA,0.1247,5
SNACKPACK_PISTACHIO->SNACKPACK_RASPBERRY,0.1314,1
SNACKPACK_VANILLA->SNACKPACK_STRAWBERRY,0.1627,1
SNACKPACK_STRAWBERRY->SNACKPACK_CHOCOLATE,0.1702,1
SNACKPACK_RASPBERRY->SNACKPACK_STRAWBERRY,0.183,2
SNACKPACK_RASPBERRY->SNACKPACK_VANILLA,0.1976,1
SNACKPACK_RASPBERRY->SNACKPACK_CHOCOLATE,0.2314,1
SNACKPACK_STRAWBERRY->SNACKPACK_RASPBERRY,0.3088,2
SNACKPACK_VANILLA->SNACKPACK_RASPBERRY,0.3447,1
