symbol,K,fills,end_pos,final_pnl
SNACKPACK_CHOCOLATE,0.3,3732,-8,-29176.0
SNACKPACK_CHOCOLATE,0.5,2104,-8,-10388.0
SNACKPACK_CHOCOLATE,0.7,1341,-9,-6162.0
SNACKPACK_CHOCOLATE,1.0,778,-10,-6490.0
SNACKPACK_VANILLA,0.3,3216,4,-25235.0
SNACKPACK_VANILLA,0.5,1829,1,-6136.0
SNACKPACK_VANILLA,0.7,1265,-9,-2353.0
SNACKPACK_VANILLA,1.0,664,4,-4241.0
SNACKPACK_PISTACHIO,0.3,2165,5,-9196.0
SNACKPACK_PISTACHIO,0.5,993,7,-4437.0
SNACKPACK_PISTACHIO,0.7,467,9,-2384.0
SNACKPACK_PISTACHIO,1.0,299,5,3037.0
SNACKPACK_STRAWBERRY,0.3,4968,6,-52939.0
SNACKPACK_STRAWBERRY,0.5,3477,7,-29887.5
SNACKPACK_STRAWBERRY,0.7,2383,7,-16260.5
SNACKPACK_STRAWBERRY,1.0,1452,6,-9119.0
SNACKPACK_RASPBERRY,0.3,5716,-4,-53149.0
SNACKPACK_RASPBERRY,0.5,3758,0,-33702.0
SNACKPACK_RASPBERRY,0.7,2853,-5,-18440.5
SNACKPACK_RASPBERRY,1.0,1816,-8,-6954.0
