pair,lag,corr
ASTRO_BLACK|ECLIPSE_CHARCOAL,-10,-0.0016293885106317039
ASTRO_BLACK|ECLIPSE_CHARCOAL,-9,-0.0007718409125458729
ASTRO_BLACK|ECLIPSE_CHARCOAL,-8,-0.0021321352338891757
ASTRO_BLACK|ECLIPSE_CHARCOAL,-7,0.006477399209102311
ASTRO_BLACK|ECLIPSE_CHARCOAL,-6,0.010221513182108089
ASTRO_BLACK|ECLIPSE_CHARCOAL,-5,-0.0029427599342344464
ASTRO_BLACK|ECLIPSE_CHARCOAL,-4,-0.00860904223021229
ASTRO_BLACK|ECLIPSE_CHARCOAL,-3,0.010216809101937873
ASTRO_BLACK|ECLIPSE_CHARCOAL,-2,0.012147661184821277
ASTRO_BLACK|ECLIPSE_CHARCOAL,-1,-0.0027704590957474424
ASTRO_BLACK|ECLIPSE_CHARCOAL,0,0.0037164566545705344
ASTRO_BLACK|ECLIPSE_CHARCOAL,1,-0.0075155483682747114
ASTRO_BLACK|ECLIPSE_CHARCOAL,2,-0.01201477699510812
ASTRO_BLACK|ECLIPSE_CHARCOAL,3,-0.008308158661073
ASTRO_BLACK|ECLIPSE_CHARCOAL,4,0.0050605131265298135
ASTRO_BLACK|ECLIPSE_CHARCOAL,5,0.0038867547184799557
ASTRO_BLACK|ECLIPSE_CHARCOAL,6,-0.00642009776459742
ASTRO_BLACK|ECLIPSE_CHARCOAL,7,-0.0003900468278805005
ASTRO_BLACK|ECLIPSE_CHARCOAL,8,0.0069672134397241355
ASTRO_BLACK|ECLIPSE_CHARCOAL,9,-0.0110980834927807
ASTRO_BLACK|ECLIPSE_CHARCOAL,10,0.003561252101230998
ASTRO_BLACK|GRAPHITE_MIST,-10,0.00019929118136425
ASTRO_BLACK|GRAPHITE_MIST,-9,-0.007029916911382059
ASTRO_BLACK|GRAPHITE_MIST,-8,-0.012219616311611484
ASTRO_BLACK|GRAPHITE_MIST,-7,0.0014245124280598117
ASTRO_BLACK|GRAPHITE_MIST,-6,-0.010659189023466844
ASTRO_BLACK|GRAPHITE_MIST,-5,0.006003775802526365
ASTRO_BLACK|GRAPHITE_MIST,-4,0.0033776450305846814
ASTRO_BLACK|GRAPHITE_MIST,-3,0.00404544178370901
ASTRO_BLACK|GRAPHITE_MIST,-2,0.006717274872217878
ASTRO_BLACK|GRAPHITE_MIST,-1,-0.0008600362947047422
ASTRO_BLACK|GRAPHITE_MIST,0,-0.0035478050564810553
ASTRO_BLACK|GRAPHITE_MIST,1,-0.00047618720329847705
ASTRO_BLACK|GRAPHITE_MIST,2,-0.0007009663858873837
ASTRO_BLACK|GRAPHITE_MIST,3,0.009983969645934492
ASTRO_BLACK|GRAPHITE_MIST,4,0.017101746117308046
ASTRO_BLACK|GRAPHITE_MIST,5,-0.0062192620894040195
ASTRO_BLACK|GRAPHITE_MIST,6,-0.003921893376388286
ASTRO_BLACK|GRAPHITE_MIST,7,-0.011157511132474542
ASTRO_BLACK|GRAPHITE_MIST,8,0.006262695264164008
ASTRO_BLACK|GRAPHITE_MIST,9,-0.011630152796600565
ASTRO_BLACK|GRAPHITE_MIST,10,-0.0022196331058043015
ASTRO_BLACK|SPACE_GRAY,-10,0.0033012685073872702
ASTRO_BLACK|SPACE_GRAY,-9,0.00023689586616785886
ASTRO_BLACK|SPACE_GRAY,-8,0.0012330649163628732
ASTRO_BLACK|SPACE_GRAY,-7,-0.00380906871577786
ASTRO_BLACK|SPACE_GRAY,-6,-0.00349850488083322
ASTRO_BLACK|SPACE_GRAY,-5,0.011138936605224437
ASTRO_BLACK|SPACE_GRAY,-4,-0.0032461233518868665
ASTRO_BLACK|SPACE_GRAY,-3,0.0015606847752896967
ASTRO_BLACK|SPACE_GRAY,-2,-0.007894976299484253
ASTRO_BLACK|SPACE_GRAY,-1,-0.005418301018247311
ASTRO_BLACK|SPACE_GRAY,0,0.008468101388753228
ASTRO_BLACK|SPACE_GRAY,1,0.009081529344286023
ASTRO_BLACK|SPACE_GRAY,2,0.008093210574056599
ASTRO_BLACK|SPACE_GRAY,3,0.010915908620102853
ASTRO_BLACK|SPACE_GRAY,4,0.0037784159639744127
ASTRO_BLACK|SPACE_GRAY,5,-0.001844970030764308
ASTRO_BLACK|SPACE_GRAY,6,-0.008917739708269076
ASTRO_BLACK|SPACE_GRAY,7,0.0010022274474669275
ASTRO_BLACK|SPACE_GRAY,8,-0.01048675160335677
ASTRO_BLACK|SPACE_GRAY,9,-0.002610944502111959
ASTRO_BLACK|SPACE_GRAY,10,-0.008081405922730446
ASTRO_BLACK|VOID_BLUE,-10,0.0031741826784799027
ASTRO_BLACK|VOID_BLUE,-9,-0.005595685435557418
ASTRO_BLACK|VOID_BLUE,-8,-0.0022915865833860573
ASTRO_BLACK|VOID_BLUE,-7,0.002399324957158069
ASTRO_BLACK|VOID_BLUE,-6,0.002973345291815014
ASTRO_BLACK|VOID_BLUE,-5,0.004455613525703026
ASTRO_BLACK|VOID_BLUE,-4,-0.0008075544166996223
ASTRO_BLACK|VOID_BLUE,-3,0.011080765967378317
ASTRO_BLACK|VOID_BLUE,-2,0.005337445263673463
ASTRO_BLACK|VOID_BLUE,-1,-0.000299573721439878
ASTRO_BLACK|VOID_BLUE,0,0.004818162175996423
ASTRO_BLACK|VOID_BLUE,1,0.004804007088526809
ASTRO_BLACK|VOID_BLUE,2,-0.0009857240754357968
ASTRO_BLACK|VOID_BLUE,3,-0.0035332707133830465
ASTRO_BLACK|VOID_BLUE,4,0.005109544152958308
ASTRO_BLACK|VOID_BLUE,5,-0.013397021480735924
ASTRO_BLACK|VOID_BLUE,6,0.006003867578820811
ASTRO_BLACK|VOID_BLUE,7,0.005110604252038301
ASTRO_BLACK|VOID_BLUE,8,0.0016873445165291492
