pair,mean,std,abs_z_gt_1.5,abs_z_gt_2.0,abs_z_gt_2.5,z_crossings_per_1k
ASTRO_BLACK|VOID_BLUE|sum,20243.7985,444.80364590142125,0.16646666666666668,0.032266666666666666,3.3333333333333335e-05,9.766666666666667
ECLIPSE_CHARCOAL|VOID_BLUE|spread,-1044.83745,519.1191977865467,0.12916666666666668,0.020733333333333333,0.0,7.7
SPACE_GRAY|VOID_BLUE|sum,20290.481216666667,540.6639017177619,0.10693333333333334,0.029966666666666666,0.010966666666666666,5.733333333333333
ASTRO_BLACK|ECLIPSE_CHARCOAL|sum,19198.96105,545.6719153812775,0.15776666666666667,0.018,0.0,10.3
ECLIPSE_CHARCOAL|SPACE_GRAY|sum,19245.643766666668,570.2973749436994,0.12916666666666668,0.0652,0.005533333333333334,6.366666666666666
ECLIPSE_CHARCOAL|GRAPHITE_MIST|sum,19898.381566666667,602.2365102825934,0.135,0.06516666666666666,0.0324,9.166666666666666
ECLIPSE_CHARCOAL|GRAPHITE_MIST|spread,-270.8978,623.9778992232956,0.18656666666666666,0.036166666666666666,0.0006,5.533333333333333
ASTRO_BLACK|SPACE_GRAY|spread,-46.682716666666664,624.7305619882242,0.15386666666666668,0.0262,0.0,7.133333333333334
ASTRO_BLACK|GRAPHITE_MIST|sum,19469.85885,628.6790045760268,0.1176,0.028233333333333333,6.666666666666667e-05,6.633333333333334
ECLIPSE_CHARCOAL|SPACE_GRAY|spread,381.84,658.1362961774292,0.12403333333333333,0.0089,0.0,3.566666666666667
ASTRO_BLACK|ECLIPSE_CHARCOAL|spread,-428.52271666666667,659.4691276397731,0.15773333333333334,0.018833333333333334,0.0,8.7
GRAPHITE_MIST|SPACE_GRAY|spread,652.7378,698.1146837768731,0.11323333333333334,0.0171,0.0025666666666666667,2.7666666666666666
GRAPHITE_MIST|SPACE_GRAY|sum,19516.541566666667,719.1282424828806,0.1266,0.06186666666666667,0.013633333333333334,6.766666666666667
GRAPHITE_MIST|VOID_BLUE|spread,-773.93965,726.9146468898575,0.09206666666666667,0.009333333333333334,0.0,1.1666666666666667
ASTRO_BLACK|GRAPHITE_MIST|spread,-699.4205166666667,763.9025719152361,0.10943333333333333,0.0054666666666666665,0.0,3.8333333333333335
ASTRO_BLACK|SPACE_GRAY|sum,18817.12105,771.2596205355495,0.16943333333333332,0.018133333333333335,0.0,3.566666666666667
GRAPHITE_MIST|VOID_BLUE|sum,20943.219016666666,801.0917539458101,0.09316666666666666,0.010033333333333333,0.0,5.966666666666667
ECLIPSE_CHARCOAL|VOID_BLUE|sum,20672.321216666667,809.0371437485746,0.13213333333333332,0.0631,0.0,5.033333333333333
SPACE_GRAY|VOID_BLUE|spread,-1426.67745,940.3088294064098,0.17373333333333332,0.0,0.0,6.3
ASTRO_BLACK|VOID_BLUE|spread,-1473.3601666666666,976.1776248230368,0.14603333333333332,0.0007333333333333333,0.0,3.966666666666667
