k,set,mean,std,cv
3,AMBER+MAGENTA+RED,30086.782733333333,436.66689590326723,0.014513578928446918
4,AMBER+MAGENTA+RED+YELLOW,41044.24348333333,614.1062959230181,0.01496205664437172
4,AMBER+MAGENTA+ORANGE+RED,40513.28895,614.6334597757377,0.01517115681558946
4,AMBER+ORANGE+RED+YELLOW,40358.9568,614.0297875671511,0.015214213553883311
3,AMBER+MAGENTA+ORANGE,29449.995366666666,476.64343265582573,0.01618483896928963
4,AMBER+MAGENTA+ORANGE+YELLOW,40407.45611666667,868.9986679058147,0.02150589894589734
3,AMBER+ORANGE+RED,29401.49605,664.7009217960953,0.022607724473125757
3,AMBER+RED+YELLOW,29932.450583333335,773.2651908744979,0.025833674684326017
2,AMBER+MAGENTA,19023.48915,556.1761988849257,0.029236287544281838
2,RED+YELLOW,22020.754333333334,674.9728694254094,0.0306516688396858
3,AMBER+ORANGE+YELLOW,29295.663216666668,898.1922928852631,0.03065956507768257
3,AMBER+MAGENTA+YELLOW,29980.9499,922.2059060107416,0.030759729397724707
3,ORANGE+RED+YELLOW,32447.26055,1007.3876116712487,0.031046923364112744
3,MAGENTA+RED+YELLOW,33132.54723333333,1138.3045428516723,0.03435608300307408
4,MAGENTA+ORANGE+RED+YELLOW,43559.05345,1499.9397985635094,0.03443462793068359
2,AMBER+ORANGE,18338.202466666666,718.9304043193546,0.03920397354245345
2,ORANGE+YELLOW,21383.966966666667,868.8292857458964,0.040629939575768506
3,MAGENTA+ORANGE+YELLOW,32495.759866666667,1328.2450783404342,0.040874412039920156
3,MAGENTA+ORANGE+RED,32601.5927,1383.7345045007762,0.0424437700708032
2,AMBER+RED,18974.989833333333,805.9601385230756,0.042474865367634965
2,MAGENTA+RED,22175.086483333333,973.3842848336751,0.04389539971198151
2,ORANGE+RED,21489.7998,958.0254871163008,0.04458047520369644
2,MAGENTA+YELLOW,22069.25365,1038.9379843416327,0.04707626278705772
2,MAGENTA+ORANGE,21538.299116666665,1036.5585191422335,0.04812629416684666
2,AMBER+YELLOW,18869.157,1138.8130595524244,0.06035314982817857
