a,b,sign,entry_z,pnl_mid,cycles
MAGENTA,ORANGE,spread,1.2,35820.0,22
MAGENTA,ORANGE,spread,1.0,34050.0,30
MAGENTA,YELLOW,spread,1.5,27605.0,20
MAGENTA,ORANGE,spread,1.5,26065.0,15
AMBER,ORANGE,sum,2.0,22835.0,8
ORANGE,YELLOW,spread,1.0,21905.0,31
MAGENTA,YELLOW,spread,1.2,21525.0,23
AMBER,MAGENTA,sum,1.0,21095.0,26
MAGENTA,YELLOW,spread,1.0,19390.0,27
MAGENTA,ORANGE,sum,2.0,18520.0,14
AMBER,MAGENTA,sum,1.5,18505.0,16
AMBER,MAGENTA,sum,1.2,18375.0,20
MAGENTA,ORANGE,spread,1.8,18210.0,10
AMBER,ORANGE,sum,1.8,17935.0,10
MAGENTA,RED,spread,2.0,17580.0,6
ORANGE,RED,sum,1.0,16605.0,22
ORANGE,YELLOW,spread,1.2,16485.0,24
ORANGE,YELLOW,sum,1.8,16150.0,12
MAGENTA,RED,spread,1.5,15865.0,10
MAGENTA,YELLOW,sum,1.5,15090.0,19
MAGENTA,YELLOW,spread,1.8,14735.0,14
MAGENTA,ORANGE,spread,2.0,14720.0,9
MAGENTA,RED,spread,1.8,14180.0,6
RED,YELLOW,sum,1.5,13590.0,10
ORANGE,RED,sum,1.2,13395.0,17
ORANGE,RED,spread,1.0,12595.0,15
RED,YELLOW,sum,1.8,12030.0,7
MAGENTA,YELLOW,sum,1.0,11155.0,31
AMBER,MAGENTA,sum,2.0,10910.0,9
RED,YELLOW,sum,1.2,10045.0,11
AMBER,MAGENTA,sum,1.8,8715.0,11
ORANGE,YELLOW,spread,1.5,8595.0,19
ORANGE,RED,spread,1.2,8495.0,12
MAGENTA,ORANGE,sum,1.5,8490.0,20
MAGENTA,RED,spread,1.2,8485.0,10
MAGENTA,YELLOW,spread,2.0,8235.0,10
MAGENTA,RED,spread,1.0,8165.0,12
MAGENTA,YELLOW,sum,1.2,8095.0,25
ORANGE,RED,sum,1.5,7910.0,13
RED,YELLOW,sum,1.0,7480.0,12
MAGENTA,ORANGE,sum,1.8,7200.0,14
AMBER,ORANGE,sum,1.0,5550.0,27
ORANGE,YELLOW,sum,2.0,4840.0,8
AMBER,ORANGE,sum,1.2,4745.0,22
MAGENTA,RED,sum,1.8,4270.0,10
RED,YELLOW,sum,2.0,4145.0,5
MAGENTA,RED,sum,2.0,3890.0,9
ORANGE,RED,spread,1.5,3815.0,10
ORANGE,YELLOW,sum,1.5,3810.0,14
AMBER,YELLOW,sum,1.8,3575.0,14
ORANGE,YELLOW,spread,1.8,3225.0,15
ORANGE,RED,spread,2.0,3045.0,6
ORANGE,RED,spread,1.8,2850.0,8
ORANGE,RED,sum,1.8,2400.0,10
MAGENTA,ORANGE,sum,1.2,1285.0,25
ORANGE,RED,sum,2.0,1205.0,8
AMBER,RED,sum,1.0,425.0,15
AMBER,ORANGE,sum,1.5,360.0,12
AMBER,YELLOW,sum,2.0,240.0,12
MAGENTA,RED,sum,1.0,-50.0,21
AMBER,ORANGE,spread,2.0,-590.0,11
MAGENTA,ORANGE,sum,1.0,-750.0,29
ORANGE,YELLOW,spread,2.0,-1665.0,10
AMBER,ORANGE,spread,1.5,-1865.0,18
MAGENTA,RED,sum,1.5,-2545.0,14
RED,YELLOW,spread,1.5,-2690.0,10
AMBER,ORANGE,spread,1.8,-3325.0,15
AMBER,YELLOW,spread,1.8,-3855.0,8
AMBER,RED,sum,1.8,-4995.0,7
AMBER,RED,sum,1.5,-5455.0,11
MAGENTA,RED,sum,1.2,-6045.0,16
ORANGE,YELLOW,sum,1.2,-6170.0,20
AMBER,YELLOW,sum,1.5,-8180.0,15
AMBER,RED,sum,2.0,-8265.0,5
MAGENTA,YELLOW,sum,1.8,-8505.0,10
MAGENTA,YELLOW,sum,2.0,-8785.0,9
ORANGE,YELLOW,sum,1.0,-8995.0,25
AMBER,MAGENTA,spread,2.0,-9570.0,7
AMBER,YELLOW,spread,1.2,-10375.0,16
AMBER,RED,sum,1.2,-10535.0,13
RED,YELLOW,spread,1.2,-10740.0,13
AMBER,YELLOW,sum,1.2,-10920.0,17
AMBER,MAGENTA,spread,1.8,-12010.0,12
AMBER,YELLOW,sum,1.0,-12240.0,21
AMBER,YELLOW,spread,2.0,-13390.0,5
AMBER,RED,spread,2.0,-13785.0,8
AMBER,RED,spread,1.5,-15220.0,13
RED,YELLOW,spread,1.0,-15440.0,14
AMBER,ORANGE,spread,1.2,-15505.0,21
AMBER,YELLOW,spread,1.5,-16440.0,11
AMBER,ORANGE,spread,1.0,-16440.0,24
RED,YELLOW,spread,1.8,-17400.0,7
RED,YELLOW,spread,2.0,-19215.0,6
AMBER,MAGENTA,spread,1.5,-23070.0,14
AMBER,RED,spread,1.8,-24485.0,9
AMBER,RED,spread,1.2,-25795.0,13
AMBER,RED,spread,1.0,-26810.0,15
AMBER,MAGENTA,spread,1.2,-27050.0,19
AMBER,YELLOW,spread,1.0,-28190.0,18
AMBER,MAGENTA,spread,1.0,-29085.0,23
