symbol,rule,horizon,n_events,mean_pnl,tot_pnl,sharpe_per_event,win_rate,cost,spread_med
ROBOT_IRONING,BIG_BOTH_short,100,1698,16.324,27717.5,0.176,0.592,6.0,6.0
MICROCHIP_OVAL,BIG_BID_ONLY_short,100,1374,13.122,18029.5,0.125,0.563,8.0,8.0
PEBBLES_XS,BIG_BOTH_short,100,5021,1.995,10019.0,0.014,0.505,9.0,9.0
ROBOT_DISHES,BIG_BOTH_long,100,675,12.379,8356.0,0.139,0.53,7.0,7.0
MICROCHIP_SQUARE,BIG_BID99_long,100,5834,1.257,7333.0,0.006,0.508,12.0,12.0
TRANSLATOR_ECLIPSE_CHARCOAL,BIG_BID_ONLY_long,100,733,7.463,5470.5,0.079,0.499,9.0,9.0
TRANSLATOR_GRAPHITE_MIST,BIG_BID_ONLY_long,100,419,12.937,5420.5,0.148,0.561,9.0,9.0
SLEEP_POD_NYLON,BIG_BID_ONLY_long,100,1177,4.367,5139.5,0.048,0.545,9.0,9.0
PEBBLES_XL,BIG_BOTH_long,100,4895,0.996,4874.5,0.003,0.503,17.0,17.0
OXYGEN_SHAKE_GARLIC,BIG_BOTH_long,100,2073,2.053,4256.0,0.017,0.485,15.0,15.0
MICROCHIP_RECTANGLE,BIG_BOTH_long,100,311,13.537,4210.0,0.116,0.547,8.0,8.0
TRANSLATOR_ASTRO_BLACK,BIG_BID99_long,100,375,6.777,2541.5,0.079,0.531,8.0,8.0
ROBOT_MOPPING,BIG_BOTH_long,100,185,9.289,1718.5,0.094,0.454,8.0,8.0
TRANSLATOR_SPACE_GRAY,BIG_BOTH_long,100,130,12.892,1676.0,0.137,0.515,9.0,9.0
PANEL_4X4,BIG_ASK_ONLY_long,100,719,2.049,1473.5,0.023,0.497,9.0,9.0
ROBOT_VACUUMING,BIG_ASK_ONLY_short,100,1269,0.918,1164.5,0.01,0.505,7.0,7.0
SLEEP_POD_SUEDE,BIG_BID_ONLY_long,100,121,8.822,1067.5,0.098,0.554,10.0,10.0
TRANSLATOR_VOID_BLUE,BIG_BID_ONLY_long,100,115,8.678,998.0,0.083,0.565,10.0,10.0
ROBOT_LAUNDRY,BIG_BOTH_long,100,177,5.469,968.0,0.057,0.514,7.0,7.0
MICROCHIP_CIRCLE,BIG_BOTH_long,100,303,0.328,99.5,0.004,0.462,8.0,8.0
