symbol,size,count_top1pct,share_top1pct,p99
PEBBLES_L,30,5510,1.0,30.0
PEBBLES_M,30,5510,1.0,30.0
PEBBLES_S,30,5510,1.0,30.0
PEBBLES_XL,30,5510,1.0,30.0
ROBOT_IRONING,20,600,0.35377358490566035,19.0
MICROCHIP_OVAL,20,413,0.33935907970419066,19.0
ROBOT_VACUUMING,20,610,0.32831001076426264,19.0
ROBOT_LAUNDRY,20,459,0.32187938288920054,19.0
ROBOT_DISHES,20,357,0.3093587521663778,19.0
SLEEP_POD_NYLON,30,288,0.22136817832436587,30.0
MICROCHIP_CIRCLE,20,207,0.17783505154639176,18.0
MICROCHIP_RECTANGLE,20,309,0.17081260364842454,18.0
PEBBLES_XS,40,204,0.16653061224489796,38.0
ROBOT_MOPPING,20,257,0.15709046454767725,18.0
TRANSLATOR_ECLIPSE_CHARCOAL,30,157,0.12342767295597484,26.0
PANEL_4X4,30,145,0.12083333333333333,27.0
MICROCHIP_TRIANGLE,20,109,0.060622914349276975,16.0
TRANSLATOR_GRAPHITE_MIST,30,78,0.009584664536741214,22.0
TRANSLATOR_GRAPHITE_MIST,25,34,0.004177930695502581,22.0
SLEEP_POD_SUEDE,30,15,0.001976284584980237,22.0
TRANSLATOR_VOID_BLUE,30,12,0.0015779092702169625,22.0
SLEEP_POD_SUEDE,25,9,0.0011857707509881424,22.0
TRANSLATOR_VOID_BLUE,25,8,0.001051939513477975,22.0
UV_VISOR_AMBER,50,3,0.000629458665547629,37.0
SLEEP_POD_COTTON,25,2,0.0002673439379762064,22.0
SLEEP_POD_POLYESTER,30,2,0.0002666311158512198,22.0
MICROCHIP_SQUARE,15,3,0.00025233409033560434,12.0
UV_VISOR_AMBER,40,1,0.000209819555182543,37.0
SLEEP_POD_LAMB_WOOL,25,1,0.0001335113484646195,22.0
SLEEP_POD_LAMB_WOOL,30,1,0.0001335113484646195,22.0
SLEEP_POD_POLYESTER,25,1,0.0001333155579256099,22.0
MICROCHIP_SQUARE,20,1,8.411136344520145e-05,12.0
