signal,horizon,n_symbols,mean_diff,mean_t,max_abs_t
BIG_BID_LVL1_P95,100,50,1.001,0.452,7.03
BIG_ASK_LVL1_P95,100,50,0.845,0.375,6.96
BIG_BID_LVL1_P99,100,50,2.626,0.481,5.61
BIG_ASK_LVL1_P99,100,50,2.473,0.43,5.03
BIG_BID_LVL1_P95,30,50,0.622,0.515,4.09
BIG_ASK_LVL1_P95,30,50,0.316,0.27,3.82
BIG_BID_LVL1_P99,30,50,1.12,0.389,3.78
BIG_BID_LVL1_P95,5,50,0.21,0.425,3.13
BIG_ASK_LVL1_P99,5,50,0.145,0.0,3.08
BIG_BID_LVL1_P95,10,50,0.234,0.331,2.95
BIG_BID_LVL1_P95,1,50,0.18,0.789,2.86
BIG_BID_LVL1_P99,1,50,0.239,0.626,2.63
BIG_ASK_LVL1_P99,30,50,0.785,0.222,2.58
BIG_BID_LVL1_P99,10,50,0.393,0.162,2.55
BIG_ASK_LVL1_P95,1,50,-0.047,-0.242,2.53
BIG_BID_LVL1_P99,5,50,0.26,0.228,2.52
BIG_ASK_LVL1_P99,1,50,-0.063,-0.188,2.47
TRADE_BIG_P95(>=4),30,40,0.45,0.08,2.27
BIG_ASK_LVL1_P99,10,50,0.248,-0.024,2.25
TRADE_BIG_P95(>=5),10,5,-0.018,0.258,2.09
TRADE_BIG_P95(>=5),30,5,0.007,0.048,2.08
TRADE_BIG_P95(>=4),10,40,-0.038,0.008,2.06
TRADE_BIG_P95(>=5),1,5,-0.017,-0.142,1.94
BIG_ASK_LVL1_P95,5,50,-0.04,-0.084,1.75
BIG_ASK_LVL1_P95,10,50,0.0,-0.011,1.74
TRADE_BIG_P95(>=4),5,40,-0.114,-0.058,1.74
TRADE_BIG_P95(>=3),30,5,-0.744,-0.142,1.65
TRADE_BIG_P95(>=4),100,40,0.255,0.02,1.65
TRADE_BIG_P95(>=5),100,5,0.064,-0.298,1.62
TRADE_BIG_P95(>=4),1,40,-0.068,-0.086,1.6
TRADE_BIG_P95(>=3),5,5,0.823,0.212,1.29
TRADE_BIG_P95(>=3),100,5,-0.687,-0.232,1.28
TRADE_BIG_P95(>=3),1,5,0.075,-0.084,1.15
TRADE_BIG_P95(>=5),5,5,0.055,0.026,1.05
TRADE_BIG_P95(>=3),10,5,-0.065,-0.156,0.9
