symbol,signal,horizon,n_on,mean_on,mean_off,diff,t_stat,win_rate_on
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID_LVL1_P95,1,2113,0.2407,0.1058,0.1349,0.53,0.493
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK_LVL1_P95,1,2112,0.1037,0.1161,-0.0124,-0.05,0.49
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID_LVL1_P99,1,2113,0.2407,0.1058,0.1349,0.53,0.493
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK_LVL1_P99,1,2112,0.1037,0.1161,-0.0124,-0.05,0.49
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID_LVL1_P95,5,2113,0.4965,0.581,-0.0846,-0.15,0.487
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK_LVL1_P95,5,2112,0.4993,0.5808,-0.0815,-0.14,0.486
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID_LVL1_P99,5,2113,0.4965,0.581,-0.0846,-0.15,0.487
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK_LVL1_P99,5,2112,0.4993,0.5808,-0.0815,-0.14,0.486
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID_LVL1_P95,10,2113,1.146,1.1482,-0.0022,-0.0,0.504
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK_LVL1_P95,10,2112,1.3194,1.1351,0.1843,0.22,0.506
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID_LVL1_P99,10,2113,1.146,1.1482,-0.0022,-0.0,0.504
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK_LVL1_P99,10,2112,1.3194,1.1351,0.1843,0.22,0.506
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID_LVL1_P95,30,2111,3.2274,3.4837,-0.2563,-0.17,0.517
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK_LVL1_P95,30,2110,3.6045,3.4551,0.1494,0.1,0.52
