symbol,rule,horizon,n_events,mean_pnl,tot_pnl,sharpe_per_event,win_rate,cost,spread_med
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID_ONLY_long,5,35,-13.171,-461.0,-0.488,0.257,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID_ONLY_long,10,35,-14.414,-504.5,-0.335,0.343,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID_ONLY_long,30,35,-11.014,-385.5,-0.152,0.429,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID_ONLY_long,100,35,6.171,216.0,0.059,0.514,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID_ONLY_short,5,35,-14.829,-519.0,-0.55,0.286,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID_ONLY_short,10,35,-13.586,-475.5,-0.316,0.457,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID_ONLY_short,30,35,-16.986,-594.5,-0.235,0.371,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID_ONLY_short,100,35,-34.171,-1196.0,-0.325,0.4,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK_ONLY_long,5,34,-12.985,-441.5,-0.446,0.265,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK_ONLY_long,10,34,-3.691,-125.5,-0.085,0.441,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK_ONLY_long,30,34,12.382,421.0,0.207,0.618,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK_ONLY_long,100,34,13.941,474.0,0.112,0.559,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK_ONLY_short,5,34,-15.015,-510.5,-0.515,0.294,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK_ONLY_short,10,34,-24.309,-826.5,-0.563,0.324,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK_ONLY_short,30,34,-40.382,-1373.0,-0.677,0.235,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK_ONLY_short,100,34,-41.941,-1426.0,-0.336,0.382,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BOTH_long,5,2078,-13.509,-28072.0,-0.536,0.297,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BOTH_long,10,2078,-12.828,-26656.0,-0.349,0.352,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BOTH_long,30,2076,-10.769,-22355.5,-0.165,0.418,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BOTH_long,100,2073,-1.713,-3551.5,-0.015,0.487,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BOTH_short,5,2078,-14.491,-30112.0,-0.575,0.275,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BOTH_short,10,2078,-15.172,-31528.0,-0.412,0.34,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BOTH_short,30,2076,-17.231,-35772.5,-0.265,0.393,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BOTH_short,100,2073,-26.287,-54492.5,-0.23,0.42,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID99_long,5,2113,-13.504,-28533.0,-0.536,0.297,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID99_long,10,2113,-12.854,-27160.5,-0.348,0.352,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID99_long,30,2111,-10.773,-22741.0,-0.165,0.418,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_BID99_long,100,2108,-1.582,-3335.5,-0.014,0.487,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK99_short,5,2112,-14.499,-30622.5,-0.574,0.276,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK99_short,10,2112,-15.319,-32354.5,-0.415,0.34,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK99_short,30,2110,-17.605,-37145.5,-0.271,0.39,14.0,14.0
GALAXY_SOUNDS_BLACK_HOLES,BIG_ASK99_short,100,2107,-26.539,-55918.5,-0.232,0.42,14.0,14.0
GALAXY_SOUNDS_DARK_MATTER,BIG_BID_ONLY_long,5,35,-9.329,-326.5,-0.377,0.343,13.0,13.0
GALAXY_SOUNDS_DARK_MATTER,BIG_BID_ONLY_long,10,35,-12.086,-423.0,-0.324,0.429,13.0,13.0
GALAXY_SOUNDS_DARK_MATTER,BIG_BID_ONLY_long,30,35,-23.4,-819.0,-0.442,0.314,13.0,13.0
GALAXY_SOUNDS_DARK_MATTER,BIG_BID_ONLY_long,100,35,-32.043,-1121.5,-0.322,0.371,13.0,13.0
GALAXY_SOUNDS_DARK_MATTER,BIG_BID_ONLY_short,5,35,-16.671,-583.5,-0.674,0.229,13.0,13.0
GALAXY_SOUNDS_DARK_MATTER,BIG_BID_ONLY_short,10,35,-13.914,-487.0,-0.373,0.429,13.0,13.0
GALAXY_SOUNDS_DARK_MATTER,BIG_BID_ONLY_short,30,35,-2.6,-91.0,-0.049,0.486,13.0,13.0
GALAXY_SOUNDS_DARK_MATTER,BIG_BID_ONLY_short,100,35,6.043,211.5,0.061,0.514,13.0,13.0
GALAXY_SOUNDS_DARK_MATTER,BIG_ASK_ONLY_long,5,34,-16.162,-549.5,-0.746,0.118,13.0,13.0
GALAXY_SOUNDS_DARK_MATTER,BIG_ASK_ONLY_long,10,34,-19.118,-650.0,-0.574,0.324,13.0,13.0
GALAXY_SOUNDS_DARK_MATTER,BIG_ASK_ONLY_long,30,34,-17.794,-605.0,-0.347,0.412,13.0,13.0
GALAXY_SOUNDS_DARK_MATTER,BIG_ASK_ONLY_long,100,34,-22.971,-781.0,-0.218,0.441,13.0,13.0
GALAXY_SOUNDS_DARK_MATTER,BIG_ASK_ONLY_short,5,34,-9.838,-334.5,-0.454,0.324,13.0,13.0
GALAXY_SOUNDS_DARK_MATTER,BIG_ASK_ONLY_short,10,34,-6.882,-234.0,-0.207,0.382,13.0,13.0
GALAXY_SOUNDS_DARK_MATTER,BIG_ASK_ONLY_short,30,34,-8.206,-279.0,-0.16,0.441,13.0,13.0
GALAXY_SOUNDS_DARK_MATTER,BIG_ASK_ONLY_short,100,34,-3.029,-103.0,-0.029,0.412,13.0,13.0
GALAXY_SOUNDS_DARK_MATTER,BIG_BOTH_long,5,2078,-12.778,-26552.0,-0.56,0.284,13.0,13.0
