symbol,side,pct,h,thr,n,mean,tot,win
TRANSLATOR_ASTRO_BLACK,BIG_BID_ONLY_long,80,30,14,1334,-6.47,-8637.5,0.441
TRANSLATOR_ASTRO_BLACK,BIG_ASK_ONLY_short,80,30,14,1308,-11.91,-15574.0,0.407
TRANSLATOR_ASTRO_BLACK,BIG_BID_ONLY_long,80,50,14,1332,-6.12,-8153.0,0.456
TRANSLATOR_ASTRO_BLACK,BIG_ASK_ONLY_short,80,50,14,1307,-14.51,-18962.0,0.418
TRANSLATOR_ASTRO_BLACK,BIG_BID_ONLY_long,80,100,14,1329,-5.29,-7024.5,0.479
TRANSLATOR_ASTRO_BLACK,BIG_ASK_ONLY_short,80,100,14,1306,-14.55,-19001.5,0.445
TRANSLATOR_ASTRO_BLACK,BIG_BID_ONLY_long,80,200,14,1327,-3.83,-5086.0,0.479
TRANSLATOR_ASTRO_BLACK,BIG_ASK_ONLY_short,80,200,14,1302,-20.39,-26545.0,0.448
TRANSLATOR_ASTRO_BLACK,BIG_BID_ONLY_long,90,30,15,1430,-6.3,-9016.0,0.441
TRANSLATOR_ASTRO_BLACK,BIG_ASK_ONLY_short,90,30,15,1444,-12.15,-17547.0,0.403
TRANSLATOR_ASTRO_BLACK,BIG_BID_ONLY_long,90,50,15,1428,-5.73,-8186.0,0.458
TRANSLATOR_ASTRO_BLACK,BIG_ASK_ONLY_short,90,50,15,1442,-14.82,-21368.0,0.417
TRANSLATOR_ASTRO_BLACK,BIG_BID_ONLY_long,90,100,15,1425,-3.53,-5026.0,0.487
TRANSLATOR_ASTRO_BLACK,BIG_ASK_ONLY_short,90,100,15,1441,-15.74,-22688.5,0.436
TRANSLATOR_ASTRO_BLACK,BIG_BID_ONLY_long,90,200,15,1424,-2.55,-3630.0,0.483
TRANSLATOR_ASTRO_BLACK,BIG_ASK_ONLY_short,90,200,15,1437,-21.57,-31001.0,0.442
TRANSLATOR_ASTRO_BLACK,BIG_BID_ONLY_long,95,30,26,1324,-6.32,-8374.0,0.441
TRANSLATOR_ASTRO_BLACK,BIG_ASK_ONLY_short,95,30,27,1220,-11.26,-13740.0,0.406
TRANSLATOR_ASTRO_BLACK,BIG_BID_ONLY_long,95,50,26,1322,-5.65,-7463.5,0.466
TRANSLATOR_ASTRO_BLACK,BIG_ASK_ONLY_short,95,50,27,1218,-13.44,-16364.0,0.416
TRANSLATOR_ASTRO_BLACK,BIG_BID_ONLY_long,95,100,26,1320,-2.58,-3410.5,0.486
TRANSLATOR_ASTRO_BLACK,BIG_ASK_ONLY_short,95,100,27,1217,-13.77,-16754.5,0.447
TRANSLATOR_ASTRO_BLACK,BIG_BID_ONLY_long,95,200,26,1319,0.32,423.5,0.499
TRANSLATOR_ASTRO_BLACK,BIG_ASK_ONLY_short,95,200,27,1214,-19.01,-23079.0,0.444
TRANSLATOR_ASTRO_BLACK,BIG_BID_ONLY_long,99,30,33,331,-3.44,-1137.0,0.456
TRANSLATOR_ASTRO_BLACK,BIG_ASK_ONLY_short,99,30,34,257,-10.51,-2701.0,0.409
TRANSLATOR_ASTRO_BLACK,BIG_BID_ONLY_long,99,50,33,331,0.17,56.5,0.492
TRANSLATOR_ASTRO_BLACK,BIG_ASK_ONLY_short,99,50,34,257,-15.42,-3963.0,0.436
TRANSLATOR_ASTRO_BLACK,BIG_BID_ONLY_long,99,100,33,330,9.74,3213.0,0.536
TRANSLATOR_ASTRO_BLACK,BIG_ASK_ONLY_short,99,100,34,257,-16.53,-4249.0,0.397
TRANSLATOR_ASTRO_BLACK,BIG_BID_ONLY_long,99,200,33,327,11.14,3642.5,0.547
TRANSLATOR_ASTRO_BLACK,BIG_ASK_ONLY_short,99,200,34,256,-15.41,-3945.0,0.426
TRANSLATOR_ECLIPSE_CHARCOAL,BIG_BID_ONLY_long,80,30,14,711,-3.92,-2790.0,0.481
TRANSLATOR_ECLIPSE_CHARCOAL,BIG_ASK_ONLY_short,80,30,14,666,-11.15,-7429.0,0.438
TRANSLATOR_ECLIPSE_CHARCOAL,BIG_BID_ONLY_long,80,50,14,710,-2.36,-1673.0,0.489
TRANSLATOR_ECLIPSE_CHARCOAL,BIG_ASK_ONLY_short,80,50,14,665,-13.28,-8829.0,0.442
TRANSLATOR_ECLIPSE_CHARCOAL,BIG_BID_ONLY_long,80,100,14,710,6.01,4267.5,0.499
TRANSLATOR_ECLIPSE_CHARCOAL,BIG_ASK_ONLY_short,80,100,14,665,-19.21,-12774.5,0.43
TRANSLATOR_ECLIPSE_CHARCOAL,BIG_BID_ONLY_long,80,200,14,708,16.13,11420.0,0.532
TRANSLATOR_ECLIPSE_CHARCOAL,BIG_ASK_ONLY_short,80,200,14,662,-33.33,-22062.5,0.408
